bossId	bbb	aaa	killRound	desc	knightFailDes	masterFailDes
boss怪Id		策划备注用	击杀回合	boss描述	骑士失败提示(不填代表不提示，如世界boss、军团守护兽)	法师失败提示(不填代表不提示，如世界boss、军团守护兽)
2		考核前排肉盾的格挡能力	5	剩下{0}回合内击杀boss，直接跳到第九波怪物。	#C(#FFFF00)战术指引#n：将#C(#FFFF00)剑舞者#n升阶为#C(#FFFF00)剑狂#n，并且对其施展#C(#FFFF00)光明护盾#n。	#C(#FFFF00)战术指引#n：将#C(#FFFF00)剑舞者#n升阶为#C(#FFFF00)剑狂#n，并且对其施展#C(#FFFF00)魔法屏障#n。
5116		心魔炼狱3	3	#C(#FFFFFF)3回合内击败我,可以跳到第6关,还剩{0}回合#n		
5117		心魔炼狱6	3	#C(#FFFFFF)3回合内击败我,可以跳到第9关,还剩{0}回合#n		
5118		心魔炼狱9	3	#C(#FFFFFF)3回合内击败我,可以跳到第12关,还剩{0}回合#n		
5119		心魔炼狱12	3	#C(#FFFFFF)3回合内击败我,可以跳到第15关,还剩{0}回合#n		
5216		心魔炼狱3	3	#C(#FFFFFF)3回合内击败我,可以跳到第6关,还剩{0}回合#n		
5217		心魔炼狱6	3	#C(#FFFFFF)3回合内击败我,可以跳到第9关,还剩{0}回合#n		
5218		心魔炼狱9	3	#C(#FFFFFF)3回合内击败我,可以跳到第12关,还剩{0}回合#n		
5219		心魔炼狱12	3	#C(#FFFFFF)3回合内击败我,可以跳到第15关,还剩{0}回合#n		
5316		心魔炼狱3	3	#C(#FFFFFF)3回合内击败我,可以跳到第6关,还剩{0}回合#n		
5317		心魔炼狱6	3	#C(#FFFFFF)3回合内击败我,可以跳到第9关,还剩{0}回合#n		
5318		心魔炼狱9	3	#C(#FFFFFF)3回合内击败我,可以跳到第12关,还剩{0}回合#n		
5319		心魔炼狱12	3	#C(#FFFFFF)3回合内击败我,可以跳到第15关,还剩{0}回合#n		
5416		心魔炼狱3	3	#C(#FFFFFF)3回合内击败我,可以跳到第6关,还剩{0}回合#n		
5417		心魔炼狱6	3	#C(#FFFFFF)3回合内击败我,可以跳到第9关,还剩{0}回合#n		
