lotteryTimes	rateItems	extraItem	nextExtraItemPreview	specialItem	specialItemPreview	extraItemNeedTimes	mountId	needRMB	rateTimes
抽奖次数	随机奖励池(coding，cnt,rate)	抽x次必得的额外奖励(coding,cnt)	下次额外奖励预览(coding,cnt)	特殊奖励(coding,cnt)	特殊奖励客户端预览	额外奖励需要次数	坐骑外形id	神石消耗	坐骑掉落概率倍数
1	[(27073,1,0),(25600,2,2725),(26344,2,2725),(26343,2,2725),(26033,1,1818)]		[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26033,1)]	5	20,14	10	1
2	[(27073,1,0),(25600,2,2723),(26344,2,2723),(26343,2,2723),(26033,1,1817)]		[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26033,1)]	4	20,14	15	2
3	[(27073,1,0),(25600,2,2720),(26344,2,2720),(26343,2,2720),(26033,1,1812)]		[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26033,1)]	3	20,14	20	4
4	[(27073,1,0),(25600,3,2712),(26344,3,2712),(26343,3,2712),(26044,1,1808)]		[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26044,1)]	2	20,14	30	8
5	[(27073,1,0),(25600,4,2704),(26344,4,2704),(26343,4,2704),(26044,1,1804)]	[(27566,1)]	[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1,(26044,1)]	1	20,14	40	12
6	[(27073,1,0),(25600,5,2697),(26344,5,2697),(26343,5,2697),(26044,1,1797)]		[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26044,1)]	5	20,14	50	16
7	[(27073,1,0),(25600,6,2689),(26344,6,2689),(26343,6,2689),(26044,1,1793)]		[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26044,1)]	4	20,14	60	20
8	[(27073,1,0),(25600,7,2680),(26344,7,2680),(26343,7,2680),(26026,1,1785)]		[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26026,1)]	3	20,14	70	25
9	[(27073,1,0),(25600,8,2670),(26344,8,2670),(26343,8,2670),(26026,1,1780)]		[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26026,1)]	2	20,14	80	30
10	[(27073,1,0),(25600,9,2659),(26344,9,2659),(26343,9,2659),(26026,1,1771)]	[(27566,1)]	[(27566,1)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26026,1)]	1	20,14	90	36
11	[(27073,1,147),(28511,1,147),(25600,10,2647),(26344,10,2647),(26343,10,2647),(26026,1,1765)]		[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26026,1)]	5	20,14	100	42
12	[(27073,1,175),(28511,1,175),(25600,12,2632),(26344,12,2632),(26343,12,2632),(26026,1,1754)]		[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26026,1)]	4	20,14	120	50
13	[(27073,1,210),(28511,1,210),(25600,14,2613),(26344,14,2613),(26343,14,2613),(26224,1,1741)]		[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26224,1)]	3	20,14	140	60
14	[(27073,1,263),(28511,1,262),(25600,16,2584),(26344,16,2584),(26343,16,2584),(26224,1,1723)]		[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26224,1)]	2	20,14	160	75
15	[(27073,1,315),(28511,1,315),(25600,18,2555),(26344,18,2555),(26343,18,2555),(26224,1,1705)]	[(27566,2)]	[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26224,1)]	1	20,14	180	90
16	[(27073,1,385),(28511,1,385),(25600,20,2517),(26344,20,2517),(26343,20,2517),(26224,1,1679)]		[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26224,1)]	5	20,14	200	110
17	[(27073,1,455),(28511,1,455),(25600,22,2479),(26344,22,2479),(26343,22,2479),(26224,1,1653)]		[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26224,1)]	4	20,14	220	130
