targetType	rank	tarot	item	money	bindRMB
目标类型	排名	命魂	道具	奖励金币	魔晶
1	1	[]	[(27527,1),(35628,1),(25681,400)]	0	0
1	2	[]	[(35622,1),(25681,320)]	0	0
1	3	[]	[(35622,1),(25681,240)]	0	0
1	4	[]	[(25681,160)]	0	0
1	5	[]	[(25681,140)]	0	0
1	6	[]	[(25681,120)]	0	0
1	7	[]	[(25681,100)]	0	0
1	8	[]	[(25681,80)]	0	0
1	9	[]	[(25681,60)]	0	0
1	10	[]	[(25681,40)]	0	0
4	1	[(30,1)]	[(27529,1),(25683,400)]	0	0
4	2	[(21,1)]	[(25683,320)]	0	0
4	3	[(21,1)]	[(25683,240)]	0	0
4	4	[(2,1)]	[(25683,160)]	0	0
4	5	[(2,1)]	[(25683,140)]	0	0
4	6	[(50,1)]	[(25683,120)]	0	0
4	7	[(50,1)]	[(25683,100)]	0	0
4	8	[(50,1)]	[(25683,80)]	0	0
4	9	[(50,1)]	[(25683,60)]	0	0
4	10	[(50,1)]	[(25683,40)]	0	0
