goodId	dailyLimitCnt	costContribution	costUnbindRMB	item
商品id	角色每日限购数量	购买消耗贡献	购买消耗神石	商品内容及数量
1	8	800	0	(25729,1)
2	8	800	0	(25730,1)
3	8	800	0	(25731,1)
4	8	500	0	(25732,1)
5	8	500	0	(25733,1)
6	4	1000	35	(25738,1)
7	4	1000	35	(25739,1)
8	4	1000	35	(25740,1)
9	4	1000	0	(25741,1)
10	4	1000	0	(25742,1)
11	8	900	0	(25866,1)
12	8	900	0	(25867,1)
13	8	900	0	(25868,1)
14	8	900	0	(25869,1)
15	4	1200	35	(25878,1)
16	4	1200	35	(25879,1)
17	4	1200	35	(25880,1)
18	4	1200	35	(25881,1)
19	2	1500	105	(26223,1)
20	2	1800	105	(26227,1)
