level	winUpRange	lostDownRange	exploreFactor	winContribution	winResource	lostContribution	lostResource
玩家等级	胜利前进范围	失败后退范围	探索系数	胜利奖励贡献	胜利奖励公会资源	失败奖励贡献	失败奖励公会资源
1	(8,14)	(6,10)	1	200	0	150	0
2	(8,14)	(6,10)	1	200	0	150	0
3	(8,14)	(6,10)	1	200	0	150	0
4	(8,14)	(6,10)	1	200	0	150	0
5	(8,14)	(6,10)	1	200	0	150	0
6	(8,14)	(6,10)	1	200	0	150	0
7	(8,14)	(6,10)	1	200	0	150	0
8	(8,14)	(6,10)	1	200	0	150	0
9	(8,14)	(6,10)	1	200	0	150	0
10	(8,14)	(6,10)	1	200	0	150	0
11	(8,14)	(6,10)	1	200	0	150	0
12	(8,14)	(6,10)	1	200	0	150	0
13	(8,14)	(6,10)	1	200	0	150	0
14	(8,14)	(6,10)	1	200	0	150	0
15	(8,14)	(6,10)	1	200	0	150	0
16	(8,14)	(6,10)	1	200	0	150	0
17	(8,14)	(6,10)	1	200	0	150	0
18	(8,14)	(6,10)	1	200	0	150	0
19	(8,14)	(6,10)	1	200	0	150	0
20	(8,14)	(6,10)	1	200	0	150	0
21	(8,14)	(6,10)	1	200	0	150	0
22	(8,14)	(6,10)	1	200	0	150	0
23	(8,14)	(6,10)	1	200	0	150	0
24	(8,14)	(6,10)	1	200	0	150	0
25	(8,14)	(6,10)	1	200	0	150	0
26	(8,14)	(6,10)	1	200	0	150	0
27	(8,14)	(6,10)	1	200	0	150	0
28	(8,14)	(6,10)	1	200	0	150	0
29	(8,14)	(6,10)	1	200	0	150	0
30	(8,14)	(6,10)	1	200	0	150	0
31	(8,14)	(6,10)	1	200	0	150	0
32	(8,14)	(6,10)	1	200	0	150	0
33	(8,14)	(6,10)	1	200	0	150	0
34	(8,14)	(6,10)	1	200	0	150	0
35	(8,14)	(6,10)	1	200	0	150	0
36	(8,14)	(6,10)	1	200	0	150	0
37	(8,14)	(6,10)	1	200	0	150	0
38	(8,14)	(6,10)	1	200	0	150	0
39	(8,14)	(6,10)	1	200	0	150	0
40	(8,14)	(6,10)	1	200	0	150	0
41	(8,14)	(6,10)	1	200	0	150	0
42	(8,14)	(6,10)	1	200	0	150	0
43	(8,14)	(6,10)	1	200	0	150	0
44	(8,14)	(6,10)	1	200	0	150	0
45	(8,14)	(6,10)	1	200	0	150	0
46	(8,14)	(6,10)	1	200	0	150	0
47	(8,14)	(6,10)	1	200	0	150	0
48	(8,14)	(6,10)	1	200	0	150	0
49	(8,14)	(6,10)	1	200	0	150	0
50	(8,14)	(6,10)	1	200	0	150	0
51	(8,14)	(6,10)	1	200	0	150	0
52	(8,14)	(6,10)	1	200	0	150	0
53	(8,14)	(6,10)	1	200	0	150	0
54	(8,14)	(6,10)	1	200	0	150	0
55	(8,14)	(6,10)	1	200	0	150	0
56	(8,14)	(6,10)	1	200	0	150	0
57	(8,14)	(6,10)	1	200	0	150	0
58	(8,14)	(6,10)	1	200	0	150	0
59	(8,14)	(6,10)	1	200	0	150	0
60	(8,14)	(6,10)	1	200	0	150	0
61	(8,14)	(6,10)	1	200	0	150	0
62	(8,14)	(6,10)	1	200	0	150	0
63	(8,14)	(6,10)	1	200	0	150	0
64	(8,14)	(6,10)	1	200	0	150	0
65	(8,14)	(6,10)	1	200	0	150	0
66	(8,14)	(6,10)	1	200	0	150	0
67	(8,14)	(6,10)	1	200	0	150	0
68	(8,14)	(6,10)	1	200	0	150	0
69	(8,14)	(6,10)	1	200	0	150	0
70	(8,14)	(6,10)	1	200	0	150	0
71	(8,14)	(6,10)	1	200	0	150	0
72	(8,14)	(6,10)	1	200	0	150	0
73	(8,14)	(6,10)	1	200	0	150	0
74	(8,14)	(6,10)	1	200	0	150	0
75	(8,14)	(6,10)	1	200	0	150	0
76	(8,14)	(6,10)	1	200	0	150	0
77	(8,14)	(6,10)	1	200	0	150	0
78	(8,14)	(6,10)	1	200	0	150	0
79	(8,14)	(6,10)	1	200	0	150	0
80	(8,14)	(6,10)	1	200	0	150	0
81	(8,14)	(6,10)	1	200	0	150	0
82	(8,14)	(6,10)	1	200	0	150	0
83	(8,14)	(6,10)	1	200	0	150	0
84	(8,14)	(6,10)	1	200	0	150	0
85	(8,14)	(6,10)	1	200	0	150	0
86	(8,14)	(6,10)	1	200	0	150	0
87	(8,14)	(6,10)	1	200	0	150	0
88	(8,14)	(6,10)	1	200	0	150	0
89	(8,14)	(6,10)	1	200	0	150	0
90	(8,14)	(6,10)	1	200	0	150	0
91	(8,14)	(6,10)	1	200	0	150	0
92	(8,14)	(6,10)	1	200	0	150	0
