godId	godName	npcType	godCampId	rewardMoney	rewardItemList
魔神ID	魔神名	显示的NPC外观类型	魔神阵营ID	通关金币奖励	通关物品奖励
1	魔·天空射手	3009	7001	0	[(25638,10)]
2	神·天空射手	3011	7002	100000	[(25638,10),(25681,10)]
3	魔·太阳神	3013	7003	200000	[(25638,20),(25681,20)]
4	神·太阳神	3015	7004	300000	[(25639,20),(25681,30)]
5	魔·死神	3017	7005	300000	[(25639,20),(25681,40)]
6	神·死神	3019	7006	300000	[(25639,20),(25682,20)]
7	魔·血族剑姬	3021	7007	400000	[(25640,10),(25682,30)]
8	神·血族剑姬	3023	7008	400000	[(25640,10),(25682,40)]
9	魔·海盗船长	3025	7009	500000	[(25641,10),(25683,30)]
10	神·海盗船长	3027	7010	500000	[(25641,10),(25683,40)]
11	魔·战争之王	3029	7011	600000	[(25641,10),(25684,50)]
12	神·战争之王	3031	7012	600000	[(25641,10),(25684,60)]
13	魔·众神之王	3033	7013	700000	[(25642,12),(25685,70)]
14	神·众神之王	3035	7014	800000	[(25642,15),(25685,100)]
15	魔·红袍女巫	3037	7015	900000	[(25643,10),(25686,80)]
16	神·红袍女巫	3039	7016	1000000	[(25643,10),(25686,90)]
17	魔·骷髅王	3601	7201	1100000	[(25644,10),(26607,100)]
18	神·骷髅王	3604	7202	1200000	[(25644,10),(26607,110)]
19	魔·死亡骑士	19037	7203	1300000	[(25645,10),(27066,120)]
20	神·死亡骑士	19040	7204	1400000	[(25645,10),(27066,130)]
