questionId	question	answer1	answer2	right
问题ID	问题	答案A	答案B	正确答案（1 or 2）
1	《龙骑士传》是由哪家公司研发的？	天拓游戏	任天堂	1
2	最好玩的网页游戏是什么？	龙骑士传	其他	1
3	主角的攻击力是物攻还是法攻？	法攻	物攻	2
4	每次通关副本可以有机会获得什么？	坐骑培养石	龙晶	2
5	提升主角等级需要参与什么玩法？	恶魔深渊	副本	1
6	要获得魔晶需要参与什么玩法？	巨龙宝藏	炼金	1
7	最快获得紫色英雄的玩法是什么？	英雄祭坛	英雄竞技	1
8	如何获得进阶装备的材料？	参与炼金	参与心魔炼狱	2
9	兑换橙装的圣灵碎片如何获得？	参与劫宝	参与炼金	1
10	什么时间可以参与问答比赛玩法初赛？	周一至周六全天	周日	1
11	如何才能获得更多的体力？	参与炼金	完成每日必做	2
12	如何获得金币？	炼金	符文宝轮	1
13	物攻宝石镶嵌到法攻英雄身上是否有用？	是	否	2
14	法攻宝石镶嵌到物攻英雄身上是否有用？	否	是	1
15	如何提升每日购买体力次数？	提升贵族等级	刷新游戏	1
16	开通月卡有什么好处？	每日获得魔晶	坐公交免费	1
17	发现游戏有BUG应该如何处理？	提交给客服	忍	1
18	每天晚上22:00可以领取什么奖励？	英雄竞技排名奖励	卫生纸	1
19	坐骑属性可以对所有战斗生效？	是	否	2
20	如何获得主角技能点数?	写信给客服	进化主角	2
21	20级蓝色装备可以升阶吗？	可以	不可以	2
22	如何获得符文？	使用符文宝轮	参与炼金	1
23	如何防止命魂被吞噬？	使用锁定功能	使用拆解功能	1
24	防御宝石能否获得封印加成	能	否	2
25	羽翼可以增加所有上阵英雄属性?	是	否	1
26	如何获得强化神器的魂石？	刷公会副本	问会长要	1
27	联盟玩家可以加入部落的公会吗？	可以	不可以	2
28	部落玩家可以加入联盟的公会吗？	可以	不可以	2
29	幸运转盘可以获得的最好奖励是什么？	海量美女	海量神石	2
30	英雄只能靠使用经验道具提升等级？	否	是	2
31	主角能使用经验道具吗？	是	否	2
32	如何获得体力？	完成体力任务	问副会长要	1
33	公会里实力最强的玩家应该怎么帮助其他玩家？	带大家打公会副本	讲笑话	1
34	防御英雄应该放到几号阵位上？	1号	5号	1
35	未上阵的英雄如何提升战斗力？	英雄助阵	为主角加油	1
36	如何提升声望值？	请客吃饭	参加英雄竞技	2
37	成为下一场城主轮值的守方公会后有什么好处？	获得城主特权BUFF	吃饭有人伺候	1
38	如何解锁更高级的助阵位？	提升声望	祈祷	1
39	龙晶有什么用？	提升英雄属性	兑换材料	2
40	背包满了怎么办？	哭	拓展背包格子	2
41	完成全部每日必做可以？	提高公会贡献度	结交朋友	1
42	参与分享邀请有什么好处？	获得更多奖励	免费旅游	1
43	如何获得经验道具？	参加英雄竞技	参加恶魔深渊	2
44	装备命魂有什么效果？	提升战斗力	原地满血复活	1
45	装备洗练功能多少级开放？	10级	100级	2
46	如何快速通关副本？	狂点鼠标	副本挂机	2
47	如何提升命魂等级？	吞噬多余命魂	半夜招魂	1
48	给英雄穿戴相同套装装备有什么好处？	召唤神龙	获得套装效果	2
49	参与魔兽入侵可以？	获得大量金币	捕捉小魔兽	1
50	坐骑幻化会影响坐骑属性吗？	会	不会	2
51	城主特权BUFF有什么效果	引来围观	部分玩法经验金币加成	2
52	不朽的屠龙者称号如何获得？	竞技场5-10名	竞技场第1名	1
53	归元精魄如何获得？	解雇英雄	商城购买	1
54	神器是怎么获得的？	挑战公会副本	挑战公会魔神	1
55	游戏中宠物是如何获得的？	好心人送的	商城购买	2
56	游戏中如何才能得到橙色英雄? 	吃大力丸	进化紫色英雄	2
57	动漫《火影忍者》主角漩涡鸣人常用的招式是？	恶龙突袭	螺旋丸	2
58	动漫《海贼王》里称霸伟大航道被称为海贼王的男人是？	哥尔·D·罗杰	小丑巴基	1
59	动漫《七龙珠》里集齐了七颗龙珠会发生什么事？	出现龙骑士	召唤神龙	2
60	科学家爱因斯坦属于什么民族？ 	犹太民族	战斗民族	1
61	电影《变形金刚4：绝迹重生》是地球人与什么人的故事？	汽车人	赛亚人	1
62	世界上第一台计算机是什么时候诞生的？	1946/2/14	1990/8/8	1
63	2014年足球世界杯夺得冠军的是哪一个国家？	德国	中国	1
64	小明三十岁，儿子五岁，请问小明老婆几岁？	二十五	不知道	2
65	美国总统奥巴马现任的夫人是谁？  	凤姐	米歇尔	2
66	胡夫金字塔是世界上最大的金字塔，它是什么人建造的？ 	胡夫一个人	埃及人	2
67	请问地球上最强大的动物是什么？	人类	大白鲨	1
68	希腊神话中海之王指的是谁？	波塞冬	共工	1
69	动漫《哆啦A梦》里大雄喜欢的女孩叫什么名字？	夜香	静香	2
70	小黄鱼长大之后是不是会变成大黄鱼？	会	不会	2
