levelRange	meterRange	rewardItemData	upRange
等级区间	探索区间	奖励道具(几率，道具Coding，数量）	前进米数区间
(1,59)	(0,600)	[(1000,25600,5),(1000,26344,5),(1000,26033,1),(1000,26342,3)]	(4,10)
(1,59)	(601,1300)	[(1000,25600,6),(1000,26344,5),(1000,26033,1),(600,27566,1),(1000,26342,4)]	(4,10)
(1,59)	(1301,3000)	[(1000,25600,8),(1000,26344,6),(1000,26033,1),(700,27566,1),(800,26044,1),(1000,26342,5)]	(4,10)
(1,59)	(3001,6000)	[(1000,25600,10),(1000,26344,8),(1000,26033,1),(800,27566,1),(1000,26044,1),(1000,26342,6)]	(4,10)
(1,59)	(6000,99999)	[(1000,25600,12),(1000,26344,10),(1000,26044,1),(1000,27566,1),(1000,26044,1),(1000,26223,8),(1000,26342,1)]	(4,10)
(60,79)	(0,600)	[(1000,25600,8),(1000,26344,8),(1000,26033,1),(1000,26342,3),(1000,26144,2),(1000,25837,2),(1000,26119,1),(1000,25831,2),(1000,25970,2)]	(4,10)
(60,79)	(601,1300)	[(1000,25837,10),(1000,26344,8),(1000,26033,1),(600,27566,1),(1000,26342,4),(1000,26144,3),(1000,25837,3),(1000,26119,1),(1000,25831,3),(1000,25970,3)]	(4,10)
(60,79)	(1301,3000)	[(1000,25837,12),(1000,26344,9),(1000,26033,1),(800,27566,1),(1000,26044,1),(1000,26342,5),(1000,26144,4),(1000,25837,4),(1000,26119,1),(1000,25831,4),(1000,25970,4),(1000,26267,1)]	(4,10)
(60,79)	(3001,6000)	[(1000,25837,15),(1000,26344,12),(1000,26033,1),(1000,27566,1),(1000,26044,1),(1000,26342,6),(1000,26144,5),(1000,25837,5),(1000,26119,1),(1000,25831,5),(1000,25970,5),(1000,26267,1)]	(4,10)
(60,79)	(6000,99999)	[(1000,25837,18),(1000,26344,15),(1000,27566,1),(1000,26044,1),(1000,26342,8),(1000,26144,8),(1000,25837,8),(1000,25831,8),(1000,25970,8),(1000,26044,1),(1000,26227,1),(1000,26042,1),(1000,26223,1)]	(4,10)
(80,179)	(0,600)	[(1000,26144,2),(1000,25837,2),(1000,26119,1),(1000,25831,2),(1000,25970,2),(1000,26924,1),(1000,26925,1),(1000,26033,1),(1000,26484,1),(1000,26302,2),(1000,26479,2),(600,27566,1)]	(4,10)
(80,179)	(601,1300)	[(1000,26144,3),(1000,25837,3),(1000,26119,1),(1000,25831,3),(1000,25970,3),(1000,26924,1),(1000,26925,1),(1000,26033,1),(1000,26484,1),(1000,26302,3),(1000,26479,3),(700,27566,1),(1000,26485,1)]	(4,10)
(80,179)	(1301,3000)	[(1000,26144,4),(1000,25837,4),(1000,26119,1),(1000,25831,4),(1000,25970,4),(1000,26924,2),(1000,26925,2),(1000,26033,1),(1000,26484,1),(1000,26302,4),(1000,26479,4),(800,27566,1),(800,26485,1),(1000,26044,1),(1000,26267,1)]	(4,10)
(80,179)	(3001,6000)	[(1000,26144,5),(1000,25837,5),(1000,26119,1),(1000,25831,5),(1000,25970,5),(1000,26924,2),(1000,26925,2),(1000,26033,1),(1000,26484,1),(1000,26302,5),(1000,26479,5),(1000,27566,1),(1000,26485,1),(1000,26044,1),(1000,26267,1)]	(4,10)
(80,179)	(6000,99999)	[(1000,26144,8),(1000,25837,8),(1000,25831,8),(1000,25970,8),(1000,26924,4),(1000,26925,4),(1000,26302,8),(1000,26479,8),(1000,27566,1),(1000,26044,1),(1000,26267,1),(1000,26223,1),(1000,26227,1),(1000,26485,2)]	(4,10)
