level	winUpRange	lostDownRange	exploreFactor	winContribution	winResource	lostContribution	lostResource
玩家等级	胜利前进范围	失败后退范围	探索系数	胜利奖励贡献	胜利奖励公会资源	失败奖励贡献	失败奖励公会资源
1	(6,14)	(4,10)	1	180	150	120	100
2	(6,14)	(4,10)	1	180	150	120	100
3	(6,14)	(4,10)	1	180	150	120	100
4	(6,14)	(4,10)	1	180	150	120	100
5	(6,14)	(4,10)	1	180	150	120	100
6	(6,14)	(4,10)	1	180	150	120	100
7	(6,14)	(4,10)	1	180	150	120	100
8	(6,14)	(4,10)	1	180	150	120	100
9	(6,14)	(4,10)	1	180	150	120	100
10	(6,14)	(4,10)	1	180	150	120	100
11	(6,14)	(4,10)	1	180	150	120	100
12	(6,14)	(4,10)	1	180	150	120	100
13	(6,14)	(4,10)	1	180	150	120	100
14	(6,14)	(4,10)	1	180	150	120	100
15	(6,14)	(4,10)	1	180	150	120	100
16	(6,14)	(4,10)	1	180	150	120	100
17	(6,14)	(4,10)	1	180	150	120	100
18	(6,14)	(4,10)	1	180	150	120	100
19	(6,14)	(4,10)	1	180	150	120	100
20	(6,14)	(4,10)	1	180	150	120	100
21	(6,14)	(4,10)	1	180	150	120	100
22	(6,14)	(4,10)	1	180	150	120	100
23	(6,14)	(4,10)	1	180	150	120	100
24	(6,14)	(4,10)	1	180	150	120	100
25	(6,14)	(4,10)	1	180	150	120	100
26	(6,14)	(4,10)	1	180	150	120	100
27	(6,14)	(4,10)	1	180	150	120	100
28	(6,14)	(4,10)	1	180	150	120	100
29	(6,14)	(4,10)	1	180	150	120	100
30	(6,14)	(4,10)	1	180	150	120	100
31	(6,14)	(4,10)	1	180	150	120	100
32	(6,14)	(4,10)	1	180	150	120	100
33	(6,14)	(4,10)	1	180	150	120	100
34	(6,14)	(4,10)	1	180	150	120	100
35	(6,14)	(4,10)	1	180	150	120	100
36	(6,14)	(4,10)	1	180	150	120	100
37	(6,14)	(4,10)	1	180	150	120	100
38	(6,14)	(4,10)	1	180	150	120	100
39	(6,14)	(4,10)	1	180	150	120	100
40	(6,14)	(4,10)	1	180	150	120	100
41	(6,14)	(4,10)	1	180	150	120	100
42	(6,14)	(4,10)	1	180	150	120	100
43	(6,14)	(4,10)	1	180	150	120	100
44	(6,14)	(4,10)	1	180	150	120	100
45	(6,14)	(4,10)	1	180	150	120	100
46	(6,14)	(4,10)	1	180	150	120	100
47	(6,14)	(4,10)	1	180	150	120	100
48	(6,14)	(4,10)	1	180	150	120	100
49	(6,14)	(4,10)	1	180	150	120	100
50	(6,14)	(4,10)	1	180	150	120	100
51	(6,14)	(4,10)	1	180	150	120	100
52	(6,14)	(4,10)	1	180	150	120	100
53	(6,14)	(4,10)	1	180	150	120	100
54	(6,14)	(4,10)	1	180	150	120	100
55	(6,14)	(4,10)	1	180	150	120	100
56	(6,14)	(4,10)	1	180	150	120	100
57	(6,14)	(4,10)	1	180	150	120	100
58	(6,14)	(4,10)	1	180	150	120	100
59	(6,14)	(4,10)	1	180	150	120	100
60	(6,14)	(4,10)	1	180	150	120	100
61	(6,14)	(4,10)	1	180	150	120	100
62	(6,14)	(4,10)	1	180	150	120	100
63	(6,14)	(4,10)	1	180	150	120	100
64	(6,14)	(4,10)	1	180	150	120	100
65	(6,14)	(4,10)	1	180	150	120	100
66	(6,14)	(4,10)	1	180	150	120	100
67	(6,14)	(4,10)	1	180	150	120	100
68	(6,14)	(4,10)	1	180	150	120	100
69	(6,14)	(4,10)	1	180	150	120	100
70	(6,14)	(4,10)	1	180	150	120	100
71	(6,14)	(4,10)	1	180	150	120	100
72	(6,14)	(4,10)	1	180	150	120	100
73	(6,14)	(4,10)	1	180	150	120	100
74	(6,14)	(4,10)	1	180	150	120	100
75	(6,14)	(4,10)	1	180	150	120	100
76	(6,14)	(4,10)	1	180	150	120	100
77	(6,14)	(4,10)	1	180	150	120	100
78	(6,14)	(4,10)	1	180	150	120	100
79	(6,14)	(4,10)	1	180	150	120	100
80	(6,14)	(4,10)	1	180	150	120	100
81	(6,14)	(4,10)	1	180	150	120	100
82	(6,14)	(4,10)	1	180	150	120	100
83	(6,14)	(4,10)	1	180	150	120	100
84	(6,14)	(4,10)	1	180	150	120	100
85	(6,14)	(4,10)	1	180	150	120	100
86	(6,14)	(4,10)	1	180	150	120	100
87	(6,14)	(4,10)	1	180	150	120	100
88	(6,14)	(4,10)	1	180	150	120	100
89	(6,14)	(4,10)	1	180	150	120	100
90	(6,14)	(4,10)	1	180	150	120	100
91	(6,14)	(4,10)	1	180	150	120	100
92	(6,14)	(4,10)	1	180	150	120	100
93	(6,14)	(4,10)	1	180	150	120	100
94	(6,14)	(4,10)	1	180	150	120	100
95	(6,14)	(4,10)	1	180	150	120	100
96	(6,14)	(4,10)	1	180	150	120	100
97	(6,14)	(4,10)	1	180	150	120	100
98	(6,14)	(4,10)	1	180	150	120	100
99	(6,14)	(4,10)	1	180	150	120	100
100	(6,14)	(4,10)	1	180	150	120	100
101	(6,14)	(4,10)	1	180	150	120	100
102	(6,14)	(4,10)	1	180	150	120	100
103	(6,14)	(4,10)	1	180	150	120	100
104	(6,14)	(4,10)	1	180	150	120	100
105	(6,14)	(4,10)	1	180	150	120	100
106	(6,14)	(4,10)	1	180	150	120	100
107	(6,14)	(4,10)	1	180	150	120	100
108	(6,14)	(4,10)	1	180	150	120	100
109	(6,14)	(4,10)	1	180	150	120	100
110	(6,14)	(4,10)	1	180	150	120	100
111	(6,14)	(4,10)	1	180	150	120	100
112	(6,14)	(4,10)	1	180	150	120	100
113	(6,14)	(4,10)	1	180	150	120	100
114	(6,14)	(4,10)	1	180	150	120	100
115	(6,14)	(4,10)	1	180	150	120	100
116	(6,14)	(4,10)	1	180	150	120	100
117	(6,14)	(4,10)	1	180	150	120	100
118	(6,14)	(4,10)	1	180	150	120	100
119	(6,14)	(4,10)	1	180	150	120	100
120	(6,14)	(4,10)	1	180	150	120	100
121	(6,14)	(4,10)	1	180	150	120	100
122	(6,14)	(4,10)	1	180	150	120	100
123	(6,14)	(4,10)	1	180	150	120	100
124	(6,14)	(4,10)	1	180	150	120	100
125	(6,14)	(4,10)	1	180	150	120	100
126	(6,14)	(4,10)	1	180	150	120	100
127	(6,14)	(4,10)	1	180	150	120	100
128	(6,14)	(4,10)	1	180	150	120	100
129	(6,14)	(4,10)	1	180	150	120	100
130	(6,14)	(4,10)	1	180	150	120	100
131	(6,14)	(4,10)	1	180	150	120	100
132	(6,14)	(4,10)	1	180	150	120	100
133	(6,14)	(4,10)	1	180	150	120	100
134	(6,14)	(4,10)	1	180	150	120	100
135	(6,14)	(4,10)	1	180	150	120	100
136	(6,14)	(4,10)	1	180	150	120	100
137	(6,14)	(4,10)	1	180	150	120	100
138	(6,14)	(4,10)	1	180	150	120	100
139	(6,14)	(4,10)	1	180	150	120	100
140	(6,14)	(4,10)	1	180	150	120	100
141	(6,14)	(4,10)	1	180	150	120	100
142	(6,14)	(4,10)	1	180	150	120	100
143	(6,14)	(4,10)	1	180	150	120	100
144	(6,14)	(4,10)	1	180	150	120	100
145	(6,14)	(4,10)	1	180	150	120	100
146	(6,14)	(4,10)	1	180	150	120	100
147	(6,14)	(4,10)	1	180	150	120	100
148	(6,14)	(4,10)	1	180	150	120	100
149	(6,14)	(4,10)	1	180	150	120	100
150	(6,14)	(4,10)	1	180	150	120	100
151	(6,14)	(4,10)	1	180	150	120	100
152	(6,14)	(4,10)	1	180	150	120	100
153	(6,14)	(4,10)	1	180	150	120	100
154	(6,14)	(4,10)	1	180	150	120	100
155	(6,14)	(4,10)	1	180	150	120	100
156	(6,14)	(4,10)	1	180	150	120	100
157	(6,14)	(4,10)	1	180	150	120	100
158	(6,14)	(4,10)	1	180	150	120	100
159	(6,14)	(4,10)	1	180	150	120	100
160	(6,14)	(4,10)	1	180	150	120	100
161	(6,14)	(4,10)	1	180	150	120	100
162	(6,14)	(4,10)	1	180	150	120	100
163	(6,14)	(4,10)	1	180	150	120	100
164	(6,14)	(4,10)	1	180	150	120	100
165	(6,14)	(4,10)	1	180	150	120	100
166	(6,14)	(4,10)	1	180	150	120	100
167	(6,14)	(4,10)	1	180	150	120	100
168	(6,14)	(4,10)	1	180	150	120	100
169	(6,14)	(4,10)	1	180	150	120	100
170	(6,14)	(4,10)	1	180	150	120	100
171	(6,14)	(4,10)	1	180	150	120	100
172	(6,14)	(4,10)	1	180	150	120	100
173	(6,14)	(4,10)	1	180	150	120	100
174	(6,14)	(4,10)	1	180	150	120	100
175	(6,14)	(4,10)	1	180	150	120	100
176	(6,14)	(4,10)	1	180	150	120	100
177	(6,14)	(4,10)	1	180	150	120	100
178	(6,14)	(4,10)	1	180	150	120	100
179	(6,14)	(4,10)	1	180	150	120	100
