level	needContribution	money	item	money_fcm	item_fcm
公会等级	需要贡献	金币奖励	物品奖励	金币奖励防沉迷	物品奖励防沉迷
1	0	20000	(25637,1)	10000	(25637,1)
2	50	40000	(25637,2)	20000	(25637,1)
3	200	60000	(25637,3)	30000	(25637,2)
4	500	80000	(25637,4)	40000	(25637,2)
5	1000	100000	(25637,5)	50000	(25637,3)
6	1500	120000	(25637,6)	60000	(25637,3)
7	2500	140000	(25637,7)	70000	(25637,4)
8	3500	160000	(25637,8)	80000	(25637,4)
9	4500	180000	(25637,9)	90000	(25637,5)
10	6000	200000	(25637,10)	100000	(25637,5)
11	7500	220000	(25637,10)	110000	(25637,5)
12	9000	240000	(25637,10)	120000	(25637,5)
13	10500	260000	(25637,10)	130000	(25637,5)
14	12500	280000	(25637,10)	140000	(25637,5)
15	14500	300000	(25637,10)	150000	(25637,5)
16	16500	320000	(25638,10)	160000	(25638,5)
17	18500	340000	(25638,10)	170000	(25638,5)
18	21500	360000	(25638,10)	180000	(25638,5)
19	24500	380000	(25638,10)	190000	(25638,5)
20	28000	400000	(25638,10)	200000	(25638,5)
21	31500	420000	(25639,10)	210000	(25639,5)
22	35000	440000	(25639,10)	220000	(25639,5)
23	40000	460000	(25639,10)	230000	(25639,5)
24	45000	480000	(25639,10)	240000	(25639,5)
25	50000	500000	(25639,10)	250000	(25639,5)
26	55000	520000	(25639,10)	260000	(25639,5)
27	60000	540000	(25639,10)	270000	(25639,5)
28	65000	560000	(25639,10)	280000	(25639,5)
29	70000	580000	(25639,10)	290000	(25639,5)
30	75000	600000	(25639,10)	300000	(25639,5)
31	80000	620000	(25639,10)	310000	(25639,5)
32	85000	640000	(25639,10)	320000	(25639,5)
33	90000	660000	(25639,10)	330000	(25639,5)
34	95000	680000	(25639,10)	340000	(25639,5)
35	100000	700000	(25639,10)	350000	(25639,5)
36	105000	720000	(25639,10)	360000	(25639,5)
37	110000	740000	(25639,10)	370000	(25639,5)
38	115000	760000	(25639,10)	380000	(25639,5)
39	120000	780000	(25639,10)	390000	(25639,5)
40	125000	800000	(25639,10)	400000	(25639,5)
