godId	godName	npcType	godCampId	rewardMoney	rewardMoney_fcm	rewardItemList	rewardItemList_fcm
魔神ID	魔神名	显示的NPC外观类型	魔神阵营ID	通关金币奖励	通关金币奖励	通关物品奖励	通关物品奖励
1	魔·天空射手	3009	7001	0	0	[(25638,10)]	[(25638,5)]
2	神·天空射手	3011	7002	100000	50000	[(25638,10),(25681,10)]	[(25638,5),(25681,5)]
3	魔·太阳神	3013	7003	200000	100000	[(25638,20),(25681,20)]	[(25638,10),(25681,10)]
4	神·太阳神	3015	7004	300000	150000	[(25639,20),(25681,30)]	[(25639,10),(25681,15)]
5	魔·死神	3017	7005	300000	150000	[(25639,20),(25681,40)]	[(25639,10),(25681,20)]
6	神·死神	3019	7006	300000	150000	[(25639,20),(25682,20)]	[(25639,10),(25682,10)]
7	魔·血族剑姬	3021	7007	400000	200000	[(25640,10),(25682,30)]	[(25640,5),(25682,15)]
8	神·血族剑姬	3023	7008	400000	200000	[(25640,10),(25682,40)]	[(25640,5),(25682,20)]
9	魔·海盗船长	3025	7009	500000	250000	[(25641,10),(25683,30)]	[(25641,5),(25683,15)]
10	神·海盗船长	3027	7010	500000	250000	[(25641,10),(25683,40)]	[(25641,5),(25683,20)]
11	魔·战争之王	3029	7011	600000	300000	[(25641,10),(25684,50)]	[(25641,5),(25683,25)]
12	神·战争之王	3031	7012	600000	300000	[(25641,10),(25684,60)]	[(25641,5),(25683,30)]
13	魔·众神之王	3033	7013	700000	350000	[(25642,12),(25685,70)]	[(25642,6),(25685,35)]
14	神·众神之王	3035	7014	800000	400000	[(25642,15),(25685,100)]	[(25642,8),(25685,50)]
15	魔·红袍女巫	3037	7015	900000	450000	[(25643,10),(25686,80)]	[(25643,5),(25686,40)]
16	神·红袍女巫	3039	7016	1000000	500000	[(25643,10),(25686,90)]	[(25643,5),(25686,45)]
17	魔·骷髅王	3601	7201	1100000	550000	[(25644,10),(26607,100)]	[(25644,5),(26607,50)]
18	神·骷髅王	3604	7202	1200000	600000	[(25644,10),(26607,110)]	[(25644,5),(26607,55)]
19	魔·死亡骑士	19037	7203	1300000	650000	[(25645,10),(27066,120)]	[(25645,5),(27066,60)]
20	神·死亡骑士	19040	7204	1400000	700000	[(25645,10),(27066,130)]	[(25645,5),(27066,65)]
21	魔·堕落天使	21000	7205	1300000	650000	[(28762,5),(27066,120)]	[(28762,3),(27066,60)]
22	神·堕落天使	21002	7206	1400000	700000	[(28762,5),(27066,130)]	[(28762,3),(27066,65)]
