goodId	dailyLimitCnt	costContribution	costUnbindRMB	needStoreLevel	needUnionResorce	item
商品id	角色每日限购数量	购买消耗贡献	购买消耗神石	激活需要商店等级	激活需要公会资源	商品内容及数量
1	0	1000	0	1	150000	(28233,1)
2	10	200	0	1	10000	(27642,1)
3	20	20	0	1	4000	(25638,1)
101	0	10000	0	2	50000	(26801,1)
102	0	10000	0	2	50000	(26802,1)
103	0	10000	0	2	50000	(26803,1)
104	20	25	0	2	6000	(25639,1)
105	5	500	0	2	20000	(26924,1)
201	0	10000	0	3	50000	(26804,1)
202	0	10000	0	3	50000	(26805,1)
203	0	10000	0	3	50000	(26806,1)
204	20	30	0	3	12000	(25640,1)
301	0	15000	0	4	75000	(27287,1)
302	0	15000	0	4	75000	(27288,1)
303	0	15000	0	4	75000	(27289,1)
304	20	40	0	4	20000	(25641,1)
401	0	15000	0	5	75000	(27290,1)
402	0	15000	0	5	75000	(27291,1)
403	0	15000	0	5	75000	(27292,1)
404	20	50	0	5	40000	(25642,1)
