zdlRange	resourceRange	timeRange
玩家战力区间	公会资源产量范围	时间范围
(0,100000)	(8,16)	(6,18)
(100001,300000)	(10,16)	(6,19)
(300001,500000)	(10,18)	(6,20)
(500001,1000000)	(12,18)	(6,21)
(1000001,1500000)	(12,20)	(8,21)
(1500001,2000000)	(14,20)	(8,22)
(2000001,2500000)	(14,22)	(10,24)
(2500001,3000000)	(16,22)	(10,24)
(3000001,4000000)	(16,24)	(12,24)
(4000001,5000000)	(18,24)	(12,24)
(5000001,6000000)	(18,26)	(12,28)
(6000001,8000000)	(20,26)	(12,30)
(8000001,10000000)	(20,28)	(12,32)
(10000001,99999999)	(22,28)	(12,36)
