shenshouId	upGradeId	npcType	maxGrouthValue	needUnionResorce	needShenShouTanLevel	shenshouName	fightType	monsterId	moneyCoe	contributionCoe	moneyMax	contributionMax	awardInShop	awardInShopType
神兽等级(理解成id也可以)	升阶后的ID	NPC类型	最大成长值	升级需要公会资源	升级需要神兽坛等级	神兽名字	战斗类型	怪物阵营ID	金币系数(十万分比)	贡献系数(十万分比)	金币获得上限	贡献获得上限	公会商店奖励 (商品id,数量,概率)	公会商店客户端奖励预览(道具ID)
0	1	16045	0	104900	1	0阶狮虎兽	0	0	0	0	0	0	[]	[]
1	2	16046	120	183600	2	1阶狮虎兽	164	7900	6666	5	40000	30	[(1,1,3600),(2,1,3600),(3,1,3600),(4,1,3600),(5,1,3600),(1,2,3600),(2,2,3600),(3,2,3600),(4,2,3600),(5,2,3600),(1,3,3600),(2,3,3600),(3,3,3600),(4,3,3600),(5,3,3600)]	[(25729,1),(25730,1),(25731,1),(25732,1),(25733,1)]
2	3	16047	120	262300	3	2阶狮虎兽	164	7901	6666	4	60000	32	[(1,1,3600),(2,1,3600),(3,1,3600),(4,1,3600),(5,1,3600),(1,2,3600),(2,2,3600),(3,2,3600),(4,2,3600),(5,2,3600),(1,3,3600),(2,3,3600),(3,3,3600),(4,3,3600),(5,3,3600),(1,4,3600),(2,4,3600),(3,4,3600),(4,4,3600),(5,4,3600)]	[(25729,1),(25730,1),(25731,1),(25732,1),(25733,1)]
3	4	16048	120	341000	4	3阶狮虎兽	164	7902	5000	2	80000	34	[(1,1,1800),(2,1,1800),(3,1,1800),(4,1,1800),(5,1,1800),(1,2,1800),(2,2,1800),(3,2,1800),(4,2,1800),(5,2,1800),(1,3,1800),(2,3,1800),(3,3,1800),(4,3,1800),(5,3,1800),(1,4,1800),(2,4,1800),(3,4,1800),(4,4,1800),(5,4,1800),(6,1,1800),(7,1,1800),(8,1,1800),(9,1,1800),(10,1,1800),(6,2,1800),(7,2,1800),(8,2,1800),(9,2,1800),(10,2,1800)]	[(25730,1),(25731,1),(25732,1),(25733,1),(25738,1),(25739,1),(25740,1),(25741,1),(25742,1)]
4	5	16049	120	419700	5	4阶狮虎兽	164	7903	4000	2	120000	36	[(1,1,1800),(2,1,1800),(3,1,1800),(4,1,1800),(5,1,1800),(1,2,1800),(2,2,1800),(3,2,1800),(4,2,1800),(5,2,1800),(1,3,1800),(2,3,1800),(3,3,1800),(4,3,1800),(5,3,1800),(1,4,1800),(2,4,1800),(3,4,1800),(4,4,1800),(5,4,1800),(6,1,1800),(7,1,1800),(8,1,1800),(9,1,1800),(10,1,1800),(6,2,1800),(7,2,1800),(8,2,1800),(9,2,1800),(10,2,1800),(6,3,1800),(7,3,1800),(8,3,1800),(9,3,1800),(10,3,1800)]	[(25730,1),(25731,1),(25732,1),(25733,1),(25738,1),(25739,1),(25740,1),(25741,1),(25742,1)]
5	6	16050	120	498300	6	5阶狮虎兽	164	7904	2857	1	140000	38	[(1,1,1400),(2,1,1400),(3,1,1400),(4,1,1400),(5,1,1400),(1,2,1400),(2,2,1400),(3,2,1400),(4,2,1400),(5,2,1400),(1,3,1400),(2,3,1400),(3,3,1400),(4,3,1400),(5,3,1400),(1,4,1400),(2,4,1400),(3,4,1400),(4,4,1400),(5,4,1400),(6,1,1400),(7,1,1400),(8,1,1400),(9,1,1400),(10,1,1400),(6,2,1400),(7,2,1400),(8,2,1400),(9,2,1400),(10,2,1400),(6,3,1400),(7,3,1400),(8,3,1400),(9,3,1400),(10,3,1400),(11,1,1400),(12,1,1400),(13,1,1400),(14,1,1400),(11,2,1400),(12,2,1400),(13,2,1400),(14,2,1400),(11,3,1400),(12,3,1400),(13,3,1400),(14,3,1400)]	[(25866,1),(25867,1),(25868,1),(25869,1),(25738,1),(25739,1),(25740,1),(25741,1),(25742,1)]
6	7	16051	120	577000	7	6阶狮虎兽	164	7905	2222	1	160000	40	[(1,1,1400),(2,1,1400),(3,1,1400),(4,1,1400),(5,1,1400),(1,2,1400),(2,2,1400),(3,2,1400),(4,2,1400),(5,2,1400),(1,3,1400),(2,3,1400),(3,3,1400),(4,3,1400),(5,3,1400),(1,4,1400),(2,4,1400),(3,4,1400),(4,4,1400),(5,4,1400),(6,1,1400),(7,1,1400),(8,1,1400),(9,1,1400),(10,1,1400),(6,2,1400),(7,2,1400),(8,2,1400),(9,2,1400),(10,2,1400),(6,3,1400),(7,3,1400),(8,3,1400),(9,3,1400),(10,3,1400),(11,1,1400),(12,1,1400),(13,1,1400),(14,1,1400),(11,2,1400),(12,2,1400),(13,2,1400),(14,2,1400),(11,3,1400),(12,3,1400),(13,3,1400),(14,3,1400),(11,4,1400),(12,4,1400),(13,4,1400),(14,4,1400)]	[(25866,1),(25867,1),(25868,1),(25869,1),(25738,1),(25739,1),(25740,1),(25741,1),(25742,1)]
7	8	16052	120	655700	8	7阶狮虎兽	164	7906	1538	1	180000	42	[(1,1,1000),(2,1,1000),(3,1,1000),(4,1,1000),(5,1,1000),(1,2,1000),(2,2,1000),(3,2,1000),(4,2,1000),(5,2,1000),(1,3,1000),(2,3,1000),(3,3,1000),(4,3,1000),(5,3,1000),(1,4,1000),(2,4,1000),(3,4,1000),(4,4,1000),(5,4,1000),(6,1,1000),(7,1,1000),(8,1,1000),(9,1,1000),(10,1,1000),(6,2,1000),(7,2,1000),(8,2,1000),(9,2,1000),(10,2,1000),(6,3,1000),(7,3,1000),(8,3,1000),(9,3,1000),(10,3,1000),(11,1,1000),(12,1,1000),(13,1,1000),(14,1,1000),(11,2,1000),(12,2,1000),(13,2,1000),(14,2,1000),(11,3,1000),(12,3,1000),(13,3,1000),(14,3,1000),(11,4,1000),(12,4,1000),(13,4,1000),(14,4,1000),(15,1,1000),(16,1,1000),(17,1,1000),(18,1,1000),(15,2,1000),(16,2,1000),(17,2,1000),(18,2,1000)]	[(25878,1),(25879,1),(25880,1),(25881,1),(25738,1),(25739,1),(25740,1),(25741,1),(25742,1)]
8	9	16053	120	734400	9	8阶狮虎兽	164	7907	1333	1	200000	44	[(1,1,1000),(2,1,1000),(3,1,1000),(4,1,1000),(5,1,1000),(1,2,1000),(2,2,1000),(3,2,1000),(4,2,1000),(5,2,1000),(1,3,1000),(2,3,1000),(3,3,1000),(4,3,1000),(5,3,1000),(1,4,1000),(2,4,1000),(3,4,1000),(4,4,1000),(5,4,1000),(6,1,1000),(7,1,1000),(8,1,1000),(9,1,1000),(10,1,1000),(6,2,1000),(7,2,1000),(8,2,1000),(9,2,1000),(10,2,1000),(6,3,1000),(7,3,1000),(8,3,1000),(9,3,1000),(10,3,1000),(11,1,1000),(12,1,1000),(13,1,1000),(14,1,1000),(11,2,1000),(12,2,1000),(13,2,1000),(14,2,1000),(11,3,1000),(12,3,1000),(13,3,1000),(14,3,1000),(11,4,1000),(12,4,1000),(13,4,1000),(14,4,1000),(15,1,1000),(16,1,1000),(17,1,1000),(18,1,1000),(15,2,1000),(16,2,1000),(17,2,1000),(18,2,1000),(15,3,1000),(16,3,1000),(17,3,1000),(18,3,1000)]	[(25878,1),(25879,1),(25880,1),(25881,1),(25738,1),(25739,1),(25740,1),(25741,1),(25742,1)]
