hurtRange	minLevel	maxLevel	rewardMoney	rewardBindRMB	rewardExp	rewardItem	rewardShow
伤害量	最小等级	最大等级	金币	魔晶	经验	奖励物品(物品ID，个数）	奖励展示(前端用）
(4000,11999)	30	39	68800	0	49200	[]	[(25828,68800),(25712,49200)]
(12000,31999)	30	39	73600	0	52400	[]	[(25828,73600),(25712,52400)]
(32000,59999)	30	39	79600	0	56400	[]	[(25828,79600),(25712,56400)]
(60000,95999)	30	39	91600	0	64400	[]	[(25828,91600),(25712,64400)]
(96000,139999)	30	39	115600	0	80400	[]	[(25828,115600),(25712,80400)]
(140000,199999)	30	39	131500	0	91800	[]	[(25828,131500),(25712,91800)]
(200000,227999)	30	39	137500	0	95800	[]	[(25828,137500),(25712,95800)]
(228000,275999)	30	39	143500	0	99800	[]	[(25828,143500),(25712,99800)]
(276000,343999)	30	39	149500	0	103800	[]	[(25828,149500),(25712,103800)]
(344000,431999)	30	39	158500	0	109800	[]	[(25828,158500),(25712,109800)]
(432000,539999)	30	39	167500	0	115800	[]	[(25828,167500),(25712,115800)]
(540000,667999)	30	39	176500	0	121800	[]	[(25828,176500),(25712,121800)]
(668000,819999)	30	39	185500	0	127800	[]	[(25828,185500),(25712,127800)]
(820000,999999)	30	39	194500	0	133800	[]	[(25828,194500),(25712,133800)]
(1000000,1199999)	30	39	203500	0	139800	[]	[(25828,203500),(25712,139800)]
(1200000,1599999)	30	39	215500	0	147800	[]	[(25828,215500),(25712,147800)]
(1600000,2199999)	30	39	227500	0	155800	[]	[(25828,227500),(25712,155800)]
(2200000,2999999)	30	39	239500	0	163800	[]	[(25828,239500),(25712,163800)]
(3000000,3999999)	30	39	248800	0	170000	[]	[(25828,248800),(25712,170000)]
(4000000,99999999999)	30	39	248800	0	170000	[]	[(25828,248800),(25712,170000)]
(10000,29999)	40	59	93400	0	68900	[]	[(25828,93400),(25712,68900)]
(30000,79999)	40	59	99800	0	73300	[]	[(25828,99800),(25712,73300)]
(80000,149999)	40	59	107800	0	78800	[]	[(25828,107800),(25712,78800)]
(150000,239999)	40	59	123800	0	89800	[]	[(25828,123800),(25712,89800)]
(240000,349999)	40	59	155800	0	111800	[]	[(25828,155800),(25712,111800)]
(350000,499999)	40	59	177900	0	126600	[]	[(25828,177900),(25712,126600)]
(500000,569999)	40	59	187900	0	132600	[]	[(25828,187900),(25712,132600)]
(570000,689999)	40	59	197900	0	138600	[]	[(25828,197900),(25712,138600)]
(690000,859999)	40	59	207900	0	144600	[]	[(25828,207900),(25712,144600)]
(860000,1079999)	40	59	222900	0	153600	[]	[(25828,222900),(25712,153600)]
(1080000,1349999)	40	59	237900	0	162600	[]	[(25828,237900),(25712,162600)]
(1350000,1669999)	40	59	252900	0	171600	[]	[(25828,252900),(25712,171600)]
(1670000,2049999)	40	59	267900	0	180600	[]	[(25828,267900),(25712,180600)]
(2050000,2499999)	40	59	282900	0	189600	[]	[(25828,282900),(25712,189600)]
(2500000,2999999)	40	59	297900	0	198600	[]	[(25828,297900),(25712,198600)]
(3000000,3999999)	40	59	317900	0	210600	[]	[(25828,317900),(25712,210600)]
(4000000,5499999)	40	59	337900	0	222600	[]	[(25828,337900),(25712,222600)]
(5500000,7499999)	40	59	357900	0	234600	[]	[(25828,357900),(25712,234600)]
(7500000,9999999)	40	59	373400	0	243900	[]	[(25828,373400),(25712,243900)]
(10000000,99999999999)	40	59	373400	0	243900	[]	[(25828,373400),(25712,243900)]
(20000,59999)	60	79	118000	0	98400	[]	[(25828,118000),(25712,98400)]
(60000,159999)	60	79	126000	0	104800	[]	[(25828,126000),(25712,104800)]
(160000,299999)	60	79	136000	0	112800	[]	[(25828,136000),(25712,112800)]
(300000,479999)	60	79	156000	0	128800	[]	[(25828,156000),(25712,128800)]
(480000,699999)	60	79	196000	0	160800	[]	[(25828,196000),(25712,160800)]
(700000,999999)	60	79	224300	0	182000	[]	[(25828,224300),(25712,182000)]
(1000000,1139999)	60	79	238300	0	190000	[]	[(25828,238300),(25712,190000)]
(1140000,1379999)	60	79	252300	0	198000	[]	[(25828,252300),(25712,198000)]
(1380000,1719999)	60	79	266300	0	206000	[]	[(25828,266300),(25712,206000)]
(1720000,2159999)	60	79	287300	0	218000	[]	[(25828,287300),(25712,218000)]
(2160000,2699999)	60	79	308300	0	230000	[]	[(25828,308300),(25712,230000)]
(2700000,3339999)	60	79	329300	0	242000	[]	[(25828,329300),(25712,242000)]
(3340000,4099999)	60	79	350300	0	254000	[]	[(25828,350300),(25712,254000)]
(4100000,4999999)	60	79	371300	0	266000	[]	[(25828,371300),(25712,266000)]
(5000000,5999999)	60	79	392300	0	278000	[]	[(25828,392300),(25712,278000)]
(6000000,7999999)	60	79	420300	0	294000	[]	[(25828,420300),(25712,294000)]
(8000000,10999999)	60	79	448300	0	310000	[]	[(25828,448300),(25712,310000)]
(11000000,14999999)	60	79	476300	0	326000	[]	[(25828,476300),(25712,326000)]
(15000000,19999999)	60	79	498000	0	338400	[]	[(25828,498000),(25712,338400)]
(20000000,99999999999)	60	79	498000	0	338400	[]	[(25828,498000),(25712,338400)]
(40000,119999)	80	99	147500	0	123000	[]	[(25828,147500),(25712,123000)]
(120000,319999)	80	99	157500	0	131000	[]	[(25828,157500),(25712,131000)]
(320000,599999)	80	99	170000	0	141000	[]	[(25828,170000),(25712,141000)]
(600000,959999)	80	99	195000	0	161000	[]	[(25828,195000),(25712,161000)]
(960000,1399999)	80	99	245000	0	201000	[]	[(25828,245000),(25712,201000)]
(1400000,1999999)	80	99	281500	0	227500	[]	[(25828,281500),(25712,227500)]
(2000000,2279999)	80	99	301500	0	237500	[]	[(25828,301500),(25712,237500)]
(2280000,2759999)	80	99	321500	0	247500	[]	[(25828,321500),(25712,247500)]
(2760000,3439999)	80	99	341500	0	257500	[]	[(25828,341500),(25712,257500)]
(3440000,4319999)	80	99	371500	0	272500	[]	[(25828,371500),(25712,272500)]
(4320000,5399999)	80	99	401500	0	287500	[]	[(25828,401500),(25712,287500)]
(5400000,6679999)	80	99	431500	0	302500	[]	[(25828,431500),(25712,302500)]
(6680000,8199999)	80	99	461500	0	317500	[]	[(25828,461500),(25712,317500)]
(8200000,9999999)	80	99	491500	0	332500	[]	[(25828,491500),(25712,332500)]
(10000000,11999999)	80	99	521500	0	347500	[]	[(25828,521500),(25712,347500)]
(12000000,15999999)	80	99	561500	0	367500	[]	[(25828,561500),(25712,367500)]
(16000000,21999999)	80	99	601500	0	387500	[]	[(25828,601500),(25712,387500)]
(22000000,29999999)	80	99	641500	0	407500	[]	[(25828,641500),(25712,407500)]
(30000000,39999999)	80	99	672500	0	423000	[]	[(25828,672500),(25712,423000)]
(40000000,99999999999)	80	99	672500	0	423000	[]	[(25828,672500),(25712,423000)]
(100000,299999)	100	119	176920	0	150000	[]	[(25828,176920),(25712,150000)]
(300000,799999)	100	119	189240	0	158320	[]	[(25828,189240),(25712,158320)]
(800000,1499999)	100	119	204640	0	168720	[]	[(25828,204640),(25712,168720)]
(1500000,2399999)	100	119	235440	0	189520	[]	[(25828,235440),(25712,189520)]
(2400000,3499999)	100	119	297040	0	231120	[]	[(25828,297040),(25712,231120)]
(3500000,4999999)	100	119	339240	0	272720	[]	[(25828,339240),(25712,272720)]
(5000000,5699999)	100	119	362040	0	312780	[]	[(25828,362040),(25712,312780)]
(5700000,6899999)	100	119	384840	0	323580	[]	[(25828,384840),(25712,323580)]
(6900000,8599999)	100	119	407640	0	334380	[]	[(25828,407640),(25712,334380)]
(8600000,10799999)	100	119	441840	0	350580	[]	[(25828,441840),(25712,350580)]
(10800000,13499999)	100	119	476040	0	366780	[]	[(25828,476040),(25712,366780)]
(13500000,16699999)	100	119	510240	0	382980	[]	[(25828,510240),(25712,382980)]
(16700000,20499999)	100	119	544440	0	399180	[]	[(25828,544440),(25712,399180)]
(20500000,24999999)	100	119	578640	0	415380	[]	[(25828,578640),(25712,415380)]
(25000000,29999999)	100	119	612840	0	431580	[]	[(25828,612840),(25712,431580)]
(30000000,39999999)	100	119	658440	0	453180	[]	[(25828,658440),(25712,453180)]
(40000000,54999999)	100	119	704040	0	474780	[]	[(25828,704040),(25712,474780)]
(55000000,74999999)	100	119	749640	0	496380	[]	[(25828,749640),(25712,496380)]
(75000000,99999999)	100	119	788880	0	512880	[]	[(25828,788880),(25712,512880)]
(100000000,99999999999)	100	119	788880	0	512880	[]	[(25828,788880),(25712,512880)]
(250000,749999)	120	139	200000	0	180000	[]	[(25828,200000),(25712,180000)]
(750000,1999999)	120	139	218000	0	190000	[]	[(25828,218000),(25712,190000)]
(2000000,3749999)	120	139	240500	0	202500	[]	[(25828,240500),(25712,202500)]
(3750000,5999999)	120	139	285500	0	227500	[]	[(25828,285500),(25712,227500)]
(6000000,8749999)	120	139	375500	0	277500	[]	[(25828,375500),(25712,277500)]
(8750000,12499999)	120	139	465500	0	357000	[]	[(25828,465500),(25712,357000)]
(12500000,14249999)	120	139	519500	0	414600	[]	[(25828,519500),(25712,414600)]
(14250000,17249999)	120	139	549500	0	426600	[]	[(25828,549500),(25712,426600)]
(17250000,21499999)	120	139	573500	0	438600	[]	[(25828,573500),(25712,438600)]
