targetType	targetIndex	param	targetDes	tarot	item	bindRMB	unbindRMB_S	browseAward	awardType
目标类型（1-心魔炼狱。2-组队爬塔。3-公会副本）	目标索引	参数(领取目标奖励需要满足条件)	参数(客户端预览)	命魂	道具	魔晶	奖励神石	奖励预览（客户端专用）	客户端预览类型（命魂1；道具2）
1	1	[1,999]	D评分通过一重罪	[(48,1)]	[]	0	0	[(48,1)]	1
1	2	[1,32]	A评分通过一重罪	[(49,1)]	[]	0	0	[(49,1)]	1
1	3	[1,12]	SSS评分通过一重罪	[(50,1)]	[]	0	0	[(50,1)]	1
1	4	[2,32]	A评分通过二重罪	[]	[(27673,1)]	0	0	[(27673,1)]	2
1	5	[2,24]	S评分通过二重罪	[(2,1)]	[]	0	0	[(2,1)]	1
1	6	[2,12]	SSS评分通过二重罪	[]	[(26634,1)]	0	0	[(26634,1)]	2
2	1	[1,999]	D评分通过寂灭之塔	[]	[(25658,1)]	0	0	[(25658,1)]	2
2	2	[1,100]	A评分通过寂灭之塔	[]	[(25658,1)]	0	0	[(25658,1)]	2
2	3	[1,40]	SSS评分通过寂灭之塔	[]	[(25658,1)]	0	0	[(25658,1)]	2
2	4	[2,100]	A评分通过天空之塔	[]	[(25658,2)]	0	0	[(25658,2)]	2
2	5	[2,80]	S评分通过天空之塔	[]	[(25658,2)]	0	0	[(25658,2)]	2
2	6	[2,40]	SSS评分通过天空之塔	[]	[(25658,3)]	0	0	[(25658,3)]	2
3	1	[1,1,100]	梦幻森林第1关占领度100	[]	[(26666,1)]	0	0	[(26666,1)]	2
3	2	[1,2,125]	梦幻森林第2关占领度125	[]	[(26666,1)]	0	0	[(26666,1)]	2
3	3	[1,3,150]	梦幻森林第3关占领度150	[]	[(26666,1)]	0	0	[(26666,1)]	2
3	4	[1,4,175]	梦幻森林第4关占领度175	[]	[(26666,1)]	0	0	[(26666,1)]	2
3	5	[1,5,200]	梦幻森林第5关占领度200	[]	[(26666,2)]	0	0	[(26666,2)]	2
3	6	[1,6,225]	梦幻森林第6关占领度225	[]	[(26666,2)]	0	0	[(26666,2)]	2
