id	Level	one	two
1	1	1	100
2	2	2	101
3	3	3	102
4	4	4	103
5	5	5	104
6	6	6	105
7	7	7	106
8	8	8	107
9	9	9	108
10	10	10	109
11	11	11	110
12	12	12	111
13	13	13	112
14	14	14	113
15	15	15	114
16	16	16	115
17	17	17	116
18	18	18	117
19	19	19	118
20	20	20	119
21	21	21	120
22	22	22	121
23	23	23	122
24	24	24	123
25	25	25	124
26	26	26	125
27	27	27	126
28	28	28	127
29	29	29	128
30	30	30	129
31	31	31	130
32	32	32	131
33	33	33	132
34	34	34	133
35	35	35	134
36	36	36	135
37	37	37	136
38	38	38	137
39	39	39	138
40	40	40	139
41	41	41	140
42	42	42	141
43	43	43	142
44	44	44	143
45	45	45	144
46	46	46	145
47	47	47	146
48	48	48	147
49	49	49	148
50	50	50	149
51	51	51	150
52	52	52	151
53	53	53	152
54	54	54	153
55	55	55	154
56	56	56	155
57	57	57	156
58	58	58	157
59	59	59	158
60	60	60	159
61	61	61	160
62	62	62	161
63	63	63	162
64	64	64	163
65	65	65	164
66	66	66	165
67	67	67	166
68	68	68	167
69	69	69	168
70	70	70	169
71	71	71	170
72	72	72	171
73	73	73	172
74	74	74	173
75	75	75	174
76	76	76	175
77	77	77	176
78	78	78	177
79	79	79	178
80	80	80	179
81	81	81	180
82	82	82	181
83	83	83	182
84	84	84	183
85	85	85	184
86	86	86	185
87	87	87	186
88	88	88	187
89	89	89	188
90	90	90	189
91	91	91	190
92	92	92	191
93	93	93	192
94	94	94	193
95	95	95	194
96	96	96	195
97	97	97	196
98	98	98	197
99	99	99	198
100	100	100	199
