index	layer	name	scene0	x0	y0	scenePos	hasFirst	firstItems	firstItems_fcm	firstMoney	firstRMB	firstRMB_fcm	yuLan	yuLan_fcm	Monster1	x1	y1	face1	camp1	fight1	reward1	Monster2	x2	y2	face2	camp2	fight2	reward2	Monster3	x3	y3	face3	camp3	fight3	reward3	m1	m2	boss	jumpRound	doornpc	door
章节索引	层	章节名字	场景	坐标x0	坐标y0	场景和进入坐标	是否有首次通关奖励	首次通关奖励物品	首次通关奖励物品	首次通关奖励金币	首次通关奖励魔晶	首次通关奖励魔晶	首次通关奖励（客户端预览）	首次通关奖励（客户端预览）	怪物1	坐标x1	坐标y1	朝向1	阵营1	战斗底图1	奖励1	怪物2	坐标x2	坐标y2	朝向2	阵营2	战斗底图2	奖励2	怪物3	坐标x3	坐标y3	朝向3	阵营3	战斗底图3	奖励3	怪物1数据(Npc类型,坐标X,坐标Y,朝向, 战斗ID,战斗类型,奖励ID)	怪物2数据(Npc类型,坐标X,坐标Y,朝向, 战斗ID,战斗类型,奖励ID)	boss数据(Npc类型,坐标X,坐标Y,朝向, 战斗ID,战斗类型,奖励ID)	跳层需要上一关的最小回合数	传送门类型	传送门数据(Npc类型,坐标X,坐标Y,朝向)
0	1	精灵之塔	162	363	808	(162,363,808)	0								14600	724	497	0	16524	141	451	14601	724	497	0	16525	142	452	14690	724	497	0	16526	143	453	(14600,724,497,0,16524,141,451)	(14601,724,497,0,16525,142,452)	(14690,724,497,0,16526,143,453)	0	15000	(15000,724,497,0)
0	2	精灵之塔	163	355	729	(163,355,729)	0								14603	836	676	0	16527	141	454	14604	836	676	0	16528	142	455	14691	836	676	0	16529	143	456	(14603,836,676,0,16527,141,454)	(14604,836,676,0,16528,142,455)	(14691,836,676,0,16529,143,456)	3	15001	(15001,836,676,0)
0	3	精灵之塔	164	687	461	(164,687,461)	0								14606	958	592	0	16530	141	457	14607	958	592	0	16531	142	458	14692	958	592	0	16532	143	459	(14606,958,592,0,16530,141,457)	(14607,958,592,0,16531,142,458)	(14692,958,592,0,16532,143,459)	3	15002	(15002,958,592,0)
0	4	精灵之塔	165	363	808	(165,363,808)	0								14609	724	497	0	16533	141	460	14610	724	497	0	16534	142	461	14693	724	497	0	16535	143	462	(14609,724,497,0,16533,141,460)	(14610,724,497,0,16534,142,461)	(14693,724,497,0,16535,143,462)	3	15003	(15003,724,497,0)
0	5	精灵之塔	166	355	729	(166,355,729)	1	[(25681,10)]	[(25681,5)]		10	5	[(25681,10),(25829,10)]	[(25681,5),(25829,5)]	14612	836	676	0	16536	141	463	14613	836	676	0	16537	142	464	14704	836	676	0	16538	143	465			(14704,836,676,0,16538,143,465)		15004	(15004,836,676,0)
0	6	精灵之塔	167	687	461	(167,687,461)	0								14615	958	592	0	16539	141	466	14616	958	592	0	16540	142	467	14695	958	592	0	16541	143	468	(14615,958,592,0,16539,141,466)	(14616,958,592,0,16540,142,467)	(14695,958,592,0,16541,143,468)	3	15005	(15005,958,592,0)
0	7	精灵之塔	168	363	808	(168,363,808)	0								14618	724	497	0	16542	141	469	14619	724	497	0	16543	142	470	14696	724	497	0	16544	143	471	(14618,724,497,0,16542,141,469)	(14619,724,497,0,16543,142,470)	(14696,724,497,0,16544,143,471)	3	15006	(15006,724,497,0)
0	8	精灵之塔	169	355	729	(169,355,729)	0								14621	836	676	0	16545	141	472	14622	836	676	0	16546	142	473	14697	836	676	0	16547	143	474	(14621,836,676,0,16545,141,472)	(14622,836,676,0,16546,142,473)	(14697,836,676,0,16547,143,474)	3	15007	(15007,836,676,0)
0	9	精灵之塔	170	687	461	(170,687,461)	0								14624	958	592	0	16548	141	475	14625	958	592	0	16549	142	476	14698	958	592	0	16550	143	477	(14624,958,592,0,16548,141,475)	(14625,958,592,0,16549,142,476)	(14698,958,592,0,16550,143,477)	3	15008	(15008,958,592,0)
0	10	精灵之塔	171	363	808	(171,363,808)	1	[(25681,20)]	[(25681,10)]		15	8	[(25681,20),(25829,15)]	[(25681,10),(25829,8)]	14627	724	497	0	16551	141	478	14628	724	497	0	16552	142	479	14699	724	497	0	16553	143	480			(14699,724,497,0,16553,143,480)		15009	(15009,724,497,0)
0	11	精灵之塔	172	355	729	(172,355,729)	0								14630	836	676	0	16554	141	481	14631	836	676	0	16555	142	482	14700	836	676	0	16556	143	483	(14630,836,676,0,16554,141,481)	(14631,836,676,0,16555,142,482)	(14700,836,676,0,16556,143,483)	3	15010	(15010,836,676,0)
0	12	精灵之塔	173	687	461	(173,687,461)	0								14633	958	592	0	16557	141	484	14634	958	592	0	16558	142	485	14701	958	592	0	16559	143	486	(14633,958,592,0,16557,141,484)	(14634,958,592,0,16558,142,485)	(14701,958,592,0,16559,143,486)	3	15011	(15011,958,592,0)
