rewardID	money	soul	items	money_fcm	soul_fcm	items_fcm
奖励ID	奖励金币	奖励龙灵	奖励物品	奖励金币	奖励龙灵	奖励物品
1	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
2	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
3	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]
4	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
5	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
6	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]
7	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
8	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
9	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]
10	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
11	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
12	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]
13	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
14	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
15	138600	100	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26681, 1, 2500),(26902, 1, 4000)]	69300	50	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26681, 1, 2500),(26902, 1, 4000)]
16	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
17	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
18	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]
19	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
20	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
21	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]
22	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
23	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
24	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]
25	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
26	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
27	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26902, 1, 4000)]
28	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
29	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
30	166320	100	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26682, 1, 2500),(26902, 1, 4000)]	83160	50	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26682, 1, 2500),(26902, 1, 4000)]
31	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
32	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
33	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]
34	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
35	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
36	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]
37	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
38	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
39	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]
40	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
41	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
42	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]
43	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
44	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
45	194040	100	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26683, 1, 2500),(26903, 1, 4000)]	97020	50	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26683, 1, 2500),(26903, 1, 4000)]
46	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
47	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
48	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]
49	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
50	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
51	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]
52	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
53	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
54	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]
55	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
56	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
57	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26903, 1, 4000)]
58	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
59	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
60	221760	100	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26684, 1, 2500),(26903, 1, 4000)]	110880	50	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26684, 1, 2500),(26903, 1, 4000)]
61	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
62	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
63	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]
64	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
65	0	10	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	5	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
66	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]
67	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
68	0	10	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	5	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
69	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]
70	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
71	0	10	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	5	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
72	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]
73	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
74	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
75	249480	100	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26685, 1, 2500),(26904, 1, 4000)]	124740	50	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26685, 1, 2500),(26904, 1, 4000)]
76	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
77	0	10	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	5	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
78	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]
79	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
