times	cost
炼金次数	消耗神石或魔晶
1	10
2	15
3	25
4	35
5	45
6	55
7	65
8	75
9	85
10	95
11	95
12	95
13	95
14	95
15	95
16	95
17	95
18	95
19	95
20	95
21	95
22	95
23	95
24	95
25	95
26	95
27	95
28	95
29	95
30	95
31	95
32	95
33	95
34	95
35	95
36	95
37	95
38	95
39	95
40	95
41	95
42	95
43	95
44	95
45	95
46	95
47	95
48	95
49	95
50	95
51	225
52	225
53	225
54	225
55	225
56	225
57	225
58	225
59	225
60	225
61	225
62	225
63	225
64	225
65	225
66	225
67	225
68	225
69	225
70	225
71	225
72	225
73	225
74	225
75	225
76	225
77	225
78	225
79	225
80	225
81	225
82	225
83	225
84	225
85	225
86	225
87	225
88	225
89	225
90	225
91	225
92	225
93	225
94	225
95	225
96	225
97	225
98	225
99	225
100	225
101	455
102	455
103	455
104	455
105	455
106	455
107	455
108	455
109	455
110	455
111	455
112	455
113	455
114	455
115	455
116	455
117	455
118	455
119	455
120	455
121	455
122	455
123	455
124	455
125	455
126	455
127	455
128	455
129	455
130	455
131	455
132	455
133	455
134	455
135	455
136	455
137	455
138	455
139	455
140	455
141	455
142	455
143	455
144	455
145	455
146	455
147	455
148	455
149	455
150	455
151	455
152	455
153	455
154	455
155	455
156	455
157	455
158	455
159	455
160	455
161	455
162	455
163	455
164	455
165	455
166	455
167	455
168	455
169	455
170	455
171	455
172	455
173	455
174	455
175	455
176	455
177	455
178	455
179	455
180	455
181	455
182	455
183	455
184	455
185	455
186	455
187	455
188	455
189	455
190	455
191	455
192	455
193	455
194	455
195	455
196	455
197	455
198	455
199	455
200	455
