times	cost
炼金次数	消耗神石或魔晶
1	2
2	4
3	6
4	8
5	10
6	12
7	14
8	16
9	18
10	20
11	20
12	20
13	20
14	20
15	20
16	20
17	20
18	20
19	20
20	20
21	20
22	20
23	20
24	20
25	20
26	20
27	20
28	20
29	20
30	20
31	20
32	20
33	20
34	20
35	20
36	20
37	20
38	20
39	20
40	20
41	20
42	20
43	20
44	20
45	20
46	20
47	20
48	20
49	20
50	20
51	50
52	50
53	50
54	50
55	50
56	50
57	50
58	50
59	50
60	50
61	50
62	50
63	50
64	50
65	50
66	50
67	50
68	50
69	50
70	50
71	50
72	50
73	50
74	50
75	50
76	50
77	50
78	50
79	50
80	50
81	50
82	50
83	50
84	50
85	50
86	50
87	50
88	50
89	50
90	50
91	50
92	50
93	50
94	50
95	50
96	50
97	50
98	50
99	50
100	50
101	100
102	100
103	100
104	100
105	100
106	100
107	100
108	100
109	100
110	100
111	100
112	100
113	100
114	100
115	100
116	100
117	100
118	100
119	100
120	100
121	100
122	100
123	100
124	100
125	100
126	100
127	100
128	100
129	100
130	100
131	100
132	100
133	100
134	100
135	100
136	100
137	100
138	100
139	100
140	100
141	100
142	100
143	100
144	100
145	100
146	100
147	100
148	100
149	100
150	100
151	100
152	100
153	100
154	100
155	100
156	100
157	100
158	100
159	100
160	100
161	100
162	100
163	100
164	100
165	100
166	100
167	100
168	100
169	100
170	100
171	100
172	100
173	100
174	100
175	100
176	100
177	100
178	100
179	100
180	100
181	100
182	100
183	100
184	100
185	100
186	100
187	100
188	100
189	100
190	100
191	100
192	100
193	100
194	100
195	100
196	100
197	100
198	100
199	100
200	100
