collectId	condition	rewardItem
收集ID	收集奖励条件	奖励物品
1	[(26988,7),(26995,7),(27002,7)]	[(25600,20)]
2	[(26989,7),(26996,7),(27003,7)]	[(26344,20)]
3	[(26990,7),(26997,7),(27004,7)]	[(27475,1)]
4	[(26991,7),(26998,7),(27005,7)]	[(26026,1)]
5	[(26992,7),(26999,7),(27006,7)]	[(26227,1)]
6	[(26993,7),(27000,7),(27007,7)]	[(26925,5)]
7	[(26994,7),(27001,7),(27008,7)]	[(26924,5)]
8	[(27018,10),(27019,10),(27020,10)]	[(27485,1)]
9	[(27021,10),(27022,10),(27023,10)]	[(26450,30)]
10	[(27018,10),(27021,10),(27024,10)]	[(27483,1)]
11	[(27019,10),(27022,10),(27025,10)]	[(27484,1)]
