cnt	explodeScorePerTime	cobomScorePerTime	totalExplodeCntScore	totalCobomCntScore	maxCobomScorePerExplode
次数、个数	单次消除积分（单次消除个数）	单次连锁积分（当前连锁次数）	累计消除积分（消除总个数）	累计连锁次数积分（连锁总次数）	最高连锁积分（最高单次消除连锁次数）
1	0	20	10	40	80
2	0	40	20	80	160
3	30	60	30	120	320
4	40	80	40	160	560
5	50	100	50	200	880
6	60	120	60	240	1280
7	70	140	70	280	1760
8	80	160	80	320	2320
9	90	180	90	360	2960
10	100	200	100	400	3680
11	110	220	110	440	4480
12	120	240	120	480	5360
13	130	260	130	520	6320
14	140	280	140	560	7360
15	150	300	150	600	8480
16	160	320	160	640	9680
17	170	340	170	680	10960
18	180	360	180	720	12320
19	190	380	190	760	13760
20	200	400	200	800	15280
21	210	420	210	840	16880
22	220	440	220	880	18560
23	230	460	230	920	20320
24	240	480	240	960	22160
25	250	500	250	1000	24080
26	260	520	260	1040	26080
27	270	540	270	1080	28160
28	280	560	280	1120	30320
29	290	580	290	1160	32560
30	300	600	300	1200	34880
31	310	620	310	1240	37280
32	320	640	320	1280	39760
33	330	660	330	1320	42320
34	340	680	340	1360	44960
35	350	700	350	1400	47680
36	360	720	360	1440	50480
37	370	740	370	1480	53360
38	380	760	380	1520	56320
39	390	780	390	1560	59360
40	400	800	400	1600	62480
41	410	820	410	1640	65680
42	420	840	420	1680	68960
43	430	860	430	1720	72320
44	440	880	440	1760	75760
45	450	900	450	1800	79280
46	460	920	460	1840	82880
47	470	940	470	1880	86560
48	480	960	480	1920	90320
49	490	980	490	1960	94160
50	500	1000	500	2000	98080
51	510	1020	510	2040	102080
52	520	1040	520	2080	106160
53	530	1060	530	2120	110320
54	540	1080	540	2160	114560
55	550	1100	550	2200	118880
56	560	1120	560	2240	123280
57	570	1140	570	2280	127760
58	580	1160	580	2320	132320
59	590	1180	590	2360	136960
60	600	1200	600	2400	141680
61	610	1220	610	2440	146480
62	620	1240	620	2480	151360
63	630	1260	630	2520	156320
64	640	1280	640	2560	161360
65	650	1300	650	2600	166480
66	660	1320	660	2640	171680
67	670	1340	670	2680	176960
68	680	1360	680	2720	182320
69	690	1380	690	2760	187760
70	700	1400	700	2800	193280
71	710	1420	710	2840	198880
72	720	1440	720	2880	204560
73	730	1460	730	2920	210320
74	740	1480	740	2960	216160
75	750	1500	750	3000	222080
76	760	1520	760	3040	228080
77	770	1540	770	3080	234160
78	780	1560	780	3120	240320
79	790	1580	790	3160	246560
80	800	1600	800	3200	252880
81	810	1620	810	3240	259280
82	820	1640	820	3280	265760
83	830	1660	830	3320	272320
84	840	1680	840	3360	278960
85	850	1700	850	3400	285680
86	860	1720	860	3440	292480
87	870	1740	870	3480	299360
88	880	1760	880	3520	306320
89	890	1780	890	3560	313360
90	900	1800	900	3600	320480
91	910	1820	910	3640	327680
92	920	1840	920	3680	334960
93	930	1860	930	3720	342320
94	940	1880	940	3760	349760
95	950	1900	950	3800	357280
96	960	1920	960	3840	364880
97	970	1940	970	3880	372560
98	980	1960	980	3920	380320
99	990	1980	990	3960	388160
100	1000	2000	1000	4000	396080
101	1010	2020	1010	4040	404080
102	1020	2040	1020	4080	412160
103	1030	2060	1030	4120	420320
104	1040	2080	1040	4160	428560
105	1050	2100	1050	4200	436880
106	1060	2120	1060	4240	445280
107	1070	2140	1070	4280	453760
108	1080	2160	1080	4320	462320
109	1090	2180	1090	4360	470960
110	1100	2200	1100	4400	479680
111	1110	2220	1110	4440	488480
112	1120	2240	1120	4480	497360
113	1130	2260	1130	4520	506320
114	1140	2280	1140	4560	515360
115	1150	2300	1150	4600	524480
116	1160	2320	1160	4640	533680
117	1170	2340	1170	4680	542960
118	1180	2360	1180	4720	552320
119	1190	2380	1190	4760	561760
120	1200	2400	1200	4800	571280
121	1210	2420	1210	4840	580880
122	1220	2440	1220	4880	590560
123	1230	2460	1230	4920	600320
124	1240	2480	1240	4960	610160
125	1250	2500	1250	5000	620080
126	1260	2520	1260	5040	630080
127	1270	2540	1270	5080	640160
128	1280	2560	1280	5120	650320
129	1290	2580	1290	5160	660560
130	1300	2600	1300	5200	670880
131	1310	2620	1310	5240	681280
132	1320	2640	1320	5280	691760
133	1330	2660	1330	5320	702320
134	1340	2680	1340	5360	712960
