index	rank	level	gift	giftPreView
奖励id	公会排名	玩家等级	奖励	客户端奖励预览
1	[1]	[1,39]	[(27481,5),(27482,1),(25681,200),(25661,100)]	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	[2]	[1,39]	[(27481,4),(27482,1),(25681,150),(25661,75)]	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	[3]	[1,39]	[(27481,3),(27482,1),(25681,100),(25661,50)]	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	[4,10]	[1,39]	[(27481,3),(25681,80),(25661,40)]	[(27481,3),(25681,80),(25661,40)]
5	[11,20]	[1,39]	[(27481,2),(25681,60),(25661,30)]	[(27481,2),(25681,60),(25661,30)]
1	[1]	[40,59]	[(27481,5),(27482,1),(25682,200),(25661,100)]	[(27481,5),(27482,1),(25682,200),(25661,100)]
2	[2]	[40,59]	[(27481,4),(27482,1),(25682,150),(25661,75)]	[(27481,4),(27482,1),(25682,150),(25661,75)]
3	[3]	[40,59]	[(27481,3),(27482,1),(25682,100),(25661,50)]	[(27481,3),(27482,1),(25682,100),(25661,50)]
4	[4,10]	[40,59]	[(27481,3),(25682,80),(25661,40)]	[(27481,3),(25682,80),(25661,40)]
5	[11,20]	[40,59]	[(27481,2),(25682,60),(25661,30)]	[(27481,2),(25682,60),(25661,30)]
1	[1]	[60,79]	[(27481,5),(27482,1),(25683,200),(25662,100)]	[(27481,5),(27482,1),(25683,200),(25662,100)]
2	[2]	[60,79]	[(27481,4),(27482,1),(25683,150),(25662,75)]	[(27481,4),(27482,1),(25683,150),(25662,75)]
3	[3]	[60,79]	[(27481,3),(27482,1),(25683,100),(25662,50)]	[(27481,3),(27482,1),(25683,100),(25662,50)]
4	[4,10]	[60,79]	[(27481,3),(25683,80),(25662,40)]	[(27481,3),(25683,80),(25662,40)]
5	[11,20]	[60,79]	[(27481,2),(25683,60),(25662,30)]	[(27481,2),(25683,60),(25662,30)]
1	[1]	[80,99]	[(27481,5),(27482,1),(25684,200),(25663,100)]	[(27481,5),(27482,1),(25684,200),(25663,100)]
2	[2]	[80,99]	[(27481,4),(27482,1),(25684,150),(25663,75)]	[(27481,4),(27482,1),(25684,150),(25663,75)]
3	[3]	[80,99]	[(27481,3),(27482,1),(25684,100),(25663,50)]	[(27481,3),(27482,1),(25684,100),(25663,50)]
4	[4,10]	[80,99]	[(27481,3),(25684,80),(25663,40)]	[(27481,3),(25684,80),(25663,40)]
5	[11,20]	[80,99]	[(27481,2),(25684,60),(25663,30)]	[(27481,2),(25684,60),(25663,30)]
1	[1]	[100,119]	[(27481,5),(27482,1),(25685,200),(25664,100)]	[(27481,5),(27482,1),(25685,200),(25664,100)]
2	[2]	[100,119]	[(27481,4),(27482,1),(25685,150),(25664,75)]	[(27481,4),(27482,1),(25685,150),(25664,75)]
3	[3]	[100,119]	[(27481,3),(27482,1),(25685,100),(25664,50)]	[(27481,3),(27482,1),(25685,100),(25664,50)]
4	[4,10]	[100,119]	[(27481,3),(25685,80),(25664,40)]	[(27481,3),(25685,80),(25664,40)]
5	[11,20]	[100,119]	[(27481,2),(25685,60),(25664,30)]	[(27481,2),(25685,60),(25664,30)]
1	[1]	[120,139]	[(27481,5),(27482,1),(25686,200),(25665,100)]	[(27481,5),(27482,1),(25686,200),(25665,100)]
2	[2]	[120,139]	[(27481,4),(27482,1),(25686,150),(25665,75)]	[(27481,4),(27482,1),(25686,150),(25665,75)]
3	[3]	[120,139]	[(27481,3),(27482,1),(25686,100),(25665,50)]	[(27481,3),(27482,1),(25686,100),(25665,50)]
4	[4,10]	[120,139]	[(27481,3),(25686,80),(25665,40)]	[(27481,3),(25686,80),(25665,40)]
5	[11,20]	[120,139]	[(27481,2),(25686,60),(25665,30)]	[(27481,2),(25686,60),(25665,30)]
1	[1]	[140,159]	[(27481,5),(27482,1),(26607,200),(27048,100)]	[(27481,5),(27482,1),(26607,200),(27048,100)]
2	[2]	[140,159]	[(27481,4),(27482,1),(26607,150),(27048,75)]	[(27481,4),(27482,1),(26607,150),(27048,75)]
3	[3]	[140,159]	[(27481,3),(27482,1),(26607,100),(27048,50)]	[(27481,3),(27482,1),(26607,100),(27048,50)]
4	[4,10]	[140,159]	[(27481,3),(26607,80),(27048,40)]	[(27481,3),(26607,80),(27048,40)]
5	[11,20]	[140,159]	[(27481,2),(26607,60),(27048,30)]	[(27481,2),(26607,60),(27048,30)]
1	[1]	[160,179]	[(27481,5),(27482,1),(27066,200),(27904,100)]	[(27481,5),(27482,1),(27066,200),(27904,100)]
2	[2]	[160,179]	[(27481,4),(27482,1),(27066,150),(27904,75)]	[(27481,4),(27482,1),(27066,150),(27904,75)]
3	[3]	[160,179]	[(27481,3),(27482,1),(27066,100),(27904,50)]	[(27481,3),(27482,1),(27066,100),(27904,50)]
4	[4,10]	[160,179]	[(27481,3),(27066,80),(27904,40)]	[(27481,3),(27066,80),(27904,40)]
5	[11,20]	[160,179]	[(27481,2),(27066,60),(27904,30)]	[(27481,2),(27066,60),(27904,30)]
