zoneId	zoneName
区ID	区名字
2	模拟2
3	模拟3
21	不删档勇者一区
22	勇者二区
24	勇者三区
25	勇者四区
26	勇者五区
27	勇者六区
28	勇者七区
29	勇者八区
30	勇者九区
31	勇者十区
32	勇者11区
33	勇者12区
34	勇者13区
35	勇者14区
36	勇者15区
37	勇者16区
38	勇者17区
39	勇者18区
40	勇者19区
41	勇者20区
42	勇者21区
43	勇者22区
44	勇者23区
45	勇者24区
46	勇者25区
47	勇者26区
48	勇者27区
49	勇者28区
50	勇者29区
51	勇者30区
52	勇者31区
53	勇者32区
54	勇者33区
55	勇者34区
56	勇者35区
57	勇者36区
58	勇者37区
59	勇者38区
60	勇者39区
61	勇者40区
62	勇者41区
64	勇者42区
65	勇者43区
66	勇者44区
67	勇者45区
68	勇者46区
69	勇者47区
70	勇者48区
71	勇者49区
72	勇者50区
73	勇者51区
74	勇者52区
75	勇者53区
76	勇者54区
77	勇者55区
78	勇者56区
79	勇者57区
80	勇者58区
81	勇者59区
82	勇者60区
83	勇者61区
84	勇者62区
85	勇者63区
86	勇者64区
87	勇者65区
88	勇者66区
89	勇者67区
90	勇者68区
91	勇者69区
92	勇者70区
93	勇者71区
94	勇者72区
95	勇者73区
96	勇者74区
97	勇者75区
98	勇者76区
100	勇者77区
101	勇者78区
102	勇者79区
103	勇者80区
104	勇者81区
105	勇者82区
106	勇者83区
107	勇者84区
108	勇者85区
109	勇者86区
110	勇者87区
111	勇者88区
112	勇者89区
113	勇者90区
114	勇者91区
115	勇者92区
116	勇者93区
117	勇者94区
118	勇者95区
119	勇者96区
120	勇者97区
121	勇者98区
122	勇者99区
124	勇者100区
125	勇者101区
126	勇者102区
127	勇者103区
128	勇者104区
129	勇者105区
130	勇者106区
131	勇者107区
132	勇者108区
133	勇者109区
134	勇者110区
