level	exp
主人等级	每天最大可以获得的经验
31	82000
32	83000
33	84000
34	85000
35	86000
36	87000
37	88000
38	89000
39	90000
40	121000
41	122000
42	123000
43	124000
44	125000
45	126000
46	127000
47	128000
48	129000
49	130000
50	131000
51	132000
52	133000
53	134000
54	135000
55	136000
56	137000
57	138000
58	139000
59	140000
60	171000
61	172000
62	173000
63	174000
64	175000
65	176000
66	177000
67	178000
68	179000
69	180000
70	181000
71	182000
72	183000
73	184000
74	185000
75	186000
76	187000
77	188000
78	189000
79	190000
80	221000
81	222000
82	223000
83	224000
84	225000
85	226000
86	227000
87	228000
88	229000
89	230000
90	231000
91	232000
92	233000
93	234000
94	235000
95	236000
96	237000
97	238000
98	239000
99	240000
100	250000
101	251000
102	252000
103	253000
104	254000
105	255000
106	256000
107	257000
108	258000
109	259000
110	260000
111	261000
112	262000
113	263000
114	264000
115	265000
116	266000
117	267000
118	268000
119	269000
120	279000
121	280000
122	281000
123	282000
124	283000
125	284000
126	285000
127	286000
128	287000
129	288000
130	289000
131	290000
132	291000
133	292000
134	293000
135	294000
136	295000
137	296000
138	297000
139	298000
140	308000
141	309000
142	310000
143	311000
144	312000
145	313000
146	314000
147	315000
148	316000
149	317000
150	318000
151	319000
152	320000
153	321000
154	322000
155	323000
156	324000
157	325000
158	326000
159	327000
160	328000
161	329000
162	330000
163	331000
164	332000
165	333000
166	334000
167	335000
168	336000
169	337000
170	338000
171	339000
172	340000
173	341000
174	342000
175	343000
176	344000
177	345000
178	346000
179	347000
