level	exp
奴隶等级	每秒钟增加经验
31	9490
32	9610
33	9720
34	9840
35	9950
36	10070
37	10190
38	10300
39	10420
40	14000
41	14120
42	14240
43	14350
44	14470
45	14580
46	14700
47	14810
48	14930
49	15050
50	15160
51	15280
52	15390
53	15510
54	15630
55	15740
56	15860
57	15970
58	16090
59	16200
60	19790
61	19910
62	20020
63	20140
64	20250
65	20370
66	20490
67	20600
68	20720
69	20830
70	20950
71	21060
72	21180
73	21300
74	21410
75	21530
76	21640
77	21760
78	21880
79	21990
80	25580
81	25690
82	25810
83	25930
84	26040
85	26160
86	26270
87	26390
88	26500
89	26620
90	26740
91	26850
92	26970
93	27080
94	27200
95	27310
96	27430
97	27550
98	27660
99	27780
100	27780
101	28940
102	29050
103	29170
104	29280
105	29400
106	29510
107	29630
108	29750
109	29860
110	29980
111	30090
112	30210
113	30320
114	30440
115	30560
116	30670
117	30790
118	30900
119	31020
120	32290
121	32410
122	32520
123	32640
124	32750
125	32870
126	32970
127	33100
128	33220
129	33330
130	33450
131	33560
132	33680
133	33800
134	33910
135	34030
136	34140
137	34260
138	34375
139	34490
140	35649
141	35764
142	35880
143	35996
144	36112
145	36227
146	36343
147	36459
148	36575
149	36690
150	36806
151	36922
152	37038
153	37153
154	37269
155	37385
156	37500
157	37616
158	37732
159	37848
160	37963
161	38079
162	38195
163	38311
164	38426
165	38542
166	38658
167	38774
168	38889
169	39005
170	39121
171	39237
172	39352
173	39468
174	39584
175	39700
176	39815
177	39931
178	40047
179	40163
