level	bindRMB	rewardItemList	rewardPreview
玩家等级	魔晶	奖励物品列表[(物品Coding, 数量)]	奖励预览列表[(物品Coding, 数量)]
1	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
2	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
3	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
4	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
5	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
6	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
7	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
8	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
9	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
10	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
11	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
12	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
13	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
14	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
15	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
16	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
17	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
18	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
19	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
20	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
21	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
22	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
23	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
24	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
25	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
26	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
27	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
28	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
29	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
30	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
31	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
32	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
33	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
34	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
35	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
36	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
37	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
38	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
39	10	[(25661,3),(25681,3)]	[(25829,10),(25661,3),(25681,3)]
40	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
41	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
42	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
43	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
44	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
45	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
46	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
47	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
48	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
49	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
50	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
51	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
52	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
53	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
54	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
55	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
56	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
57	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
58	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
59	10	[(25661,3),(25682,3)]	[(25829,10),(25661,3),(25682,3)]
60	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
61	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
62	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
63	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
64	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
65	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
66	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
67	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
68	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
69	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
70	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
71	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
72	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
73	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
74	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
75	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
76	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
77	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
78	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
79	10	[(25662,3),(25683,3)]	[(25829,10),(25662,3),(25683,3)]
80	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
81	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
82	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
83	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
84	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
85	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
86	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
87	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
88	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
