mountId	mountName	mountBuffName	wingHeightDif	mountHeight	mountZHeight	mountRes	mountResChange	mountHead	mountBuff	mountActiveDes	mountUnActiveDes	moveSpeed	isFly	mountPos	timeLimit	timeLimitToForever	mountType	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
坐騎id	坐騎名稱	屬性名稱	翅膀高度差	坐騎高度	戰鬥坐騎高度	坐騎資源	坐騎資源轉換（藍鑽坐騎黃鑽登錄 顯示資源 黃鑽坐騎藍鑽登錄顯示資源）	坐騎頭像	坐騎外形按鈕	坐騎啟動描述	坐騎未啟動描述	移動速度	是否可以飛行	在面板中的位置	時間限定天數	是否限時坐騎變永久坐騎	坐騎類型 1普通 2藍鑽專屬 3黃鑽專屬	生命	攻擊速度	怒氣	物攻	物防	法攻	法防	暴擊	免暴	破防	免破	格擋	破擋	增傷	免傷
1	鎧甲戰馬	無	58	-20	0	90001	90001	zhanma1	jinjing1	0階坐騎		375	1	[140,220]	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	森林之狼	狼魂	58	-40	-30	90002	90002	zhanma2	jinjing2	1階坐騎	1階啟動	412	1	[180,210]	0	0	1	240	0	0	80	0	80	0	0	0	0	0	0	0	0	0
3	極地白虎	虎魄	58	-20	-10	90003	90003	zhanma3	jinjing3	2階坐騎	2階啟動	450	1	[140,210]	0	0	1	720	0	0	240	0	240	0	0	0	0	0	0	0	0	0
4	黑暗之翼	翼神	58	-20	-20	90004	90004	zhanma4	jinjing4	3階坐騎	3階啟動	487	1	[140,220]	0	0	1	1680	0	0	560	0	560	0	0	0	0	0	0	0	0	0
5	鷲馬	鷲魂	58	-4	0	90005	90005	zhanma5	jinjing5	4階坐騎	4階啟動	525	1	[140,230]	0	0	1	2880	0	0	960	0	960	0	0	0	0	0	0	0	0	0
6	飛馬	天神	58		0	90006	90006	zhanma6	jinjing6	5階坐騎	5階啟動	562	1	[140,230]	0	0	1	5280	0	0	1760	0	1760	0	0	0	0	0	0	0	0	0
7	獅鷲	獅魂	58		-12	90007	90007	zhanma7	jinjing7	6階坐騎	6階啟動	600	1	[140,230]	0	0	1	8040	0	0	2680	0	2680	0	0	0	0	0	0	0	0	0
8	夢魘	噬魂	58		12	90008	90008	zhanma8	jinjing8	7階坐騎	7階啟動	600	1	[140,230]	0	0	1	11280	0	0	3760	0	3760	0	0	0	0	0	0	0	0	0
9	鳳凰	涅火	58		20	90009	90009	zhanma9	jinjing9	8階坐騎	8階啟動	600	1	[140,185]	0	0	1	15120	0	0	5040	0	5040	0	0	0	0	0	0	0	0	0
11	黃金白馬	黃金白馬	58	-20	0	90013	90013	zhanma12	jinjing12	活動專屬	活動獲得	600	1	[140,220]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
12	聖魔飛馬	聖魔飛馬	58		-5	90015	90015	zhanma13	jinjing13	活動專屬	活動獲得	600	1	[140,230]	0	0	1	2250	0	0	750	0	750	0	0	0	0	0	0	0	0	0
14	獅王星魂	獅王	58	-10	0	90017	90001	zhanma15	jinjing15	活動專屬	活動獲得	600	1	[140,230]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
15	魔蠍絕騎	魔蠍	58	-7	0	90019	90019	zhanma16	jinjing16	活動專屬	首充獲得	600	1	[140,230]	8	1	1	750	0	0	250	0	250	0	0	0	0	0	0	0	0	0
16	冰霜鳳凰	冰霜	58	-20	20	90016	90016	zhanma17	jinjing17	跨服爭霸	冠軍專屬	650	1	[140,185]	28	0	1	3000	0	0	1000	0	1000	0	0	0	0	0	0	0	0	0
17	地獄三頭犬	地獄	58		0	90020	90020	zhanma18	jinjing18	公會專屬	公會商店出售	600	1	[160,230]	7	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
18	烈焰年獸	烈焰	58	-40	-30	90021	90021	zhanma19	jinjing19	活動專屬	活動獲得	600	1	[140,195]	0	0	1	2250	0	0	750	0	750	0	0	0	0	0	0	0	0	0
19	地獄三頭犬	地獄	58		0	90020	90020	zhanma18	jinjing18	組隊爬塔	組隊爬塔獲得	450	1	[160,230]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
20	狂牛星魂	狂牛	58	-20	0	90023	90023	zhanma20	jinjing20	活動專屬	活動獲得	400	1	[140,220]	0	0	1	1500	0	0	800	0	800	0	0	0	0	0	0	0	0	0
21	暗黑翼龍	翼龍	58	-5	0	90022	90022	zhanma21	jinjing21	活動專屬	活動獲得	400	1	[140,220]	0	0	1	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
22	雷霆飛龍	雷霆	58	-5	50	90026	90026	zhanma22	jinjing22	活動專屬	活動獲得	400	1	[140,220]	0	0	1	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
25	白色羊駝	羊駝	58	-20	0	90027	90027	zhanma25	jinjing25	活動專屬	活動獲得	400	1	[140,220]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
