evolveId	level	starNum	totalExp	needMoney	addExp	GoldCrit	GoldTimes	needRMB	itemId	needItemNum	RMBaddExp	RMBCrit1	RMBTimes1	RMBCrit2	NextID	maxIllusionId	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
进化Id	阶级	显示星星数	总经验	普通培养消耗金币	普通培养增加经验	普通培养暴概率（万分比）	普通培养暴击倍数	元宝培养消耗（神石或魔晶）	元宝培养消耗道具	需要道具数量	元宝培养增加经验	元宝培养小暴击概率	元宝培养小暴击倍数	元宝培养大暴击概率	是否进阶,进阶ID	可幻化的最大id	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	0	0	233	10000	10	800	10	10	25600	1	20	1000	10	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	1	238	10000	10	800	10	10	25600	1	20	1000	10	10	0	1	36	0	0	12	0	12	0	0	0	0	0	0	0	0	0
3	0	2	243	10000	10	800	10	10	25600	1	20	1000	10	10	0	1	72	0	0	24	0	24	0	0	0	0	0	0	0	0	0
4	0	3	248	10000	10	800	10	10	25600	1	20	1000	10	10	0	1	108	0	0	36	0	36	0	0	0	0	0	0	0	0	0
5	0	4	253	10000	10	800	10	10	25600	1	20	1000	10	10	0	1	144	0	0	48	0	48	0	0	0	0	0	0	0	0	0
6	0	5	264	10000	10	800	10	10	25600	1	20	1000	10	10	0	1	180	0	0	60	0	60	0	0	0	0	0	0	0	0	0
7	0	6	269	10000	10	800	10	10	25600	1	20	1000	10	10	0	1	216	0	0	72	0	72	0	0	0	0	0	0	0	0	0
8	0	7	274	10000	10	800	10	10	25600	1	20	1000	10	10	0	1	252	0	0	84	0	84	0	0	0	0	0	0	0	0	0
9	0	8	279	10000	10	800	10	10	25600	1	20	1000	10	10	0	1	288	0	0	96	0	96	0	0	0	0	0	0	0	0	0
10	0	9	284	10000	10	800	10	10	25600	1	20	1000	10	10	2	1	324	0	0	108	0	108	0	0	0	0	0	0	0	0	0
