mountId	mountGrade	nextGrade	gradeName	gradeColor	needLevel	needevolveId	needItemCoding	needItemCnt	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
坐骑ID	品阶	下一阶	品质名称	品阶颜色	需要等级	需要坐骑阶数	需要物品coding	需要物品数量	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	0	1	无	白色	0	0	27566	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	2	普通	绿色	0	0	27566	2	400	0	0	100	0	100	0	0	0	0	0	0	0	0	0
1	2	3	精良	蓝色	0	0	27566	4	800	0	0	200	0	200	0	0	0	0	0	0	0	0	0
1	3	4	史诗	紫色	0	0	27566	8	1400	0	0	350	0	350	0	0	0	0	0	0	0	0	0
1	4	5	传说	橙色	0	0	27566	24	2000	0	0	500	0	500	0	0	0	0	0	0	0	0	0
1	5	-1	传奇	红色	0	0	27566	0	3200	0	0	800	0	800	0	0	0	0	0	0	0	0	0
2	0	1	无	白色	0	0	27566	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	2	普通	绿色	0	0	27566	16	1000	0	0	250	0	250	0	0	0	0	0	0	0	0	0
2	2	3	精良	蓝色	0	0	27566	33	2000	0	0	500	0	500	0	0	0	0	0	0	0	0	0
2	3	4	史诗	紫色	0	0	27566	100	3500	0	0	875	0	875	0	0	0	0	0	0	0	0	0
2	4	5	传说	橙色	0	0	27566	330	5000	0	0	1250	0	1250	0	0	0	0	0	0	0	0	0
2	5	-1	传奇	红色	0	0	27566	0	8000	0	0	2000	0	2000	0	0	0	0	0	0	0	0	0
3	0	1	无	白色	0	0	27566	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	1	2	普通	绿色	0	0	27566	16	1000	0	0	250	0	250	0	0	0	0	0	0	0	0	0
3	2	3	精良	蓝色	0	0	27566	33	2000	0	0	500	0	500	0	0	0	0	0	0	0	0	0
3	3	4	史诗	紫色	0	0	27566	100	3500	0	0	875	0	875	0	0	0	0	0	0	0	0	0
3	4	5	传说	橙色	0	0	27566	330	5000	0	0	1250	0	1250	0	0	0	0	0	0	0	0	0
3	5	-1	传奇	红色	0	0	27566	0	8000	0	0	2000	0	2000	0	0	0	0	0	0	0	0	0
4	0	1	无	白色	0	0	27566	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	2	普通	绿色	0	0	27566	16	1000	0	0	250	0	250	0	0	0	0	0	0	0	0	0
4	2	3	精良	蓝色	0	0	27566	33	2000	0	0	500	0	500	0	0	0	0	0	0	0	0	0
4	3	4	史诗	紫色	0	0	27566	100	3500	0	0	875	0	875	0	0	0	0	0	0	0	0	0
4	4	5	传说	橙色	0	0	27566	330	5000	0	0	1250	0	1250	0	0	0	0	0	0	0	0	0
4	5	-1	传奇	红色	0	0	27566	0	8000	0	0	2000	0	2000	0	0	0	0	0	0	0	0	0
5	0	1	无	白色	0	0	27566	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	1	2	普通	绿色	0	0	27566	16	1000	0	0	250	0	250	0	0	0	0	0	0	0	0	0
5	2	3	精良	蓝色	0	0	27566	33	2000	0	0	500	0	500	0	0	0	0	0	0	0	0	0
5	3	4	史诗	紫色	0	0	27566	100	3500	0	0	875	0	875	0	0	0	0	0	0	0	0	0
5	4	5	传说	橙色	0	0	27566	330	5000	0	0	1250	0	1250	0	0	0	0	0	0	0	0	0
5	5	-1	传奇	红色	0	0	27566	0	8000	0	0	2000	0	2000	0	0	0	0	0	0	0	0	0
6	0	1	无	白色	0	0	27566	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	1	2	普通	绿色	0	0	27566	24	1000	0	0	250	0	250	0	100	100	0	0	100	100	0	0
6	2	3	精良	蓝色	0	0	27566	48	2000	0	0	500	0	500	0	200	200	0	0	200	200	0	0
6	3	4	史诗	紫色	0	0	27566	144	3500	0	0	875	0	875	0	350	350	0	0	350	350	0	0
6	4	5	传说	橙色	0	0	27566	480	5000	0	0	1250	0	1250	0	500	500	0	0	500	500	0	0
6	5	-1	传奇	红色	0	0	27566	0	8000	0	0	2000	0	2000	0	800	800	0	0	800	800	0	0
7	0	1	无	白色	0	0	27566	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	1	2	普通	绿色	0	0	27566	24	1000	0	0	250	0	250	0	100	100	0	0	100	100	0	0
7	2	3	精良	蓝色	0	0	27566	48	2000	0	0	500	0	500	0	200	200	0	0	200	200	0	0
7	3	4	史诗	紫色	0	0	27566	144	3500	0	0	875	0	875	0	350	350	0	0	350	350	0	0
7	4	5	传说	橙色	0	0	27566	480	5000	0	0	1250	0	1250	0	500	500	0	0	500	500	0	0
7	5	-1	传奇	红色	0	0	27566	0	8000	0	0	2000	0	2000	0	800	800	0	0	800	800	0	0
8	0	1	无	白色	0	0	27566	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1	2	普通	绿色	0	0	27566	24	1000	0	0	250	0	250	0	100	100	0	0	100	100	0	0
8	2	3	精良	蓝色	0	0	27566	48	2000	0	0	500	0	500	0	200	200	0	0	200	200	0	0
8	3	4	史诗	紫色	0	0	27566	144	3500	0	0	875	0	875	0	350	350	0	0	350	350	0	0
8	4	5	传说	橙色	0	0	27566	480	5000	0	0	1250	0	1250	0	500	500	0	0	500	500	0	0
8	5	-1	传奇	红色	0	0	27566	0	8000	0	0	2000	0	2000	0	800	800	0	0	800	800	0	0
9	0	1	无	白色	0	0	27566	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	1	2	普通	绿色	0	0	27566	24	1000	0	0	250	0	250	0	100	100	0	0	100	100	0	0
9	2	3	精良	蓝色	0	0	27566	48	2000	0	0	500	0	500	0	200	200	0	0	200	200	0	0
9	3	4	史诗	紫色	0	0	27566	144	3500	0	0	875	0	875	0	350	350	0	0	350	350	0	0
9	4	5	传说	橙色	0	0	27566	480	5000	0	0	1250	0	1250	0	500	500	0	0	500	500	0	0
9	5	-1	传奇	红色	0	0	27566	0	8000	0	0	2000	0	2000	0	800	800	0	0	800	800	0	0
15	0	1	无	白色	0	0	27566	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	1	2	普通	绿色	0	0	27566	30	1200	0	0	300	0	300	0	120	120	0	0	120	120	0	0
15	2	3	精良	蓝色	0	0	27566	60	2400	0	0	600	0	600	0	240	240	0	0	240	240	0	0
15	3	4	史诗	紫色	0	0	27566	180	4200	0	0	1050	0	1050	0	420	420	0	0	420	420	0	0
15	4	5	传说	橙色	0	0	27566	600	6000	0	0	1500	0	1500	0	600	600	0	0	600	600	0	0
15	5	-1	传奇	红色	0	0	27566	0	9600	0	0	2400	0	2400	0	960	960	0	0	960	960	0	0
19	0	1	无	白色	0	0	27566	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	2	普通	绿色	0	0	27566	24	1000	0	0	250	0	250	0	100	100	0	0	100	100	0	0
19	2	3	精良	蓝色	0	0	27566	48	2000	0	0	500	0	500	0	200	200	0	0	200	200	0	0
19	3	4	史诗	紫色	0	0	27566	144	3500	0	0	875	0	875	0	350	350	0	0	350	350	0	0
19	4	5	传说	橙色	0	0	27566	480	5000	0	0	1250	0	1250	0	500	500	0	0	500	500	0	0
19	5	-1	传奇	红色	0	0	27566	0	8000	0	0	2000	0	2000	0	800	800	0	0	800	800	0	0
25	0	1	无	白色	0	0	27566	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	1	2	普通	绿色	0	0	27566	30	1200	0	0	300	0	300	0	120	120	0	0	120	120	0	0
25	2	3	精良	蓝色	0	0	27566	60	2400	0	0	600	0	600	0	240	240	0	0	240	240	0	0
25	3	4	史诗	紫色	0	0	27566	180	4200	0	0	1050	0	1050	0	420	420	0	0	420	420	0	0
