itemId	foodId	foodName	EatConditions	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
对应的物品ID	食物ID	食物名称	食用的条件	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
25601	1	坐骑·小碎肉	12	120	0	0	40	0	40	0	0	0	0	0	0	0	0	0
25602	2	坐骑·小里脊	14	120	0	0	40	0	40	0	0	0	0	0	0	0	0	0
25603	3	坐骑·中里脊	16	120	0	0	40	0	40	0	0	0	0	0	0	0	0	0
25604	4	坐骑·大里脊	18	120	0	0	40	0	40	0	0	0	0	0	0	0	0	0
25605	5	坐骑·金里脊	20	120	0	0	40	0	40	0	0	0	0	0	0	0	0	0
25606	6	坐骑·小虾米	22	240	0	0	80	0	80	0	0	0	0	0	0	0	0	0
25607	7	坐骑·皮皮虾	24	240	0	0	80	0	80	0	0	0	0	0	0	0	0	0
25608	8	坐骑·竹节虾	26	240	0	0	80	0	80	0	0	0	0	0	0	0	0	0
25609	9	坐骑·鹰爪虾	28	240	0	0	80	0	80	0	0	0	0	0	0	0	0	0
25610	10	坐骑·金龙虾	30	240	0	0	80	0	80	0	0	0	0	0	0	0	0	0
25611	11	坐骑·小草菇	32	300	0	0	100	0	100	0	0	0	0	0	0	0	0	0
25612	12	坐骑·白灵菇	34	300	0	0	100	0	100	0	0	0	0	0	0	0	0	0
25613	13	坐骑·猴头菇	36	300	0	0	100	0	100	0	0	0	0	0	0	0	0	0
25614	14	坐骑·野灵芝	38	300	0	0	100	0	100	0	0	0	0	0	0	0	0	0
25615	15	坐骑·金云芝	40	300	0	0	100	0	100	0	0	0	0	0	0	0	0	0
25616	16	坐骑·小鳊鱼	42	600	0	0	200	0	200	0	0	0	0	0	0	0	0	0
25617	17	坐骑·小柴鱼	44	600	0	0	200	0	200	0	0	0	0	0	0	0	0	0
25618	18	坐骑·沙丁鱼	46	600	0	0	200	0	200	0	0	0	0	0	0	0	0	0
25619	19	坐骑·三文鱼	48	600	0	0	200	0	200	0	0	0	0	0	0	0	0	0
25620	20	坐骑·金枪鱼	50	600	0	0	200	0	200	0	0	0	0	0	0	0	0	0
25621	21	坐骑·小樱桃	52	690	0	0	230	0	230	0	0	0	0	0	0	0	0	0
25622	22	坐骑·罗汉果	54	690	0	0	230	0	230	0	0	0	0	0	0	0	0	0
25623	23	坐骑·圣女果	56	690	0	0	230	0	230	0	0	0	0	0	0	0	0	0
25624	24	坐骑·百香果	58	690	0	0	230	0	230	0	0	0	0	0	0	0	0	0
25625	25	坐骑·金枇杷	60	690	0	0	230	0	230	0	0	0	0	0	0	0	0	0
25626	26	坐骑·小园参	62	810	0	0	270	0	270	0	0	0	0	0	0	0	0	0
25627	27	坐骑·野山参	64	810	0	0	270	0	270	0	0	0	0	0	0	0	0	0
25628	28	坐骑·土红参	66	810	0	0	270	0	270	0	0	0	0	0	0	0	0	0
25629	29	坐骑·高丽参	68	810	0	0	270	0	270	0	0	0	0	0	0	0	0	0
25630	30	坐骑·金人参	70	810	0	0	270	0	270	0	0	0	0	0	0	0	0	0
25631	31	坐骑·花龟甲	72	960	0	0	320	0	320	0	0	0	0	0	0	0	0	0
25632	32	坐骑·水龟甲	74	960	0	0	320	0	320	0	0	0	0	0	0	0	0	0
25633	33	坐骑·地龟甲	76	960	0	0	320	0	320	0	0	0	0	0	0	0	0	0
25634	34	坐骑·斑龟甲	78	960	0	0	320	0	320	0	0	0	0	0	0	0	0	0
25635	35	坐骑·鳄龟甲	80	960	0	0	320	0	320	0	0	0	0	0	0	0	0	0
