source_text	target_text	need_translate
原文	译文	是否需要重新翻译
     #C(#00EE00)击败光射手[{0}/1]	     #C(#00EE00)Defeat the Moonlight Archers [{0}/1]	0
     #C(#00EE00)击败凶残劫匪[{0}/1]	     #C(#00EE00)Defeat the Ferocious Thief [{0}/1]	0
     #C(#00EE00)击败刺客 [{0}/1]#H     击败护卫[{1}/1]#H	     #C(#00EE00)Defeat the Assassins [{0}/1]#H Defeat the Guards [{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败女刺客[{1}/1]#H	     #C(#00EE00)Defeat the Assassins [{0}/1]#H Defeat the Huntress [{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败护卫 [{1}/1]#H	     #C(#00EE00)Defeat the Assassins [{0}/1]#H Defeat the Guards[{1}/1]#H	0
     #C(#00EE00)击败刺客头领[{0}/1]#H     击败强盗头子[{1}/1]#H	     #C(#00EE00)Defeat the Assassin Leaders [{0}/1]#H Defeat the Bandit Leaders [{1}/1]#H	0
     #C(#00EE00)击败劫匪[{0}/1]    	     #C(#00EE00)Defeat the Thief [{0}/1]#H    	0
     #C(#00EE00)击败劫匪[{0}/1]#H     击败守卫[{1}/1]#H	     #C(#00EE00)Defeat the Thief [{0}/1]#H Defeat the Guards [{1}/1]#H	0
     #C(#00EE00)击败喽啰[{0}/1]#H     击败光射手[{1}/1]#H	     #C(#00EE00)Defeat the Minion [{0}/1]#H Defeat the Moonlight Archers [{1}/1]#H	0
     #C(#00EE00)击败女刺客[{0}/1]#H     击败强盗[{1}/1]#H	     #C(#00EE00)Defeat the Huntress [{0}/1]#H Defeat the Bandit Leaders [{1}/1]#H	0
     #C(#00EE00)击败女射手[{0}/1]#H     击败神射手[{1}/1]#H     击败弓箭手[{2}/1]#H     击败媚射手[{3}/1]#n	     #C(#00EE00)Defeat Markswomen [{0}/1]#H Defeat Marksmen [{1}/1]#H Defeat Sagittary [{2}/1]#H Defeat Enchanting Archer [{3}/1]#n	0
     #C(#00EE00)击败妖姬[{0}/1]#H     击败打手[{1}/1]#H	     #C(#00EE00)Defeat the Banshees [{0}/1]#H Defeat the Thugs [{1}/1]#H	0
     #C(#00EE00)击败守卫[{0}/1]#H     击败凶残劫匪[{1}/1]#H	     #C(#00EE00)Defeat the Guards [{0}/1]#H Defeat the Ferocious Thief [{1}/1]#H	0
     #C(#00EE00)击败小四[{0}/1]#H     击败小五[{1}/1]#H     击败小六[{2}/1]#H     击败小七[{3}/1]#n	     #C(#00EE00)Defeat Dragomir [{0}/1]#H Defeat Krasimir [{1}/1]#H Defeat Bogumir [{2}/1]#H Defeat Cedomir [{3}/1]#n	0
     #C(#00EE00)击败强盗[{0}/1]	     #C(#00EE00)Defeat the Bandits [{0}/1]	0
     #C(#00EE00)击败强盗头子[{0}/1]#H     击败强盗 [{1}/1]#H	     #C(#00EE00)Defeat the Bandit Leaders [{0}/1]#H Defeat the Bandits [{1}/1]#H	0
     #C(#00EE00)击败暗射手[{0}/1]	     #C(#00EE00)Defeat the Dark Archers [{0}/1]	0
     #C(#00EE00)击败暗射手[{0}/1]#H     击败喽啰[{1}/1]#H	     #C(#00EE00)Defeat the Dark Archers [{0}/1]#H Defeat the Minions [{1}/1]#H	0
     #C(#00EE00)击败杀手[{0}/1]	     #C(#00EE00)Defeat the Killers [{0}/1]	0
     #C(#00EE00)击败杀手[{0}/1]#H     击败女刺客 [{1}/1]#H	     #C(#00EE00)Defeat the Killers [{0}/1]#H Defeat the Huntress [{1}/1]#H	0
     #C(#00EE00)击败杀手[{0}/1]#H     击败女刺客[{1}/1]#H	     #C(#00EE00)Defeat the Killers [{0}/1]#H Defeat the Huntress [{1}/1]#H	0
     #C(#00EE00)击败艳后[{0}/1]	     #C(#00EE00)Defeat Queen Akasha [{0}/1]	0
     #C(#00EE00)击败艳后[{0}/1]#H     击败刺客[{1}/1]#H	     #C(#00EE00)Defeat Queen Akasha [{0}/1]#H Defeat the Assassins [{1}/1]#H	0
     #C(#00EE00)击败阿大[{0}/1]#H     击败阿二[{1}/1]#H     击败阿三[{2}/1]#H     击败阿末[{3}/1]#n	     #C(#00EE00)Defeat Irenaeus [{0}/1]#H Defeat Armont [{1}/1]#H Defeat Nereth [{2}/1]#H Defeat Tyras [{3}/1]#n	0
     #C(#EE0000)100级可接取#C(#4876FF)安然接受#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 100 Required#C(#4876FF) Serenity #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)100级可接取#C(#4876FF)新的挑战#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 100 Required#C(#4876FF) A new Challenge #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)100级可接取#C(#4876FF)破灭#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 100 Required#C(#4876FF) Shattered #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)100级可接取#C(#4876FF)破灭之心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 100 Required#C(#4876FF) March forward #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)100级可接取#C(#4876FF)破而心生#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 100 Required#C(#4876FF) Renascence #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)100级可接取#C(#4876FF)镜·圣辉城#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 100 Required#C(#4876FF) Glory City Mirage #H#n#C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)105级可接取#C(#4876FF)好久不见#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 105 Required#C(#4876FF) Long time no see #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)105级可接取#C(#4876FF)怜悯的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 105 Required#C(#4876FF) Sympathy #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)105级可接取#C(#4876FF)杀戮的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 105 Required#C(#4876FF) The heart of a killer #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)105级可接取#C(#4876FF)炼心之路#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 105 Required#C(#4876FF) Keep improving #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)105级可接取#C(#4876FF)荣誉的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 105 Required#C(#4876FF) Heart of Glory #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)105级可接取#C(#4876FF)龙心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 105 Required#C(#4876FF) Dragon Heart #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)10级可接取#C(#4876FF)好友指点#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 10 Required#C(#4876FF) A friend's suggestion #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)110级可接取#C(#4876FF)圣龙之心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 110 Required#C(#4876FF) Dragon Heart #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)110级可接取#C(#4876FF)天罚之心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 110 Required#C(#4876FF) Furious Heart #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)110级可接取#C(#4876FF)最美的梦#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 110 Required#C(#4876FF) A beautiful dream #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)110级可接取#C(#4876FF)梦幻的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 110 Required#C(#4876FF) Dreamland Heart #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
     #C(#EE0000)110级可接取#C(#4876FF)灵性的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)Lvl 110 Required#C(#4876FF) Immortal Heart #H#n #C(#EE0000)Challenge the Crypt to receive EXP #n	0
