module_variable_name	source_text	target_text	need_translate
模块名和变量名	原文	译文	是否需要重新翻译
Common.Other.GlobalPrompt.ACTIVE_MOUNT_REPEAT	已激活过该外形，无需重复激活	 	0
Common.Other.GlobalPrompt.ACTIVE_MOUNT_SUC	恭喜，激活%s外形成功	Поздравляем! Вы активировали моду %s	0
Common.Other.GlobalPrompt.ADD_HERO_MSG	获得：#C(##FF33CC)%s×1	Получено: #C(##FF33CC)%s ×1	0
Common.Other.GlobalPrompt.AF_LatteryMasterReward	#C(#FFFF00)%s#n在中秋博饼活动中投出#C(#00FF00)%s#n，获得奖励%s，真是可喜可贺！	#C(#FFFF00)%s#nВ ходе события "Bo bing на праздник середины осени" вы бросили кости #C(#00FF00)%s#n, получите награду %s, поздравляем!	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip1	对堂	Комбинация с разными костями	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip2	状元	Комбинация, где 4 и более красных костей или 5 одинаковых чисел	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip3	五王	Комбинация "Пять королей" - 5 и более любых одинаковых чисел	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip4	金花	Комбинация, где 4 одинаковые красные кости и 2 одинаковые черные кости	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Head	恭喜你获得#H	Поздравляем! Вы получаете #H	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Money	#C(#FFFF00)金币+ %s#n	#C(#FFFF00)Золото +%s#n	0
Common.Other.GlobalPrompt.AF_MoonCakeTooMuchTip	每日最多使用20个月饼	Ежедневно можно использовать до 20 лунных пряников	0
Common.Other.GlobalPrompt.AF_MoonCakeUseTip	使用成功，获得体力+ %s#H	Успешно! Выносливость +%s#H	0
Common.Other.GlobalPrompt.ActiveSealSuccess	恭喜，激活成功！	Поздравляем, активация завершена!	0
Common.Other.GlobalPrompt.ActivityClosed	活动未开启，不可使用道具	Событие не открыто, нельзя использовать этот предмет	0
Common.Other.GlobalPrompt.AddTemp_Bless	星灵临时祝福值+%s	Временные очки желаний богини +%s	0
Common.Other.GlobalPrompt.Anti_Kick	离线不足5小时，为了保证您能正常游戏，请%s分钟后登陆	Время вне игры менее 5 минут, чтобы гарантировать успешный вход, пожалуйста войдите в игру через %s минут.	0
Common.Other.GlobalPrompt.ArtifactCuiLian	淬炼成功，淬炼经验增加 %s	Усиление прошло успешно, опыт усиления увеличился на %s	0
Common.Other.GlobalPrompt.ArtifactCuiLianHole1	强化成功	Зачарование прошло успешно	0
Common.Other.GlobalPrompt.ArtifactCuiLianHole2	, 光环等级提升至  %s 级	Уровень ауры повышен до %s уровня	0
Common.Other.GlobalPrompt.AsteroidFields_Tips_OneKeyAward	一键挑战获得：#H	Быстрый вызов: #H	0
Common.Other.GlobalPrompt.AuctionFindError	您的伴侣已经超过15天未登录，无法前往竞拍跨服派对，请让您的伴侣登录后再前往	Ваш партнер уже более 15 дней не заходил в игру, невозможно перейти к аукциону межсерверной вечеринки, попросите вашего партнера зайти в игру и попробуйте еще раз	0
Common.Other.GlobalPrompt.BallFameCheersTips	喝彩成功, 奖励已发送, 获得: #Z(%s,%s)	Отлично! Награды получены. Вы получаете: #Z(%s,%s)	0
Common.Other.GlobalPrompt.BallFameGoalsTips	哇! 射的真准, 获得: #Z(%s,%s)	Вау! Хороший бросок! Вы получаете: #Z(%s,%s)	0
Common.Other.GlobalPrompt.BindRMB_Tips	魔晶 +%s#H	Сапфиры +%s#H	0
Common.Other.GlobalPrompt.BlessRoulette_Tips_Reward_Head	恭喜你获得#H	Поздравляем! Вы получаете #H	0
Common.Other.GlobalPrompt.BraveHero_BuyLimit	当前时间无法购买行动力	В настоящее время невозможно сделать покупку.	0
Common.Other.GlobalPrompt.BraveHero_Content	恭喜！您在【勇者英雄坛】活动中排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Поздравляем! Вы достигаете %s ранга в событии Героический алтарь и получаете огромную награду!	0
Common.Other.GlobalPrompt.BraveHero_Sender	系统	Система	0
Common.Other.GlobalPrompt.BraveHero_TimeLimit	当前时间不可挑战	Сейчас нельзя сражаться.	0
Common.Other.GlobalPrompt.BraveHero_Title	【勇者英雄坛】跨服排名奖励	Приз за межсерверный рейтинг в событии Героический алтарь	0
Common.Other.GlobalPrompt.CAN_NOT_USE_MSG	该道具不可在%s阶及以上的坐骑上使用	Предмет не может быть использован для маунта %s уровня и выше.	0
Common.Other.GlobalPrompt.CD_RankReward_Tips	#C(#00EE00)%s#n领取了混沌神域排行榜第%s名的奖励，感谢#C(#00EE00)%s、%s、%s#n做出的贡献。	#C(#00EE00)%s#n получил награду в событии Область Хаоса за %s место в рейтинге, благодарим #C(#00EE00)%s、%s、%s#n за вклад. 	0
Common.Other.GlobalPrompt.CD_TeamCanNotJoin_Tips	您未通关前置章节，无法加入队伍!	Вы не прошли предыдущую главу, невозможно вступить в отряд! 	0
Common.Other.GlobalPrompt.CD_WorldCall_Tips_1	#C(#E87D22)【混沌神域-第一章·巨龙山谷】#C(#FFFF00)%s#n队伍向全世界发出召唤，他们尚缺#C(#FFFF00)%s#n人，等待您的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#E87D22)【Область Хаоса - 1 глава - Долина дракона】Отряд #C(#FFFF00)%s#n обращается с призывом ко всему миру, у них все еще не хватает #C(#FFFF00)%s#n игрока (-ов) и ждут вашего вступления! #C(#00ff00)#U#T(#K(YQZD,%s,Вступить,))	0
Common.Other.GlobalPrompt.CD_WorldCall_Tips_2	#C(#E87D22)【混沌神域-第二章·精灵神殿】#C(#FFFF00)%s#n队伍向全世界发出召唤，他们尚缺#C(#FFFF00)%s#n人，等待您的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#E87D22)【Область Хаоса - 2 глава - Храм эльфов】Отряд #C(#FFFF00)%s#n обращается с призывом ко всему миру, у них все еще не хватает #C(#FFFF00)%s#n игрока (-ов) и ждут вашего вступления! #C(#00ff00)#U#T(#K(YQZD,%s,Вступить,))	0
