module_variable_name	source_text	target_text	need_translate
模块名和变量名	原文	译文	是否需要重新翻译
Common.Other.GlobalPrompt.ACTIVE_MOUNT_REPEAT	已激活过该外形，无需重复激活	已啟動過該外形，無需重複啟動	0
Common.Other.GlobalPrompt.ACTIVE_MOUNT_SUC	恭喜，激活%s外形成功	恭喜，啟動%s外形成功	0
Common.Other.GlobalPrompt.ADD_HERO_MSG	获得：#C(##FF33CC)%s×1	獲得：#C(##FF33CC)%s×1	0
Common.Other.GlobalPrompt.AF_LatteryMasterReward	#C(#FFFF00)%s#n在中秋博饼活动中投出#C(#00FF00)%s#n，获得奖励%s，真是可喜可贺！	#C(#FFFF00)%s#n在中秋博餅活動中投出#C(#00FF00)%s#n，獲得獎勵%s，真是可喜可賀！	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip1	对堂	對堂	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip2	状元	狀元	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip3	五王	五王	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip4	金花	金花	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Head	恭喜你获得#H	恭喜你獲得#H	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Money	#C(#FFFF00)金币+ %s#n	#C(#FFFF00)金幣+ %s#n	0
Common.Other.GlobalPrompt.AF_MoonCakeTooMuchTip	每日最多使用20个月饼	每日最多使用20個月餅	0
Common.Other.GlobalPrompt.AF_MoonCakeUseTip	使用成功，获得体力+ %s#H	使用成功，獲得體力+ %s#H	0
Common.Other.GlobalPrompt.AddTemp_Bless	星灵临时祝福值+%s	星靈臨時祝福值+%s	0
Common.Other.GlobalPrompt.Anti_Kick	离线不足5小时，为了保证您能正常游戏，请%s分钟后登陆	離線不足5小時，為了保證您能正常遊戲，請%s分鐘後登陸	0
Common.Other.GlobalPrompt.AsteroidFields_Tips_OneKeyAward	一键挑战获得：#H	一鍵挑戰獲得：#H	0
Common.Other.GlobalPrompt.AuctionFindError	您的伴侣已经超过15天未登录，无法前往竞拍跨服派对，请让您的伴侣登录后再前往	您的伴侶已經超過15天未登錄，無法前往競拍跨服派對，請讓您的伴侶登錄後再前往	0
Common.Other.GlobalPrompt.BallFameCheersTips	喝彩成功, 奖励已发送, 获得: #Z(%s,%s)	喝彩成功, 獎勵已發送, 獲得: #Z(%s,%s)	0
Common.Other.GlobalPrompt.BallFameGoalsTips	哇! 射的真准, 获得: #Z(%s,%s)	哇! 射的真准, 獲得: #Z(%s,%s)	0
Common.Other.GlobalPrompt.BindRMB_Tips	魔晶 +%s#H	魔晶 +%s#H	0
Common.Other.GlobalPrompt.BlessRoulette_Tips_Reward_Head	恭喜你获得#H	恭喜你獲得#H	0
Common.Other.GlobalPrompt.BraveHero_BuyLimit	当前时间无法购买行动力	當前時間無法購買行動力	0
Common.Other.GlobalPrompt.BraveHero_Content	恭喜！您在【勇者英雄坛】活动中排名第%s，达到了排名奖励标准，获得了丰厚奖励！	恭喜！您在【勇者英雄壇】活動中排名第%s，達到了排名獎勵標準，獲得了豐厚獎勵！	0
Common.Other.GlobalPrompt.BraveHero_Sender	系统	系統	0
Common.Other.GlobalPrompt.BraveHero_TimeLimit	当前时间不可挑战	當前時間不可挑戰	0
Common.Other.GlobalPrompt.BraveHero_Title	【勇者英雄坛】跨服排名奖励	【勇者英雄壇】跨服排名獎勵	0
Common.Other.GlobalPrompt.CAN_NOT_USE_MSG	该道具不可在%s阶及以上的坐骑上使用	該道具不可在%s階及以上的坐騎上使用	0
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT	须事先激活过该坐骑外形	須事先啟動過該坐騎外形	0
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT_2	该坐骑已经是永久坐骑！	該坐騎已經是永久坐騎！	0
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_SUC	使用成功，您的坐骑#C(#ffff37)%s#n变为永久性坐骑	使用成功，您的坐騎#C(#ffff37)%s#n變為永久性坐騎	0
Common.Other.GlobalPrompt.CHANGE_NAME_SUC_MSG	龙骑士#C(#E87D22)%s#n使用角色改名卡将名字改为#C(#E87D22)%s#n,闻名天下。	龍騎士#C(#E87D22)%s#n使用角色改名卡將名字改為#C(#E87D22)%s#n,聞名天下。	0
Common.Other.GlobalPrompt.CHANGE_NAME_SUC_MSG2	龙骑士#C(#E87D22)%s#n合服后将名字改为#C(#E87D22)%s#n。	龍騎士#C(#E87D22)%s#n合服後將名字改為#C(#E87D22)%s#n。	0
Common.Other.GlobalPrompt.COUPLES_ADDCD_MSG	立即增加%s秒行动CD	立即增加%s秒行動CD	0
Common.Other.GlobalPrompt.COUPLES_ADDPASS_MSG	立即增加%s秒总通关时间	立即增加%s秒總通關時間	0
Common.Other.GlobalPrompt.COUPLES_ADD_BUFF	成功获得Buff	成功獲得Buff	0
Common.Other.GlobalPrompt.COUPLES_DELCD_MSG	立即减少%s秒行动CD	立即減少%s秒行動CD	0
