source_text	target_text	need_translate
原文	译文	是否需要重新翻译
     #C(#00EE00)击败光射手[{0}/1]	 #C(#00EE00)Pokonaj Łucznika Światła[{0}/1]	0
     #C(#00EE00)击败凶残劫匪[{0}/1]	 #C(#00EE00)Pokonaj  Dzikiego Złodzieja[{0}/1]	0
     #C(#00EE00)击败刺客 [{0}/1]#H     击败护卫[{1}/1]#H	 #C(#00EE00)Pokonaj  Zabójców[{0}/1]#H  Pokonaj Ochronę[{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败女刺客[{1}/1]#H	 #C(#00EE00)Pokonaj  Zabójców[{0}/1]#H  Pokonaj Ochronę[{1}/1]#H	0
     #C(#00EE00)击败刺客[{0}/1]#H     击败护卫 [{1}/1]#H	 #C(#00EE00)Pokonaj  Zabójców[{0}/1]#H  Pokonaj Ochronę[{1}/1]#H	0
     #C(#00EE00)击败刺客头领[{0}/1]#H     击败强盗头子[{1}/1]#H	 #C(#00EE00)Pokonaj  Przywódcę Zabójców [{0}/1]#H  Pokonaj Przywódców Bandytów[{1}/1]#H	0
     #C(#00EE00)击败劫匪[{0}/1]    	 #C(#00EE00)Pokonaj Złodzieja[{0}/1]#H	0
     #C(#00EE00)击败劫匪[{0}/1]#H     击败守卫[{1}/1]#H	 #C(#00EE00)Pokonaj Złodzieja[{0}/1]#H Pokonaj Ochronę[{1}/1]#H	0
     #C(#00EE00)击败喽啰[{0}/1]#H     击败光射手[{1}/1]#H	 #C(#00EE00)Pokonaj  Sługę[{0}/1]#H  Pokonaj Księżycowego Łucznika[{1}/1]#H	0
     #C(#00EE00)击败女刺客[{0}/1]#H     击败强盗[{1}/1]#H	 #C(#00EE00)Pokonaj  Zabójczynie[{0}/1]#H Pokonaj Przywódców Bandytów[{1}/1]#H	0
     #C(#00EE00)击败女射手[{0}/1]#H     击败神射手[{1}/1]#H     击败弓箭手[{2}/1]#H     击败媚射手[{3}/1]#n	     #C(#00EE00) Pokonał Strzelczynię [{0}/1]#H     Pokonał Strzelca [{1}/1]#H     Pokonał Zodiak Strzelca [{2}/1]#H     Pokonał Czarującego Łucznika[{3}/1]#n	0
     #C(#00EE00)击败妖姬[{0}/1]#H     击败打手[{1}/1]#H	 #C(#00EE00)Pokonaj  Banshee[{0}/1]#H  Pokonaj  Tyranów[{1}/1]#H	0
