module_variable_name	source_text	target_text	need_translate
模块名和变量名	原文	译文	是否需要重新翻译
Common.Other.GlobalPrompt.ACTIVE_MOUNT_REPEAT	已激活过该外形，无需重复激活	La apariencia ha sido activada, no necesita reactivarse.	0
Common.Other.GlobalPrompt.ACTIVE_MOUNT_SUC	恭喜，激活%s外形成功	%s apariencia activada	0
Common.Other.GlobalPrompt.ADD_HERO_MSG	获得：#C(##FF33CC)%s×1	Obtenido: #C(##FF33CC)%s×1	0
Common.Other.GlobalPrompt.AF_LatteryMasterReward	#C(#FFFF00)%s#n在中秋博饼活动中投出#C(#00FF00)%s#n，获得奖励%s，真是可喜可贺！	#C(#FFFF00)%s#n在中秋博饼活动中投出#C(#00FF00)%s#n，获得奖励%s，真是可喜可贺！	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip1	对堂	1	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip2	状元	1	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip3	五王	1	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip4	金花	1	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Head	恭喜你获得#H	Enhorabuena! Has obtenido #H	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Money	#C(#FFFF00)金币+ %s#n	#C(#FFFF00)Oro + %s#n	0
Common.Other.GlobalPrompt.AF_MoonCakeTooMuchTip	每日最多使用20个月饼	1	0
Common.Other.GlobalPrompt.AF_MoonCakeUseTip	使用成功，获得体力+ %s#H	Usado satisfactoriamente! Obtén resistencia + %s#H	0
Common.Other.GlobalPrompt.AddTemp_Bless	星灵临时祝福值+%s	Espíritu Estrella temporal bonificación +%s	0
Common.Other.GlobalPrompt.Anti_Kick	离线不足5小时，为了保证您能正常游戏，请%s分钟后登陆	Fuera de línea durante 5 horas. Para asegurar una experiencia de juego normal, accede dentro de %s minutos.	0
Common.Other.GlobalPrompt.AsteroidFields_Tips_OneKeyAward	一键挑战获得：#H	Desafío rápido a recibir：#H	0
Common.Other.GlobalPrompt.AuctionFindError	您的伴侣已经超过15天未登录，无法前往竞拍跨服派对，请让您的伴侣登录后再前往	Tu compañero no accedió al juego en los últimos 15 días. Si deseas acceder a la fiesta del servidor tendrás que esperar a que tu compañero esté online.	0
Common.Other.GlobalPrompt.BallFameCheersTips	喝彩成功, 奖励已发送, 获得: #Z(%s,%s)	Enhorabuena. Las recompensas han sido entregadas. Has obtenido: #Z(%s,%s)	0
Common.Other.GlobalPrompt.BallFameGoalsTips	哇! 射的真准, 获得: #Z(%s,%s)	Wow! Buen disparo! Has recibido: #Z(%s,%s)	0
Common.Other.GlobalPrompt.BindRMB_Tips	魔晶 +%s#H	Diamante +%s#H	0
Common.Other.GlobalPrompt.BlessRoulette_Tips_Reward_Head	恭喜你获得#H	Has recibido #H	0
Common.Other.GlobalPrompt.BraveHero_BuyLimit	当前时间无法购买行动力	No puedes comprar intentos en este momento.	0
Common.Other.GlobalPrompt.BraveHero_Content	恭喜！您在【勇者英雄坛】活动中排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Enhorabuena ! Has puntuado %s en el altar de los héroes y ganado increibles recompensas !	0
Common.Other.GlobalPrompt.BraveHero_Sender	系统	Sistema	0
Common.Other.GlobalPrompt.BraveHero_TimeLimit	当前时间不可挑战	No puedes desafiar en este momento.	0
Common.Other.GlobalPrompt.BraveHero_Title	【勇者英雄坛】跨服排名奖励	Ranking de premios del servidor global del Altar de los hérores	0
Common.Other.GlobalPrompt.CAN_NOT_USE_MSG	该道具不可在%s阶及以上的坐骑上使用	El objeto no puede ser usado en monturas en el Nv %s o por encima.	0
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT	须事先激活过该坐骑外形	Debes activar la apariencia de la montura primero.	0
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT_2	该坐骑已经是永久坐骑！	La montura es ahora permanente!	0
