module_variable_name	source_text	target_text	need_translate
模块名和变量名	原文	译文	是否需要重新翻译
Common.Other.GlobalPrompt.ACTIVE_MOUNT_REPEAT	已激活过该外形，无需重复激活	Bu görünüş aktifleştirildi, tekrar aktifleştirilemez	0
Common.Other.GlobalPrompt.ACTIVE_MOUNT_SUC	恭喜，激活%s外形成功	Tebrikler, %s görünüşü aktifleştirildi	0
Common.Other.GlobalPrompt.ADD_HERO_MSG	获得：#C(##FF33CC)%s×1	Alındı: #C(##FF33CC)%s×1	0
Common.Other.GlobalPrompt.AF_LatteryMasterReward	#C(#FFFF00)%s#n在中秋博饼活动中投出#C(#00FF00)%s#n，获得奖励%s，真是可喜可贺！	#C(#FFFF00)%s#n Güz Bayramı etkinliğinde #C(#00FF00)%s#n atarak %s kazandı, bu gerçekten kutlanmalı!	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip1	对堂	Çift Salonu	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip2	状元	General	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip3	五王	5 Kral	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip4	金花	Altın Çiçek	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Head	恭喜你获得#H	Tebrikler! #H aldın.	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Money	#C(#FFFF00)金币+ %s#n	#C(#FFFF00)Altın + %s#n	0
Common.Other.GlobalPrompt.AF_MoonCakeTooMuchTip	每日最多使用20个月饼	Her gün en fazla 20 adet ayçöreği kullanılabilir	0
Common.Other.GlobalPrompt.AF_MoonCakeUseTip	使用成功，获得体力+ %s#H	Güle güle kullan! + %s#H dayanıklılık kazandın	0
Common.Other.GlobalPrompt.AddTemp_Bless	星灵临时祝福值+%s	Fal ruhu geçici bereket değeri+%s	0
Common.Other.GlobalPrompt.Anti_Kick	离线不足5小时，为了保证您能正常游戏，请%s分钟后登陆	Sunucu parti arenası haftalık hesaplama+%s+11111111	0
Common.Other.GlobalPrompt.ArtifactCuiLian	淬炼成功，淬炼经验增加 %s	Arıtma başarılı,arıtma tec. olarak eklenecektir %s	0
Common.Other.GlobalPrompt.ArtifactCuiLianHole1	强化成功	Geliştirme Başarılı	0
Common.Other.GlobalPrompt.ArtifactCuiLianHole2	, 光环等级提升至  %s 级	Hale seviyesi geliştirilecek %s	0
Common.Other.GlobalPrompt.AsteroidFields_Tips_OneKeyAward	一键挑战获得：#H	#H almak için hızlı kapış.	0
Common.Other.GlobalPrompt.AuctionFindError	您的伴侣已经超过15天未登录，无法前往竞拍跨服派对，请让您的伴侣登录后再前往	Eşin 15 günden daha uzun bir süredir oyuna girmiyor, sunucu arena partisi düzenlenemez, eşin oyuna girdikten sonra düzenleyebilirsin	0
