module_variable_name	source_text	target_text	need_translate	
模块名和变量名	原文	Translation	是否需要重新翻译	
Common.Other.GlobalPrompt.ACTIVE_MOUNT_REPEAT	已激活过该外形，无需重复激活	Fashion already activated. No need to activate again.	0	
Common.Other.GlobalPrompt.ACTIVE_MOUNT_SUC	恭喜，激活%s外形成功	Congratulations! You activated the Fashion %s	0	
Common.Other.GlobalPrompt.ADD_HERO_MSG	获得：#C(##FF33CC)%s×1	Received: #C(##FF33CC)%s×1	0	
Common.Other.GlobalPrompt.AF_LatteryMasterReward	#C(#FFFF00)%s#n在中秋博饼活动中投出#C(#00FF00)%s#n，获得奖励%s，真是可喜可贺！	#C(#FFFF00)%s#n has thrown the dice #C(#00FF00)%s#n and received %s. Congratulations!	0	
Common.Other.GlobalPrompt.AF_LatteryMasterTip1	对堂	Straight (1-6)	0	
Common.Other.GlobalPrompt.AF_LatteryMasterTip2	状元	Double Snake Eyes	0	
Common.Other.GlobalPrompt.AF_LatteryMasterTip3	五王	5 fours	0	
Common.Other.GlobalPrompt.AF_LatteryMasterTip4	金花	4 fours & 2 ones	0	
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Head	恭喜你获得#H	Congratulations! You've received #H	0	
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Money	#C(#FFFF00)金币+ %s#n	#C (#FFFF00) Gold + %s#n	0	
Common.Other.GlobalPrompt.AF_MoonCakeTooMuchTip	每日最多使用20个月饼	no need to translate	0	
Common.Other.GlobalPrompt.AF_MoonCakeUseTip	使用成功，获得体力+ %s#H	Used successfully! Received Stamina + %s#H	0	
Common.Other.GlobalPrompt.AddTemp_Bless	星灵临时祝福值+%s	Goddess Points + %s	0	
Common.Other.GlobalPrompt.Anti_Kick	离线不足5小时，为了保证您能正常游戏，请%s分钟后登陆	You’ve been offline for no more than 5 hours. Please log into the game %s minutes later.	0	
Common.Other.GlobalPrompt.ArtifactCuiLian	淬炼成功，淬炼经验增加 %s	Advanced! Advance EXP +%s.	0	
Common.Other.GlobalPrompt.ArtifactCuiLianHole1	强化成功	Successfully Enchanted.	0	
Common.Other.GlobalPrompt.ArtifactCuiLianHole2	, 光环等级提升至  %s 级	Halo reached Level %s!	0	
Common.Other.GlobalPrompt.AsteroidFields_Tips_OneKeyAward	一键挑战获得：#H	Quick Challenge to receive: #H	0	
