module_variable_name	source_text	target_text	need_translate
模块名和变量名	原文	译文	是否需要重新翻译
Common.Other.GlobalPrompt.ACTIVE_MOUNT_REPEAT	已激活过该外形，无需重复激活	Ten wygląd został aktywowany, nie można aktywować ponownie	0
Common.Other.GlobalPrompt.ACTIVE_MOUNT_SUC	恭喜，激活%s外形成功	Gratulacje, wygląd %s został aktywowany	0
Common.Other.GlobalPrompt.ADD_HERO_MSG	获得：#C(##FF33CC)%s×1	Pobrano: #C(##FF33CC)%s×1	0
Common.Other.GlobalPrompt.AF_LatteryMasterReward	#C(#FFFF00)%s#n在中秋博饼活动中投出#C(#00FF00)%s#n，获得奖励%s，真是可喜可贺！	no need to translate	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip1	对堂	no need to translate	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip2	状元	no need to translate	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip3	五王	no need to translate	0
Common.Other.GlobalPrompt.AF_LatteryMasterTip4	金花	no need to translate	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Head	恭喜你获得#H	Gratulacje! Zdobyłeś #H	0
Common.Other.GlobalPrompt.AF_LatteryRewardMsg_Money	#C(#FFFF00)金币+ %s#n	#C(#FFFF00)Złoto + %s#n	0
Common.Other.GlobalPrompt.AF_MoonCakeTooMuchTip	每日最多使用20个月饼	Codziennie możesz użyć 20 ciasteczek księżycowych.	0
Common.Other.GlobalPrompt.AF_MoonCakeUseTip	使用成功，获得体力+ %s#H	Użyto pomyślnie! Zdobyta Wytrzymałość + %s#H	0
Common.Other.GlobalPrompt.ActiveSealSuccess	恭喜，激活成功！	Odblokowano!	0
Common.Other.GlobalPrompt.ActivityClosed	活动未开启，不可使用道具	Nie można jeszcze użyć - even się nie rozpoczął.	0
Common.Other.GlobalPrompt.AddTemp_Bless	星灵临时祝福值+%s	Wartość tymczasowego błogosławieństwa Duszy gwiazd +%s	0
Common.Other.GlobalPrompt.Anti_Kick	离线不足5小时，为了保证您能正常游戏，请%s分钟后登陆	离线不足5小时，为了保证您能正常游戏，请%s分钟后登陆	0
Common.Other.GlobalPrompt.ArtifactCuiLian	淬炼成功，淬炼经验增加 %s	Rafinacja udana. Raf. EXP+%s.	0
Common.Other.GlobalPrompt.ArtifactCuiLianHole1	强化成功	Udało się!	0
