level	winMoney	lostMoney	winMoney_fcm	lostMoney_fcm
等级	胜利金币	失败金币	胜利金币	失败金币
31	15200	12160	7600	6080
32	15450	12360	7725	6180
33	15700	12560	7850	6280
34	15950	12760	7975	6380
35	16200	12960	8100	6480
36	16450	13160	8225	6580
37	16700	13360	8350	6680
38	16950	13560	8475	6780
39	17200	13760	8600	6880
40	17700	14160	8850	7080
41	18200	14560	9100	7280
42	18700	14960	9350	7480
43	19200	15360	9600	7680
44	19700	15760	9850	7880
45	20200	16160	10100	8080
46	20700	16560	10350	8280
47	21200	16960	10600	8480
48	21700	17360	10850	8680
49	22200	17760	11100	8880
50	22700	18160	11350	9080
51	23200	18560	11600	9280
52	23700	18960	11850	9480
53	24200	19360	12100	9680
54	24700	19760	12350	9880
55	25200	20160	12600	10080
56	25700	20560	12850	10280
57	26200	20960	13100	10480
58	26700	21360	13350	10680
59	27200	21760	13600	10880
60	27950	22360	13975	11180
61	28700	22960	14350	11480
62	29450	23560	14725	11780
63	30200	24160	15100	12080
64	30950	24760	15475	12380
65	31700	25360	15850	12680
66	32450	25960	16225	12980
67	33200	26560	16600	13280
68	33950	27160	16975	13580
69	34700	27760	17350	13880
70	35450	28360	17725	14180
71	36200	28960	18100	14480
72	36950	29560	18475	14780
73	37700	30160	18850	15080
74	38450	30760	19225	15380
75	39200	31360	19600	15680
76	39950	31960	19975	15980
77	40700	32560	20350	16280
78	41450	33160	20725	16580
79	42200	33760	21100	16880
80	43200	34560	21600	17280
81	44200	35360	22100	17680
82	45200	36160	22600	18080
83	46200	36960	23100	18480
84	47200	37760	23600	18880
85	48200	38560	24100	19280
86	49200	39360	24600	19680
87	50200	40160	25100	20080
88	51200	40960	25600	20480
89	52200	41760	26100	20880
90	53200	42560	26600	21280
91	54200	43360	27100	21680
92	55200	44160	27600	22080
93	56200	44960	28100	22480
94	57200	45760	28600	22880
95	58200	46560	29100	23280
96	59200	47360	29600	23680
97	60200	48160	30100	24080
98	61200	48960	30600	24480
99	62200	49760	31100	24880
100	63200	50560	31600	25280
101	64200	51360	32100	25680
102	65200	52160	32600	26080
103	66200	52960	33100	26480
104	67200	53760	33600	26880
105	68200	54560	34100	27280
106	69200	55360	34600	27680
107	70200	56160	35100	28080
108	71200	56960	35600	28480
109	72200	57760	36100	28880
110	73200	58560	36600	29280
111	74200	59360	37100	29680
112	75200	60160	37600	30080
113	76200	60960	38100	30480
114	77200	61760	38600	30880
115	78200	62560	39100	31280
116	79200	63360	39600	31680
117	80200	64160	40100	32080
118	81200	64960	40600	32480
119	82200	65760	41100	32880
120	83400	66720	41700	33360
121	84600	67680	42300	33840
122	85800	68640	42900	34320
123	87000	69600	43500	34800
124	88200	70560	44100	35280
125	89400	71520	44700	35760
126	90600	72480	45300	36240
127	91800	73440	45900	36720
128	93000	74400	46500	37200
129	94200	75360	47100	37680
130	95400	76320	47700	38160
131	96600	77280	48300	38640
132	97800	78240	48900	39120
133	99000	79200	49500	39600
134	100200	80160	50100	40080
135	101400	81120	50700	40560
136	102600	82080	51300	41040
137	103800	83040	51900	41520
138	105000	84000	52500	42000
139	106200	84960	53100	42480
140	107600	86080	53800	43040
141	109000	87200	54500	43600
142	110400	88320	55200	44160
143	111800	89440	55900	44720
144	113200	90560	56600	45280
145	114600	91680	57300	45840
146	116000	92800	58000	46400
147	117400	93920	58700	46960
148	118800	95040	59400	47520
149	120200	96160	60100	48080
150	121600	97280	60800	48640
151	123000	98400	61500	49200
152	124400	99520	62200	49760
153	125800	100640	62900	50320
154	127200	101760	63600	50880
155	128600	102880	64300	51440
156	130000	104000	65000	52000
157	131400	105120	65700	52560
158	132800	106240	66400	53120
159	134200	107360	67100	53680
160	135800	108640	67900	54320
161	137400	109920	68700	54960
162	139000	111200	69500	55600
163	140600	112480	70300	56240
164	142200	113760	71100	56880
165	143800	115040	71900	57520
166	145400	116320	72700	58160
167	147000	117600	73500	58800
168	148600	118880	74300	59440
169	150200	120160	75100	60080
170	151800	121440	75900	60720
171	153400	122720	76700	61360
172	155000	124000	77500	62000
173	156600	125280	78300	62640
174	158200	126560	79100	63280
175	159800	127840	79900	63920
176	161400	129120	80700	64560
177	163000	130400	81500	65200
178	164600	131680	82300	65840
179	166200	132960	83100	66480
