level	minRank	maxRank	money	itemList	titleId	title
等级	排名区间最小值	排名区间最大值	奖励金币	奖励物品列表	称号奖励	称号
31	1001	2000	95000	[(25681,50)]	0	
31	201	1000	95500	[(25681,75)]	0	
31	51	200	96000	[(25681,100)]	0	
31	21	50	96500	[(25681,125)]	0	
31	11	20	97000	[(25681,150)]	0	
31	6	10	98000	[(25681,200)]	6	称号:不朽的屠龙者
31	5	5	102000	[(25681,250)]	6	称号:不朽的屠龙者
31	4	4	107000	[(25681,300)]	5	称号:不灭战神
31	3	3	113000	[(25681,350)]	5	称号:不灭战神
31	2	2	121000	[(25681,400)]	5	称号:不灭战神
31	1	1	136000	[(25681,500)]	1	称号:灭世主宰
32	1001	2000	102500	[(25681,50)]	0	
32	201	1000	103000	[(25681,75)]	0	
32	51	200	103500	[(25681,100)]	0	
32	21	50	104000	[(25681,125)]	0	
32	11	20	104500	[(25681,150)]	0	
32	6	10	105500	[(25681,200)]	6	称号:不朽的屠龙者
32	5	5	109500	[(25681,250)]	6	称号:不朽的屠龙者
32	4	4	114500	[(25681,300)]	5	称号:不灭战神
32	3	3	120500	[(25681,350)]	5	称号:不灭战神
32	2	2	128500	[(25681,400)]	5	称号:不灭战神
32	1	1	143500	[(25681,500)]	1	称号:灭世主宰
33	1001	2000	110000	[(25681,50)]	0	
33	201	1000	110500	[(25681,75)]	0	
33	51	200	111000	[(25681,100)]	0	
33	21	50	111500	[(25681,125)]	0	
33	11	20	112000	[(25681,150)]	0	
33	6	10	113000	[(25681,200)]	6	称号:不朽的屠龙者
33	5	5	117000	[(25681,250)]	6	称号:不朽的屠龙者
33	4	4	122000	[(25681,300)]	5	称号:不灭战神
33	3	3	128000	[(25681,350)]	5	称号:不灭战神
33	2	2	136000	[(25681,400)]	5	称号:不灭战神
33	1	1	151000	[(25681,500)]	1	称号:灭世主宰
34	1001	2000	117500	[(25681,50)]	0	
34	201	1000	118000	[(25681,75)]	0	
34	51	200	118500	[(25681,100)]	0	
34	21	50	119000	[(25681,125)]	0	
34	11	20	119500	[(25681,150)]	0	
34	6	10	120500	[(25681,200)]	6	称号:不朽的屠龙者
34	5	5	124500	[(25681,250)]	6	称号:不朽的屠龙者
34	4	4	129500	[(25681,300)]	5	称号:不灭战神
34	3	3	135500	[(25681,350)]	5	称号:不灭战神
34	2	2	143500	[(25681,400)]	5	称号:不灭战神
34	1	1	158500	[(25681,500)]	1	称号:灭世主宰
35	1001	2000	132500	[(25681,50)]	0	
35	201	1000	133000	[(25681,75)]	0	
35	51	200	133500	[(25681,100)]	0	
35	21	50	134000	[(25681,125)]	0	
35	11	20	134500	[(25681,150)]	0	
35	6	10	135500	[(25681,200)]	6	称号:不朽的屠龙者
35	5	5	139500	[(25681,250)]	6	称号:不朽的屠龙者
35	4	4	144500	[(25681,300)]	5	称号:不灭战神
35	3	3	150500	[(25681,350)]	5	称号:不灭战神
35	2	2	158500	[(25681,400)]	5	称号:不灭战神
35	1	1	173500	[(25681,500)]	1	称号:灭世主宰
36	1001	2000	140000	[(25681,50)]	0	
36	201	1000	140500	[(25681,75)]	0	
36	51	200	141000	[(25681,100)]	0	
36	21	50	141500	[(25681,125)]	0	
36	11	20	142000	[(25681,150)]	0	
36	6	10	143000	[(25681,200)]	6	称号:不朽的屠龙者
36	5	5	147000	[(25681,250)]	6	称号:不朽的屠龙者
36	4	4	152000	[(25681,300)]	5	称号:不灭战神
36	3	3	158000	[(25681,350)]	5	称号:不灭战神
36	2	2	166000	[(25681,400)]	5	称号:不灭战神
36	1	1	181000	[(25681,500)]	1	称号:灭世主宰
37	1001	2000	147500	[(25681,50)]	0	
37	201	1000	148000	[(25681,75)]	0	
37	51	200	148500	[(25681,100)]	0	
37	21	50	149000	[(25681,125)]	0	
37	11	20	149500	[(25681,150)]	0	
37	6	10	150500	[(25681,200)]	6	称号:不朽的屠龙者
37	5	5	154500	[(25681,250)]	6	称号:不朽的屠龙者
37	4	4	159500	[(25681,300)]	5	称号:不灭战神
37	3	3	165500	[(25681,350)]	5	称号:不灭战神
37	2	2	173500	[(25681,400)]	5	称号:不灭战神
37	1	1	188500	[(25681,500)]	1	称号:灭世主宰
38	1001	2000	155000	[(25681,50)]	0	
38	201	1000	155500	[(25681,75)]	0	
38	51	200	156000	[(25681,100)]	0	
38	21	50	156500	[(25681,125)]	0	
38	11	20	157000	[(25681,150)]	0	
38	6	10	158000	[(25681,200)]	6	称号:不朽的屠龙者
38	5	5	162000	[(25681,250)]	6	称号:不朽的屠龙者
38	4	4	167000	[(25681,300)]	5	称号:不灭战神
38	3	3	173000	[(25681,350)]	5	称号:不灭战神
38	2	2	181000	[(25681,400)]	5	称号:不灭战神
38	1	1	196000	[(25681,500)]	1	称号:灭世主宰
39	1001	2000	162500	[(25681,50)]	0	
39	201	1000	163000	[(25681,75)]	0	
39	51	200	163500	[(25681,100)]	0	
39	21	50	164000	[(25681,125)]	0	
39	11	20	164500	[(25681,150)]	0	
39	6	10	165500	[(25681,200)]	6	称号:不朽的屠龙者
39	5	5	169500	[(25681,250)]	6	称号:不朽的屠龙者
39	4	4	174500	[(25681,300)]	5	称号:不灭战神
39	3	3	180500	[(25681,350)]	5	称号:不灭战神
39	2	2	188500	[(25681,400)]	5	称号:不灭战神
39	1	1	203500	[(25681,500)]	1	称号:灭世主宰
40	1001	2000	281250	[(25682,50),(25666,6)]	0	
40	201	1000	283250	[(25682,75),(25666,6)]	0	
40	51	200	285250	[(25682,100),(25666,10)]	0	
40	21	50	287250	[(25682,125),(25666,10)]	0	
40	11	20	289250	[(25682,150),(25666,20)]	0	
40	6	10	291250	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
40	5	5	296250	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
40	4	4	302250	[(25682,300),(25666,45)]	5	称号:不灭战神
