rank	reputation	boxName	boxDesc	boxRes	nextboxName	nextboxDesc	nextboxRes
排名	声望	宝箱名字	宝箱描述	宝箱资源	下阶宝箱名字	下阶宝箱描述	下阶宝箱资源
1	22000	橙色宝箱	(钻石组1-1)	baoxiang8	0	0	0
2	18000	橙色宝箱	(钻石组2-2)	baoxiang8	橙色宝箱	(钻石组1-1)	baoxiang8
3	16000	橙色宝箱	(钻石组3-3)	baoxiang8	橙色宝箱	(钻石组2-2)	baoxiang8
4	15200	橙色宝箱	(钻石组4-4)	baoxiang8	橙色宝箱	(钻石组3-3)	baoxiang8
5	15000	橙色宝箱	(钻石组5-5)	baoxiang8	橙色宝箱	(钻石组4-4)	baoxiang8
6	14800	橙色宝箱	(钻石组6-10)	baoxiang8	橙色宝箱	(钻石组5-5)	baoxiang8
7	14600	橙色宝箱	(钻石组6-10)	baoxiang8	橙色宝箱	(钻石组5-5)	baoxiang8
8	14400	橙色宝箱	(钻石组6-10)	baoxiang8	橙色宝箱	(钻石组5-5)	baoxiang8
9	14200	橙色宝箱	(钻石组6-10)	baoxiang8	橙色宝箱	(钻石组5-5)	baoxiang8
10	14000	橙色宝箱	(钻石组6-10)	baoxiang8	橙色宝箱	(钻石组5-5)	baoxiang8
11	13800	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
12	13600	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
13	13400	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
14	13200	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
15	13000	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
16	12800	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
17	12600	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
18	12400	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
19	12200	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
20	12000	紫色宝箱	(白金组1-10)	baoxiang7	橙色宝箱	(钻石组6-10)	baoxiang8
21	11800	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
22	11600	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
23	11400	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
24	11200	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
25	11000	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
26	10800	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
27	10600	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
28	10400	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
29	10200	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
30	10000	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
31	9800	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
32	9600	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
33	9400	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
34	9200	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
35	9000	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
36	8800	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
37	8600	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
38	8400	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
39	8200	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
40	8000	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
41	7800	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
