boxIndex	MinLevel	MaxLevel	needCnt	rewardItems	rewardMoney	rewardBindRMB	rewardUnbindRMB_S	Items
宝箱索引	最低等级	最低等级	需要积分	道具	金币	魔晶	系统神石	奖励道具（客户端）
1	30	179	100	[(26450,1),(29051,1),(27517,1)]	1000000	50	0	[(25828,1000000),(25829,50),(26450,1),(29051,1),(27517,1)]
2	30	179	200	[(26450,1),(29051,1),(27518,1)]	1000000	50	0	[(25828,1000000),(25829,50),(26450,1),(29051,1),(27518,1)]
3	30	179	400	[(26450,2),(29051,2),(27621,1)]	2000000	100	0	[(25828,2000000),(25829,100),(26450,2),(29051,2),(27621,1)]
4	30	179	800	[(26450,4),(29051,2),(27519,1)]	4000000	200	0	[(25828,4000000),(25829,200),(26450,4),(29051,2),(27519,1)]
5	30	179	1500	[(26450,7),(29051,4),(27622,1)]	6000000	300	0	[(25828,6000000),(25829,300),(26450,7),(29051,4),(27622,1)]
6	30	179	3000	[(26450,15),(29051,8),(28031,1)]	12000000	600	0	[(25828,12000000),(25829,600),(26450,15),(29051,8),(28031,1)]
7	30	179	6000	[(26450,30),(29051,12),(28032,1)]	24000000	1200	0	[(25828,24000000),(25829,1200),(26450,30),(29051,12),(28032,1)]
8	30	179	12000	[(26450,60),(29051,15),(27711,1)]	40000000	2000	0	[(25828,40000000),(25829,2000),(26450,60),(29051,15),(27711,1)]
9	30	179	18000	[(26450,60),(29051,15),(27492,1)]	40000000	2000	0	[(25828,40000000),(25829,2000),(26450,60),(29051,15),(27492,1)]
10	30	179	25000	[(26450,70),(29051,20),(28254,1)]	60000000	3000	0	[(25828,60000000),(25829,3000),(26450,70),(29051,20),(28254,1)]
