CatchFinshIndex	minLevel	maxLevel	grade	rate	rewardItems	Items	ItemShow	rewardUnbindRMB_S_Percent	isRumor	isRare
索引	最小等级	最大等级	档次	概率	奖励道具(服务端）	奖励道具（客户端）	奖励道具（客户端）	系统神石（奖池百分比）	是否广播（广播的都记录）	是否稀有（1-稀有， 0-不稀有）
1	30	59	3	2	()	(28611,1)	1	10	1	0
2	30	59	2	6	()	(25994,1)	2	5	1	0
3	30	59	1	35	()	(28609,1)	3	1	1	0
4	30	59	0	10	(27618,1)	(27618,1)	5	0	0	0
5	30	59	0	20	(27521,1)	(27521,1)	4	0	0	0
6	30	59	0	20	(37074,1)	(37074,1)	6	0	0	0
7	30	59	0	25	(37071,1)	(37071,1)	7	0	0	0
8	30	59	0	25	(37072,1)	(37072,1)	8	0	0	0
9	30	59	0	30	(37073,1)	(37073,1)	9	0	0	0
10	30	59	0	1594	(26344,2)	(26344,2)	0	0	0	0
11	30	59	0	625	(26344,5)	(26344,5)	0	0	0	0
12	30	59	0	313	(26344,10)	(26344,10)	0	0	0	0
13	30	59	0	1595	(25600,2)	(25600,2)	0	0	0	0
14	30	59	0	625	(25600,5)	(25600,5)	0	0	0	0
15	30	59	0	313	(25600,10)	(25600,10)	0	0	0	0
16	30	59	0	400	(27566,1)	(27566,1)	10	0	0	0
17	30	59	0	2000	(27517,1)	(27517,1)	0	0	0	0
18	30	59	0	500	(27518,1)	(27518,1)	0	0	0	0
19	30	59	0	625	(26343,2)	(26343,2)	0	0	0	0
20	30	59	0	250	(26343,5)	(26343,5)	0	0	0	0
21	30	59	0	125	(26343,10)	(26343,10)	0	0	0	0
22	30	59	0	625	(26342,2)	(26342,2)	0	0	0	0
23	30	59	0	250	(26342,5)	(26342,5)	0	0	0	0
24	30	59	0	125	(26342,10)	(26342,10)	0	0	0	0
25	60	79	3	2	()	(28611,1)	1	10	1	0
26	60	79	2	6	()	(25994,1)	2	5	1	0
27	60	79	1	35	()	(28609,1)	3	1	1	0
28	60	79	0	8	(27625,1)	(27625,1)	5	0	0	0
29	60	79	0	5	(28253,1)	(28253,1)	4	0	0	0
30	60	79	0	20	(37074,1)	(37074,1)	6	0	0	0
31	60	79	0	25	(37071,1)	(37071,1)	7	0	0	0
32	60	79	0	25	(37072,1)	(37072,1)	8	0	0	0
33	60	79	0	30	(37073,1)	(37073,1)	9	0	0	0
34	60	79	0	10	(27618,1)	(27618,1)	0	0	0	0
35	60	79	0	20	(27521,1)	(27521,1)	0	0	0	0
36	60	79	0	16	(27624,1)	(27624,1)	0	0	0	0
37	60	79	0	5	(27712,1)	(27712,1)	10	0	0	0
38	60	79	0	40	(27709,1)	(27709,1)	0	0	0	0
39	60	79	0	900	(26925,1)	(26925,1)	0	0	0	0
40	60	79	0	900	(26924,1)	(26924,1)	0	0	0	0
41	60	79	0	400	(26344,5)	(26344,5)	0	0	0	0
42	60	79	0	100	(26344,10)	(26344,10)	0	0	0	0
43	60	79	0	400	(26933,1)	(26933,1)	0	0	0	0
44	60	79	0	800	(26934,1)	(26934,1)	0	0	0	0
45	60	79	0	400	(25600,5)	(25600,5)	0	0	0	0
46	60	79	0	100	(25600,10)	(25600,10)	0	0	0	0
47	60	79	0	191	(27566,1)	(27566,1)	0	0	0	0
48	60	79	0	200	(26485,1)	(26485,1)	0	0	0	0
49	60	79	0	400	(26484,1)	(26484,1)	0	0	0	0
50	60	79	0	400	(26479,2)	(26479,2)	0	0	0	0
51	60	79	0	100	(26479,5)	(26479,5)	0	0	0	0
52	60	79	0	300	(27518,1)	(27518,1)	0	0	0	0
53	60	79	0	300	(27621,1)	(27621,1)	0	0	0	0
54	60	79	0	1250	(26144,2)	(26144,2)	0	0	0	0
55	60	79	0	500	(26144,5)	(26144,5)	0	0	0	0
56	60	79	0	250	(26144,10)	(26144,10)	0	0	0	0
57	60	79	0	1250	(25837,2)	(25837,2)	0	0	0	0
58	60	79	0	500	(25837,5)	(25837,5)	0	0	0	0
59	60	79	0	250	(25837,10)	(25837,10)	0	0	0	0
60	80	99	3	2	()	(28611,1)	1	10	1	0
61	80	99	2	6	()	(25994,1)	2	5	1	0
62	80	99	1	35	()	(28609,1)	3	1	1	0
63	80	99	0	1	(26439,1)	(26439,1)	4	0	1	0
64	80	99	0	1	(26459,1)	(26459,1)	5	0	1	0
65	80	99	0	20	(37074,1)	(37074,1)	6	0	0	0
66	80	99	0	25	(37071,1)	(37071,1)	7	0	0	0
67	80	99	0	25	(37072,1)	(37072,1)	8	0	0	0
68	80	99	0	30	(37073,1)	(37073,1)	9	0	0	0
69	80	99	0	1	(27707,1)	(27707,1)	10	0	1	0
70	80	99	0	5	(28253,1)	(28253,1)	0	0	0	0
71	80	99	0	2	(26438,1)	(26438,1)	0	0	0	0
72	80	99	0	4	(26458,1)	(26458,1)	0	0	0	0
73	80	99	0	5	(27712,1)	(27712,1)	0	0	0	0
74	80	99	0	40	(27709,1)	(27709,1)	0	0	0	0
75	80	99	0	706	(26925,1)	(26925,1)	0	0	0	0
76	80	99	0	707	(26924,1)	(26924,1)	0	0	0	0
77	80	99	0	20	(28353,1)	(28353,1)	0	0	0	0
78	80	99	0	500	(26221,20)	(26221,20)	0	0	0	0
79	80	99	0	200	(26933,1)	(26933,1)	0	0	0	0
80	80	99	0	300	(26934,1)	(26934,1)	0	0	0	0
81	80	99	0	100	(26676,1)	(26676,1)	0	0	0	0
82	80	99	0	1000	(26677,1)	(26677,1)	0	0	0	0
83	80	99	0	300	(27566,1)	(27566,1)	0	0	0	0
84	80	99	0	150	(27167,1)	(27167,1)	0	0	0	0
85	80	99	0	750	(27041,1)	(27041,1)	0	0	0	0
86	80	99	0	750	(27042,1)	(27042,1)	0	0	0	0
87	80	99	0	300	(28035,1)	(28035,1)	0	0	0	0
88	80	99	0	300	(27518,1)	(27518,1)	0	0	0	0
89	80	99	0	300	(27621,1)	(27621,1)	0	0	0	0
90	80	99	0	1125	(26144,2)	(26144,2)	0	0	0	0
91	80	99	0	425	(26144,5)	(26144,5)	0	0	0	0
92	80	99	0	225	(26144,10)	(26144,10)	0	0	0	0
93	80	99	0	1125	(25837,2)	(25837,2)	0	0	0	0
94	80	99	0	425	(25837,5)	(25837,5)	0	0	0	0
95	80	99	0	225	(25837,10)	(25837,10)	0	0	0	0
96	100	179	3	2	()	(28611,1)	1	10	1	0
97	100	179	2	6	()	(25994,1)	2	5	1	0
98	100	179	1	35	()	(28609,1)	3	1	1	0
99	100	179	0	30	(28894,1)	(28894,1)	0	0	0	0
100	100	179	0	1	(26439,1)	(26439,1)	4	0	1	0
101	100	179	0	1	(26459,1)	(26459,1)	5	0	1	0
102	100	179	0	20	(37074,1)	(37074,1)	6	0	0	0
103	100	179	0	25	(37071,1)	(37071,1)	7	0	0	0
104	100	179	0	25	(37072,1)	(37072,1)	8	0	0	0
105	100	179	0	30	(37073,1)	(37073,1)	9	0	0	0
106	100	179	0	1	(27707,1)	(27707,1)	10	0	1	0
107	100	179	0	5	(28253,1)	(28253,1)	0	0	0	0
108	100	179	0	2	(26438,1)	(26438,1)	0	0	0	0
109	100	179	0	4	(26458,1)	(26458,1)	0	0	0	0
110	100	179	0	5	(27712,1)	(27712,1)	0	0	0	0
111	100	179	0	40	(27709,1)	(27709,1)	0	0	0	0
112	100	179	0	200	(28564,1)	(28564,1)	0	0	0	0
113	100	179	0	200	(28572,1)	(28572,1)	0	0	0	0
114	100	179	0	1541	(28563,1)	(28563,1)	0	0	0	0
115	100	179	0	1542	(28571,1)	(28571,1)	0	0	0	0
116	100	179	0	100	(26676,1)	(26676,1)	0	0	0	0
117	100	179	0	1000	(26677,1)	(26677,1)	0	0	0	0
118	100	179	0	300	(27566,1)	(27566,1)	0	0	0	0
119	100	179	0	150	(27167,1)	(27167,1)	0	0	0	0
120	100	179	0	1000	(27041,1)	(27041,1)	0	0	0	0
121	100	179	0	1000	(27042,1)	(27042,1)	0	0	0	0
122	100	179	0	300	(28035,1)	(28035,1)	0	0	0	0
123	100	179	0	300	(27518,1)	(27518,1)	0	0	0	0
124	100	179	0	300	(27621,1)	(27621,1)	0	0	0	0
125	100	179	0	625	(26144,2)	(26144,2)	0	0	0	0
126	100	179	0	250	(26144,5)	(26144,5)	0	0	0	0
127	100	179	0	125	(26144,10)	(26144,10)	0	0	0	0
128	100	179	0	625	(25837,2)	(25837,2)	0	0	0	0
129	100	179	0	250	(25837,5)	(25837,5)	0	0	0	0
130	100	179	0	125	(25837,10)	(25837,10)	0	0	0	0
