eggType	minLevel	maxLevel	rewardItemList
龙蛋类型	等级下限	等级上限	物品奖励列表(coding, cnt, odds)
1	1	39	[(26223,1,3000,0),(26224,1,1000,1),(26225,1,300,1),(25600,15,1500,0),(25600,18,1500,0),(25600,20,1500,0),(25656,1,1000,0)]
1	40	59	[(26223,1,3000,0),(26224,1,1000,1),(26225,1,300,1),(25600,15,1500,0),(25600,18,1000,0),(25600,20,1000,0),(25657,1,1000,0),(26042,1,1000,0)]
1	60	79	[(25831,20,1000,0),(25970,20,1000,0),(26043,20,1000,0),(26223,1,1285,0),(26224,1,428,1),(26225,1,128,1),(26144,15,1000,0),(25837,15,1000,0),(26227,1,1028,1),(26228,1,342,1),(26485,2,1000,0),(26226,1,42,1),(26229,1,102,1)]
1	80	99	[(25831,20,1000,0),(25970,20,1000,0),(26043,20,1000,0),(26223,1,1500,0),(26224,1,500,1),(26225,1,150,1),(26144,15,1000,0),(25837,15,1000,0),(26227,1,1200,1),(26228,1,400,1),(26485,2,1000,0),(26272,15,1000,0),(26226,1,50,1),(26229,1,120,1)]
1	100	119	[(25831,20,1000,0),(25970,20,1000,0),(26043,20,1000,0),(26223,1,1500,0),(26224,1,500,1),(26225,1,150,1),(26144,15,1000,0),(25837,15,1000,0),(26227,1,1200,1),(26228,1,400,1),(26485,2,1000,0),(26272,15,1000,0),(26226,1,50,1),(26229,1,120,1)]
1	120	139	[(25831,20,1000,0),(25970,20,1000,0),(26043,20,1000,0),(26223,1,1500,0),(26224,1,500,1),(26225,1,150,1),(26144,15,1000,0),(25837,15,1000,0),(26227,1,1200,1),(26228,1,400,1),(26485,2,1000,0),(26272,15,1000,0),(26226,1,50,1),(26229,1,120,1)]
1	140	159	[(25831,20,1000,0),(25970,20,1000,0),(26043,20,1000,0),(26223,1,1500,0),(26224,1,500,1),(26225,1,150,1),(26144,15,1000,0),(25837,15,1000,0),(26227,1,1200,1),(26228,1,400,1),(26485,2,1000,0),(26272,15,1000,0),(26226,1,50,1),(26229,1,120,1)]
1	160	179	[(25831,20,1000,0),(25970,20,1000,0),(26043,20,1000,0),(26223,1,1500,0),(26224,1,500,1),(26225,1,150,1),(26144,15,1000,0),(25837,15,1000,0),(26227,1,1200,1),(26228,1,400,1),(26485,2,1000,0),(26272,15,1000,0),(26226,1,50,1),(26229,1,120,1)]
2	1	39	[(25671,5,1500,0),(25681,20,1500,0),(25661,10,1500,0),(25666,10,1500,0),(26032,1,2500,0),(26033,1,1000,0),(26044,1,500,0)]
2	40	59	[(25671,5,1500,0),(25682,20,1500,0),(25661,10,1500,0),(25666,10,1500,0),(26032,1,2500,0),(26033,1,1000,0),(26044,1,500,0)]
2	60	79	[(26144,2,1200,0),(25672,5,1000,0),(25683,20,1000,0),(25662,10,1100,0),(25667,10,1000,0),(25837,2,1200,0),(26032,1,1050,0),(26033,1,600,0),(26044,1,300,0),(26266,1,1000,0),(26119,1,400,0),(26267,1,150,0)]
2	80	99	[(26144,2,1200,0),(25673,5,1000,0),(25684,20,1000,0),(25663,10,1100,0),(25668,10,1000,0),(25837,1,1200,0),(26032,1,1050,0),(26033,1,600,0),(26044,1,300,0),(26266,1,1000,0),(26119,1,400,0),(26267,1,150,0)]
2	100	119	[(26144,2,1200,0),(25674,5,1000,0),(25685,20,1000,0),(25664,10,1100,0),(25669,10,1000,0),(25837,1,1200,0),(26032,1,1050,0),(26033,1,600,0),(26044,1,300,0),(26266,1,1000,0),(26119,1,400,0),(26267,1,150,0)]
2	120	139	[(25970,1,1200,0),(25675,5,1000,0),(25686,20,1000,0),(25665,10,1100,0),(25670,10,1000,0),(25831,1,1200,0),(26032,1,1050,0),(26033,1,600,0),(26044,1,300,0),(26266,1,1000,0),(26119,1,400,0),(26267,1,150,0)]
2	140	159	[(25970,1,1200,0),(27050,5,1000,0),(26607,20,1000,0),(27048,10,1100,0),(27049,10,1000,0),(25831,1,1200,0),(26032,1,1050,0),(26033,1,600,0),(26044,1,300,0),(26266,1,1000,0),(26119,1,400,0),(26267,1,150,0)]
2	160	179	[(25970,1,1200,0),(27906,5,1000,0),(27066,20,1000,0),(27904,10,1100,0),(27905,10,1000,0),(25831,1,1200,0),(26032,1,1050,0),(26033,1,600,0),(26044,1,300,0),(26266,1,1000,0),(26119,1,400,0),(26267,1,150,0)]
