day	minLevel	maxLevel	rewardIndex
天数	最小等级	最大等级	奖励索引
(1, 1)	30	59	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(1, 1)	60	89	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(1, 1)	90	119	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(1, 1)	120	149	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(1, 1)	150	179	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(1, 1)	180	999	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(2, 3)	30	59	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(2, 3)	60	89	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(2, 3)	90	119	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(2, 3)	120	149	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(2, 3)	150	179	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(2, 3)	180	999	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(4, 7)	30	59	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(4, 7)	60	89	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(4, 7)	90	119	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(4, 7)	120	149	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(4, 7)	150	179	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
(4, 7)	180	999	[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
