itemCoding	needScore	needLevel	limitCnt
物品coding	兑换需要积分	兑换需要角色等级	限购个数
25636	10	80	0
25637	11	80	0
25638	12	80	0
25639	13	80	0
25640	14	60	1
25641	15	60	1
25642	16	60	1
25643	17	80	1
25644	18	80	1
25645	19	80	1
25646	20	80	1
25647	21	80	1
25648	22	80	1
25649	23	80	1
25650	24	80	1
25651	25	80	1
25652	26	80	1
25653	27	80	1
25654	28	80	1
25655	29	60	1
25656	30	60	1
25657	31	60	1
25658	32	60	1
25659	33	60	1
25660	34	60	1
25661	35	60	1
25662	36	60	1
25663	37	60	1
25664	38	45	1
25665	39	45	1
25666	40	45	1
25667	41	45	1
25668	42	45	1
25669	43	45	1
25670	44	60	1
25671	45	60	1
25672	46	60	1
25673	47	60	1
25674	48	60	1
25675	49	60	1
25676	50	100	1
25677	51	100	1
25678	52	100	1
25679	53	100	1
25680	54	100	1
25681	55	100	1
25682	56	100	1
25683	57	100	1
25684	58	100	1
25685	59	100	1
25686	60	50	1
25687	61	50	1
25688	62	50	1
25689	63	50	1
25690	64	50	1
25691	65	60	1
25692	66	60	1
25693	67	60	1
25694	68	60	1
25695	69	50	1
25696	70	50	1
25697	71	50	1
25698	72	50	1
25699	73	50	1
25700	74	60	1
25701	75	60	1
25702	76	60	1
25703	77	60	1
