idx	level	oddsBase	maxEvolveLucky	perLuckyAddOdds	successNeedMinLucky	failAddLuckyRange	evolveNeedItem	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
龙脉索引	等级	升级基础成功率（十万分比）	升级祝福值上限	每点祝福值增加的成功率(十万分比)	成功需要的最小祝福值	增加祝福值区间	升级需要消耗的道具	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	0	0	14	2926	3	[1,1]	(27041,1)	750	0	0	250	250	0	250	250	250	0	0	250	250	0	0
1	1	0	20	1220	4	[1,1]	(27041,1)	1500	0	0	500	500	0	500	500	500	0	0	500	500	0	0
1	2	0	25	775	5	[1,1]	(27041,1)	2250	0	0	750	750	0	750	750	750	0	0	750	750	0	0
1	3	0	37	342	8	[1,1]	(27041,1)	3000	0	0	1000	1000	0	1000	1000	1000	0	0	1000	1000	0	0
1	4	0	47	209	10	[1,1]	(27041,1)	3750	0	0	1250	1250	0	1250	1250	1250	0	0	1250	1250	0	0
1	5	0	57	135	12	[1,1]	(27041,1)	4500	0	0	1500	1500	0	1500	1500	1500	0	0	1500	1500	0	0
1	6	0	73	86	15	[1,1]	(27041,1)	5250	0	0	1750	1750	0	1750	1750	1750	0	0	1750	1750	0	0
1	7	0	127	28	26	[1,1]	(27041,1)	6000	0	0	2000	2000	0	2000	2000	2000	0	0	2000	2000	0	0
1	8	0	147	20	30	[1,1]	(27041,1)	6750	0	0	2250	2250	0	2250	2250	2250	0	0	2250	2250	0	0
1	9	0	142	22	29	[1,1]	(27041,1)	7500	0	0	2500	2500	0	2500	2500	2500	0	0	2500	2500	0	0
1	10	0	97	45	20	[1,1]	(27041,2)	8250	0	0	2750	2750	0	2750	2750	2750	0	0	2750	2750	0	0
1	11	0	116	33	24	[1,1]	(27041,2)	9000	0	0	3000	3000	0	3000	3000	3000	0	0	3000	3000	0	0
1	12	0	127	25	26	[1,1]	(27041,2)	9750	0	0	3250	3250	0	3250	3250	3250	0	0	3250	3250	0	0
1	13	0	137	24	28	[1,1]	(27041,2)	10500	0	0	3500	3500	0	3500	3500	3500	0	0	3500	3500	0	0
1	14	0	148	19	30	[1,1]	(27041,2)	11250	0	0	3750	3750	0	3750	3750	3750	0	0	3750	3750	0	0
