dragonId	grade	gradeColor	gradeName	floorShadow	dragonName	dragonHeader	oddsBase	maxEvolveLucky	perLuckyAddOdds	successNeedMinLucky	failAddLuckyRange	evolveNeedItem	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
神龙ID	阶级	阶级颜色	阶级名称	底色背景图	神龙名	神龙头像	进化基础成功率（十万分比）	进化祝福值上限	每点祝福值增加的成功率(十万分比)	成功需要的最小祝福值	增加祝福值区间	进化所需材料	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	1	绿色	普通	icoBg1	远古绿龙	30031	0	21	1120	5	[1,1]	[(26924,1),(26925,1)]	1000	0	0	333	333	0	333	100	100	0	0	100	100	0	0
1	2	蓝色	优秀	icoBg2	远古绿龙	30031	0	31	498	7	[1,1]	[(26924,2),(26925,2)]	3000	0	0	1000	1000	0	1000	200	200	0	0	200	200	0	0
1	3	紫色	极品	icoBg3	远古绿龙	30031	0	62	120	13	[1,1]	[(26924,3),(26925,3)]	5100	0	0	1700	1700	0	1700	350	350	0	0	350	350	0	0
1	4	橙色	传说	icoBg5	远古绿龙	30031	0	101	43	21	[1,1]	[(26924,4),(26925,4)]	8100	0	0	2700	2700	0	2700	500	500	0	0	500	500	0	0
1	5	红色	史诗	icoBg6	远古绿龙	30031	0	0	0	0	[1,1]		12000	0	0	4000	4000	0	4000	700	700	0	0	700	700	0	0
2	1	绿色	普通	icoBg1	远古白龙	30032	0	25	790	5	[1,1]	[(26924,1),(26925,1)]	1100	0	0	366	366	0	366	100	100	0	0	100	100	0	0
2	2	蓝色	优秀	icoBg2	远古白龙	30032	0	38	330	8	[1,1]	[(26924,2),(26925,2)]	3150	0	0	1050	1050	0	1050	200	200	0	0	200	200	0	0
2	3	紫色	极品	icoBg3	远古白龙	30032	0	75	81	15	[1,1]	[(26924,3),(26925,3)]	5355	0	0	1785	1785	0	1785	350	350	0	0	350	350	0	0
2	4	橙色	传说	icoBg5	远古白龙	30032	0	121	31	25	[1,1]	[(26924,4),(26925,4)]	8505	0	0	2835	2835	0	2835	500	500	0	0	500	500	0	0
