cnt	needRMB	rewardSoul	critOdds	critTimes
聚灵次数	消耗神石	奖励的龙灵	暴击概率（万分比）	暴击倍数
1	5	2840	2500	5
2	10	2840	2500	5
3	15	2840	2500	5
4	20	2840	2500	5
5	25	2840	2500	5
6	30	2840	2500	5
7	35	2840	2500	5
8	40	2840	2500	5
9	45	2840	2500	5
10	50	2840	2500	5
11	50	2840	2500	5
12	50	2840	2500	5
13	50	2840	2500	5
14	50	2840	2500	5
15	50	2840	2500	5
16	50	2840	2500	5
17	50	2840	2500	5
18	50	2840	2500	5
19	50	2840	2500	5
20	50	2840	2500	5
21	50	2840	2500	5
22	50	2840	2500	5
23	50	2840	2500	5
24	50	2840	2500	5
25	50	2840	2500	5
26	50	2840	2500	5
27	50	2840	2500	5
28	50	2840	2500	5
29	50	2840	2500	5
30	50	2840	2500	5
31	50	2840	2500	5
32	50	2840	2500	5
33	50	2840	2500	5
34	50	2840	2500	5
35	50	2840	2500	5
36	50	2840	2500	5
37	50	2840	2500	5
38	50	2840	2500	5
39	50	2840	2500	5
40	50	2840	2500	5
41	50	2840	2500	5
42	50	2840	2500	5
43	50	2840	2500	5
44	50	2840	2500	5
45	50	2840	2500	5
46	50	2840	2500	5
47	50	2840	2500	5
48	50	2840	2500	5
49	50	2840	2500	5
50	50	2840	2500	5
51	50	2840	2500	5
52	50	2840	2500	5
53	50	2840	2500	5
54	50	2840	2500	5
55	50	2840	2500	5
56	50	2840	2500	5
57	50	2840	2500	5
58	50	2840	2500	5
59	50	2840	2500	5
60	50	2840	2500	5
61	50	2840	2500	5
62	50	2840	2500	5
63	50	2840	2500	5
64	50	2840	2500	5
65	50	2840	2500	5
66	50	2840	2500	5
67	50	2840	2500	5
68	50	2840	2500	5
69	50	2840	2500	5
70	50	2840	2500	5
71	50	2840	2500	5
72	50	2840	2500	5
73	50	2840	2500	5
74	50	2840	2500	5
75	50	2840	2500	5
76	50	2840	2500	5
77	50	2840	2500	5
78	50	2840	2500	5
79	50	2840	2500	5
80	50	2840	2500	5
81	50	2840	2500	5
82	50	2840	2500	5
83	50	2840	2500	5
84	50	2840	2500	5
85	50	2840	2500	5
86	50	2840	2500	5
87	50	2840	2500	5
88	50	2840	2500	5
89	50	2840	2500	5
90	50	2840	2500	5
91	50	2840	2500	5
92	50	2840	2500	5
93	50	2840	2500	5
94	50	2840	2500	5
95	50	2840	2500	5
96	50	2840	2500	5
97	50	2840	2500	5
98	50	2840	2500	5
99	50	2840	2500	5
100	50	2840	2500	5
