dragonId	position	grade	needDragonSoul	needPreBallData	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
神龙ID	龙珠位置	阶级	升级需要消耗的龙灵	前置龙珠数据(位置，阶级)	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
1	1	1	2000		150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	2	2800	(8,1)	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	3	3600	(8,2)	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	4	4400	(8,3)	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	5	5200	(8,4)	819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	6	6000	(8,5)	1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	7	6800	(8,6)	1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	8	7600	(8,7)	1395	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	9	8400	(8,8)	1602	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	10	9300	(8,9)	1815	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	11	10900	(8,10)	2034	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	12	12500	(8,11)	2262	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	13	14100	(8,12)	2496	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	14	15700	(8,13)	2736	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	15	17600	(8,14)	2985	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	16	21600	(8,15)	3240	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	17	25600	(8,16)	3501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	18	29600	(8,17)	3771	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	19	33600	(8,18)	4047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	20	37600	(8,19)	4329	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	21	50000	(8,20)	4620	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	22	54000	(8,21)	4917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	23	58000	(8,22)	5220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	24	62000	(8,23)	5532	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	25	66000	(8,24)	5850	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	26	70000	(8,25)	6174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	27	74000	(8,26)	6507	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	28	78000	(8,27)	6846	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	29	82000	(8,28)	7191	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	30	86000	(8,29)	7545	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	31	90000	(8,30)	7905	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	32	94000	(8,31)	8271	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	33	98000	(8,32)	8646	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	34	102000	(8,33)	9027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	35	106000	(8,34)	9414	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2	1	2100	(1,1)	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0
1	2	2	2900	(1,2)	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0
1	2	3	3700	(1,3)	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0
1	2	4	4500	(1,4)	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0
1	2	5	5300	(1,5)	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0
1	2	6	6100	(1,6)	0	0	0	335	0	0	0	0	0	0	0	0	0	0	0
1	2	7	6900	(1,7)	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0
1	2	8	7700	(1,8)	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0
1	2	9	8500	(1,9)	0	0	0	534	0	0	0	0	0	0	0	0	0	0	0
