coding	name	dragonId	needLevel	grade	posType	canActivate	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
物品编码	物品名字	装备所属神龙ID	装配需要等级	品阶	装备部位类型	能否激活部位	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤
26681	天·绿龙角	1	45	2	1	1	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0
26682	天·绿龙甲	1	45	2	2	1	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26683	天·绿龙骨	1	45	2	3	1	0	0	0	250	500	0	0	0	0	0	0	0	0	0	0
26684	天·绿龙尾	1	45	2	4	1	750	0	0	0	500	0	0	0	0	0	0	0	0	0	0
26685	天·绿龙牙	1	45	2	5	1	0	0	0	250	0	0	500	0	0	0	0	0	0	0	0
26686	天·绿龙爪	1	45	2	6	1	750	0	0	0	0	0	500	0	0	0	0	0	0	0	0
26687	雷·绿龙角	1	45	3	1	0	0	0	0	700	0	0	0	0	0	0	0	0	0	0	0
26688	雷·绿龙甲	1	45	3	2	0	2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26689	雷·绿龙骨	1	45	3	3	0	0	0	0	350	700	0	0	0	0	0	0	0	0	0	0
26690	雷·绿龙尾	1	45	3	4	0	1050	0	0	0	700	0	0	0	0	0	0	0	0	0	0
26691	雷·绿龙牙	1	45	3	5	0	0	0	0	350	0	0	700	0	0	0	0	0	0	0	0
26692	雷·绿龙爪	1	45	3	6	0	1050	0	0	0	0	0	700	0	0	0	0	0	0	0	0
26693	地·绿龙角	1	45	4	1	0	0	0	0	875	0	0	0	0	0	0	0	0	0	0	0
26694	地·绿龙甲	1	45	4	2	0	2625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26695	地·绿龙骨	1	45	4	3	0	0	0	0	437	875	0	0	0	0	0	0	0	0	0	0
26696	地·绿龙尾	1	45	4	4	0	1312	0	0	0	875	0	0	0	0	0	0	0	0	0	0
26697	地·绿龙牙	1	45	4	5	0	0	0	0	437	0	0	875	0	0	0	0	0	0	0	0
26698	地·绿龙爪	1	45	4	6	0	1312	0	0	0	0	0	875	0	0	0	0	0	0	0	0
26699	火·绿龙角	1	45	5	1	0	0	0	0	1125	0	0	0	0	0	0	0	0	0	0	0
26700	火·绿龙甲	1	45	5	2	0	3375	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26701	火·绿龙骨	1	45	5	3	0	0	0	0	562	1125	0	0	0	0	0	0	0	0	0	0
26702	火·绿龙尾	1	45	5	4	0	1687	0	0	0	1125	0	0	0	0	0	0	0	0	0	0
26703	火·绿龙牙	1	45	5	5	0	0	0	0	562	0	0	1125	0	0	0	0	0	0	0	0
26704	火·绿龙爪	1	45	5	6	0	1687	0	0	0	0	0	1125	0	0	0	0	0	0	0	0
26705	天·白龙角	2	45	2	1	1	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0
26706	天·白龙甲	2	45	2	2	1	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26707	天·白龙骨	2	45	2	3	1	0	0	0	262	525	0	0	0	0	0	0	0	0	0	0
26708	天·白龙尾	2	45	2	4	1	787	0	0	0	525	0	0	0	0	0	0	0	0	0	0
26709	天·白龙牙	2	45	2	5	1	0	0	0	262	0	0	525	0	0	0	0	0	0	0	0
26710	天·白龙爪	2	45	2	6	1	787	0	0	0	0	0	525	0	0	0	0	0	0	0	0
26711	雷·白龙角	2	45	3	1	0	0	0	0	735	0	0	0	0	0	0	0	0	0	0	0
26712	雷·白龙甲	2	45	3	2	0	2205	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26713	雷·白龙骨	2	45	3	3	0	0	0	0	367	735	0	0	0	0	0	0	0	0	0	0
26714	雷·白龙尾	2	45	3	4	0	1102	0	0	0	735	0	0	0	0	0	0	0	0	0	0
26715	雷·白龙牙	2	45	3	5	0	0	0	0	367	0	0	735	0	0	0	0	0	0	0	0
26716	雷·白龙爪	2	45	3	6	0	1102	0	0	0	0	0	735	0	0	0	0	0	0	0	0
26717	地·白龙角	2	45	4	1	0	0	0	0	918	0	0	0	0	0	0	0	0	0	0	0
26718	地·白龙甲	2	45	4	2	0	2756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26719	地·白龙骨	2	45	4	3	0	0	0	0	459	918	0	0	0	0	0	0	0	0	0	0
26720	地·白龙尾	2	45	4	4	0	1378	0	0	0	918	0	0	0	0	0	0	0	0	0	0
26721	地·白龙牙	2	45	4	5	0	0	0	0	459	0	0	918	0	0	0	0	0	0	0	0
26722	地·白龙爪	2	45	4	6	0	1378	0	0	0	0	0	918	0	0	0	0	0	0	0	0
26723	火·白龙角	2	45	5	1	0	0	0	0	1181	0	0	0	0	0	0	0	0	0	0	0
26724	火·白龙甲	2	45	5	2	0	3543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26725	火·白龙骨	2	45	5	3	0	0	0	0	590	1181	0	0	0	0	0	0	0	0	0	0
26726	火·白龙尾	2	45	5	4	0	1771	0	0	0	1181	0	0	0	0	0	0	0	0	0	0
26727	火·白龙牙	2	45	5	5	0	0	0	0	590	0	0	1181	0	0	0	0	0	0	0	0
26728	火·白龙爪	2	45	5	6	0	1771	0	0	0	0	0	1181	0	0	0	0	0	0	0	0
26729	天·红龙角	3	45	2	1	1	0	0	0	550	0	0	0	0	0	0	0	0	0	0	0
26730	天·红龙甲	3	45	2	2	1	1650	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26731	天·红龙骨	3	45	2	3	1	0	0	0	275	550	0	0	0	0	0	0	0	0	0	0
26732	天·红龙尾	3	45	2	4	1	825	0	0	0	550	0	0	0	0	0	0	0	0	0	0
26733	天·红龙牙	3	45	2	5	1	0	0	0	275	0	0	550	0	0	0	0	0	0	0	0
26734	天·红龙爪	3	45	2	6	1	825	0	0	0	0	0	550	0	0	0	0	0	0	0	0
26735	雷·红龙角	3	45	3	1	0	0	0	0	770	0	0	0	0	0	0	0	0	0	0	0
26736	雷·红龙甲	3	45	3	2	0	2310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26737	雷·红龙骨	3	45	3	3	0	0	0	0	385	770	0	0	0	0	0	0	0	0	0	0
26738	雷·红龙尾	3	45	3	4	0	1155	0	0	0	770	0	0	0	0	0	0	0	0	0	0
26739	雷·红龙牙	3	45	3	5	0	0	0	0	385	0	0	770	0	0	0	0	0	0	0	0
26740	雷·红龙爪	3	45	3	6	0	1155	0	0	0	0	0	770	0	0	0	0	0	0	0	0
26741	地·红龙角	3	45	4	1	0	0	0	0	962	0	0	0	0	0	0	0	0	0	0	0
26742	地·红龙甲	3	45	4	2	0	2887	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26743	地·红龙骨	3	45	4	3	0	0	0	0	481	962	0	0	0	0	0	0	0	0	0	0
26744	地·红龙尾	3	45	4	4	0	1443	0	0	0	962	0	0	0	0	0	0	0	0	0	0
26745	地·红龙牙	3	45	4	5	0	0	0	0	481	0	0	962	0	0	0	0	0	0	0	0
26746	地·红龙爪	3	45	4	6	0	1443	0	0	0	0	0	962	0	0	0	0	0	0	0	0
26747	火·红龙角	3	45	5	1	0	0	0	0	1237	0	0	0	0	0	0	0	0	0	0	0
26748	火·红龙甲	3	45	5	2	0	3712	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26749	火·红龙骨	3	45	5	3	0	0	0	0	618	1237	0	0	0	0	0	0	0	0	0	0
26750	火·红龙尾	3	45	5	4	0	1856	0	0	0	1237	0	0	0	0	0	0	0	0	0	0
26751	火·红龙牙	3	45	5	5	0	0	0	0	618	0	0	1237	0	0	0	0	0	0	0	0
26752	火·红龙爪	3	45	5	6	0	1856	0	0	0	0	0	1237	0	0	0	0	0	0	0	0
26753	天·蓝龙角	4	45	2	1	1	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0
26754	天·蓝龙甲	4	45	2	2	1	1725	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26755	天·蓝龙骨	4	45	2	3	1	0	0	0	287	575	0	0	0	0	0	0	0	0	0	0
26756	天·蓝龙尾	4	45	2	4	1	862	0	0	0	575	0	0	0	0	0	0	0	0	0	0
26757	天·蓝龙牙	4	45	2	5	1	0	0	0	287	0	0	575	0	0	0	0	0	0	0	0
26758	天·蓝龙爪	4	45	2	6	1	862	0	0	0	0	0	575	0	0	0	0	0	0	0	0
26759	雷·蓝龙角	4	45	3	1	0	0	0	0	805	0	0	0	0	0	0	0	0	0	0	0
26760	雷·蓝龙甲	4	45	3	2	0	2415	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26761	雷·蓝龙骨	4	45	3	3	0	0	0	0	402	805	0	0	0	0	0	0	0	0	0	0
26762	雷·蓝龙尾	4	45	3	4	0	1207	0	0	0	805	0	0	0	0	0	0	0	0	0	0
26763	雷·蓝龙牙	4	45	3	5	0	0	0	0	402	0	0	805	0	0	0	0	0	0	0	0
26764	雷·蓝龙爪	4	45	3	6	0	1207	0	0	0	0	0	805	0	0	0	0	0	0	0	0
26765	地·蓝龙角	4	45	4	1	0	0	0	0	1006	0	0	0	0	0	0	0	0	0	0	0
26766	地·蓝龙甲	4	45	4	2	0	3018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26767	地·蓝龙骨	4	45	4	3	0	0	0	0	503	1006	0	0	0	0	0	0	0	0	0	0
26768	地·蓝龙尾	4	45	4	4	0	1509	0	0	0	1006	0	0	0	0	0	0	0	0	0	0
26769	地·蓝龙牙	4	45	4	5	0	0	0	0	503	0	0	1006	0	0	0	0	0	0	0	0
26770	地·蓝龙爪	4	45	4	6	0	1509	0	0	0	0	0	1006	0	0	0	0	0	0	0	0
26771	火·蓝龙角	4	45	5	1	0	0	0	0	1293	0	0	0	0	0	0	0	0	0	0	0
26772	火·蓝龙甲	4	45	5	2	0	3881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26773	火·蓝龙骨	4	45	5	3	0	0	0	0	646	1293	0	0	0	0	0	0	0	0	0	0
26774	火·蓝龙尾	4	45	5	4	0	1940	0	0	0	1293	0	0	0	0	0	0	0	0	0	0
26775	火·蓝龙牙	4	45	5	5	0	0	0	0	646	0	0	1293	0	0	0	0	0	0	0	0
26776	火·蓝龙爪	4	45	5	6	0	1940	0	0	0	0	0	1293	0	0	0	0	0	0	0	0
