times	cost
CD加速次数	花费（魔晶或神石）
1	20
2	40
3	80
4	160
5	320
6	640
7	1280
8	2560
9	5120
10	10240
11	10240
12	10240
13	10240
14	10240
15	10240
16	10240
17	10240
18	10240
19	10240
20	10240
21	10240
22	10240
23	10240
24	10240
25	10240
26	10240
27	10240
28	10240
29	10240
30	10240
31	10240
32	10240
33	10240
34	10240
35	10240
36	10240
37	10240
38	10240
39	10240
40	10240
41	10240
42	10240
43	10240
44	10240
45	10240
46	10240
47	10240
48	10240
49	10240
50	10240
51	10240
52	10240
53	10240
54	10240
55	10240
56	10240
57	10240
58	10240
59	10240
60	10240
61	10240
62	10240
63	10240
64	10240
65	10240
66	10240
67	10240
68	10240
69	10240
70	10240
71	10240
72	10240
73	10240
74	10240
75	10240
76	10240
77	10240
78	10240
79	10240
80	10240
81	10240
82	10240
83	10240
84	10240
85	10240
86	10240
87	10240
88	10240
89	10240
90	10240
91	10240
92	10240
93	10240
94	10240
95	10240
96	10240
97	10240
98	10240
99	10240
100	10240
