keepdays	expbonus	goldbonus
连守天数	经验加成（百分比）	金钱加成（百分比）
0	20	20
1	25	25
2	30	30
3	35	35
4	40	40
5	40	40
6	40	40
7	40	40
8	40	40
9	40	40
10	40	40
11	40	40
12	40	40
13	40	40
14	40	40
15	40	40
16	40	40
17	40	40
18	40	40
19	40	40
20	40	40
21	40	40
22	40	40
23	40	40
24	40	40
25	40	40
26	40	40
27	40	40
28	40	40
29	40	40
30	40	40
31	40	40
32	40	40
33	40	40
34	40	40
35	40	40
36	40	40
37	40	40
38	40	40
39	40	40
40	40	40
41	40	40
42	40	40
43	40	40
44	40	40
45	40	40
46	40	40
47	40	40
48	40	40
49	40	40
50	40	40
