max_ZDL	min_ZDL	point
战斗力上限	战斗力下限	积分
0	100000	10
100001	200000	30
200001	300000	50
300001	400000	70
400001	500000	90
500001	600000	110
600001	700000	130
700001	800000	150
800001	900000	170
900001	1000000	190
1000001	1100000	210
1100001	1200000	230
1200001	1300000	250
1300001	1400000	270
1400001	1500000	290
1500001	1600000	310
1600001	1700000	330
1700001	1800000	350
1800001	1900000	370
1900001	2000000	390
2000001	2100000	410
2100001	2200000	430
2200001	2300000	450
2300001	2400000	470
2400001	2500000	490
2500001	2600000	510
2600001	2700000	530
2700001	2800000	550
2800001	2900000	570
2900001	3000000	590
3000001	99999999	600
