rewardId	awardEnum	level1	money1	level2	money2	level3	money3	level4	money4	level5	money5	level6	money6	level7	money7	level8	money8	money1_fcm	money2_fcm	money3_fcm	money4_fcm	money5_fcm	money6_fcm	money7_fcm	money8_fcm
排名		等级区间1	金币1	等级区间2														金币1防沉迷	金币2防沉迷	金币3防沉迷	金币4防沉迷	金币5防沉迷	金币6防沉迷	金币7防沉迷	金币8防沉迷
1	2	[0,39]	380000	[40,59]	560000	[60,79]	760000	[80,99]	960000	[100,119]	1160000	[120,139]	1360000	[140,159]	1560000	[160,179]	1760000	190000	280000	380000	480000	580000	680000	780000	880000
2	2	[0,39]	360000	[40,59]	520000	[60,79]	720000	[80,99]	920000	[100,119]	1120000	[120,139]	1320000	[140,159]	1520000	[160,179]	1720000	180000	260000	360000	460000	560000	660000	760000	860000
3	2	[0,39]	340000	[40,59]	480000	[60,79]	680000	[80,99]	880000	[100,119]	1080000	[120,139]	1280000	[140,159]	1480000	[160,179]	1680000	170000	240000	340000	440000	540000	640000	740000	840000
4	2	[0,39]	340000	[40,59]	480000	[60,79]	680000	[80,99]	880000	[100,119]	1080000	[120,139]	1280000	[140,159]	1480000	[160,179]	1680000	170000	240000	340000	440000	540000	640000	740000	840000
5	2	[0,39]	340000	[40,59]	480000	[60,79]	680000	[80,99]	880000	[100,119]	1080000	[120,139]	1280000	[140,159]	1480000	[160,179]	1680000	170000	240000	340000	440000	540000	640000	740000	840000
6	2	[0,39]	320000	[40,59]	440000	[60,79]	640000	[80,99]	840000	[100,119]	1040000	[120,139]	1240000	[140,159]	1440000	[160,179]	1640000	160000	220000	320000	420000	520000	620000	720000	820000
7	2	[0,39]	320000	[40,59]	440000	[60,79]	640000	[80,99]	840000	[100,119]	1040000	[120,139]	1240000	[140,159]	1440000	[160,179]	1640000	160000	220000	320000	420000	520000	620000	720000	820000
8	2	[0,39]	320000	[40,59]	440000	[60,79]	640000	[80,99]	840000	[100,119]	1040000	[120,139]	1240000	[140,159]	1440000	[160,179]	1640000	160000	220000	320000	420000	520000	620000	720000	820000
9	2	[0,39]	320000	[40,59]	440000	[60,79]	640000	[80,99]	840000	[100,119]	1040000	[120,139]	1240000	[140,159]	1440000	[160,179]	1640000	160000	220000	320000	420000	520000	620000	720000	820000
10	2	[0,39]	320000	[40,59]	440000	[60,79]	640000	[80,99]	840000	[100,119]	1040000	[120,139]	1240000	[140,159]	1440000	[160,179]	1640000	160000	220000	320000	420000	520000	620000	720000	820000
11	2	[0,39]	300000	[40,59]	400000	[60,79]	600000	[80,99]	800000	[100,119]	1000000	[120,139]	1200000	[140,159]	1400000	[160,179]	1600000	150000	200000	300000	400000	500000	600000	700000	800000
