rewardId	order	awardEnum	Minlevel	Maxlevel	itemId1	cnt1	itemId2	cnt2	itemId3	cnt3	itemId4	cnt4	money	cnt1_fcm	cnt2_fcm	cnt3_fcm	cnt4_fcm
奖励ID	奖励品阶（越小越好）		最低等级	最高等级	道具ID1	数量1	道具ID2	数量2	道具3	数量3	道具4	数量4	金币	数量1防沉迷	数量2防沉迷	数量3防沉迷	数量4防沉迷
1	1	3	0	39	25681	200	25638	50	25671	50	25661	200	0	100	25	25	100
2	1	3	40	59	25682	200	25638	100	25671	50	25661	200	0	100	50	25	100
3	1	3	60	79	25683	200	25640	50	25672	50	25662	200	0	100	25	25	100
4	1	3	80	99	25684	200	25640	68	25673	50	25663	200	0	100	34	25	100
5	1	3	100	119	25685	200	25642	50	25674	50	25664	200	0	100	25	25	100
6	2	3	0	39	25681	50	25638	30	25671	40	25661	150	0	25	15	20	75
7	2	3	40	59	25682	50	25638	60	25671	40	25661	150	0	25	30	20	75
8	2	3	60	79	25683	50	25640	30	25672	40	25662	150	0	25	15	20	75
9	2	3	80	99	25684	50	25640	40	25673	40	25663	150	0	25	20	20	75
10	2	3	100	119	25685	50	25642	30	25674	40	25664	150	0	25	15	20	75
11	3	3	0	39	25681	30	25638	20	25671	25	25661	100	0	15	10	13	50
12	3	3	40	59	25682	30	25638	40	25671	25	25661	100	0	15	20	13	50
13	3	3	60	79	25683	30	25640	20	25672	25	25662	100	0	15	10	13	50
14	3	3	80	99	25684	30	25640	28	25673	25	25663	100	0	15	14	13	50
15	3	3	100	119	25685	30	25642	20	25674	25	25664	100	0	15	10	13	50
16	4	3	0	39	25681	20	25638	10	25671	10	25661	50	0	10	5	5	25
17	4	3	40	59	25682	20	25638	20	25671	10	25661	50	0	10	10	5	25
18	4	3	60	79	25683	20	25640	10	25672	10	25662	50	0	10	5	5	25
19	4	3	80	99	25684	20	25640	14	25673	10	25663	50	0	10	7	5	25
20	4	3	100	119	25685	20	25642	10	25674	10	25664	50	0	10	5	5	25
21	1	3	120	139	25686	200	25642	68	25675	50	25665	200	0	100	34	25	100
22	2	3	120	139	25686	50	25642	40	25675	40	25665	150	0	25	20	20	75
23	3	3	120	139	25686	30	25642	28	25675	25	25665	100	0	15	14	13	50
24	4	3	120	139	25686	20	25642	14	25675	10	25665	50	0	10	7	5	25
25	1	3	140	159	26607	200	25642	86	27050	50	27048	200	0	100	43	25	100
26	2	3	140	159	26607	50	25642	50	27050	40	27048	150	0	25	25	20	75
27	3	3	140	159	26607	30	25642	36	27050	25	27048	100	0	15	18	13	50
28	4	3	140	159	26607	20	25642	18	27050	10	27048	50	0	10	9	5	25
29	1	3	160	179	27066	200	25642	100	27906	50	27904	200	0	100	50	25	100
30	2	3	160	179	27066	50	25642	60	27906	40	27904	150	0	25	30	20	75
31	3	3	160	179	27066	30	25642	44	27906	25	27904	100	0	15	22	13	50
32	4	3	160	179	27066	20	25642	22	27906	10	27904	50	0	10	11	5	25
