rank	level	rewardItem	rewardItem_fcm
排名	等级	奖励物品(物品ID，个数）	奖励物品(物品ID，个数）防沉迷
1	30	(25681,30)	(25681,15)
1	31	(25681,30)	(25681,15)
1	32	(25681,30)	(25681,15)
1	33	(25681,30)	(25681,15)
1	34	(25681,30)	(25681,15)
1	35	(25681,30)	(25681,15)
1	36	(25681,30)	(25681,15)
1	37	(25681,30)	(25681,15)
1	38	(25681,30)	(25681,15)
1	39	(25681,30)	(25681,15)
1	40	(25682,30)	(25682,15)
1	41	(25682,30)	(25682,15)
1	42	(25682,30)	(25682,15)
1	43	(25682,30)	(25682,15)
1	44	(25682,30)	(25682,15)
1	45	(25682,30)	(25682,15)
1	46	(25682,30)	(25682,15)
1	47	(25682,30)	(25682,15)
1	48	(25682,30)	(25682,15)
1	49	(25682,30)	(25682,15)
1	50	(25682,30)	(25682,15)
1	51	(25682,30)	(25682,15)
1	52	(25682,30)	(25682,15)
1	53	(25682,30)	(25682,15)
1	54	(25682,30)	(25682,15)
1	55	(25682,30)	(25682,15)
1	56	(25682,30)	(25682,15)
1	57	(25682,30)	(25682,15)
1	58	(25682,30)	(25682,15)
1	59	(25682,30)	(25682,15)
1	60	(25683,30)	(25683,15)
1	61	(25683,30)	(25683,15)
1	62	(25683,30)	(25683,15)
1	63	(25683,30)	(25683,15)
1	64	(25683,30)	(25683,15)
1	65	(25683,30)	(25683,15)
1	66	(25683,30)	(25683,15)
1	67	(25683,30)	(25683,15)
1	68	(25683,30)	(25683,15)
1	69	(25683,30)	(25683,15)
1	70	(25683,30)	(25683,15)
1	71	(25683,30)	(25683,15)
1	72	(25683,30)	(25683,15)
1	73	(25683,30)	(25683,15)
1	74	(25683,30)	(25683,15)
1	75	(25683,30)	(25683,15)
1	76	(25683,30)	(25683,15)
1	77	(25683,30)	(25683,15)
1	78	(25683,30)	(25683,15)
1	79	(25683,30)	(25683,15)
1	80	(25684,30)	(25684,15)
1	81	(25684,30)	(25684,15)
1	82	(25684,30)	(25684,15)
1	83	(25684,30)	(25684,15)
1	84	(25684,30)	(25684,15)
1	85	(25684,30)	(25684,15)
1	86	(25684,30)	(25684,15)
1	87	(25684,30)	(25684,15)
1	88	(25684,30)	(25684,15)
1	89	(25684,30)	(25684,15)
1	90	(25684,30)	(25684,15)
1	91	(25684,30)	(25684,15)
1	92	(25684,30)	(25684,15)
1	93	(25684,30)	(25684,15)
1	94	(25684,30)	(25684,15)
1	95	(25684,30)	(25684,15)
1	96	(25684,30)	(25684,15)
1	97	(25684,30)	(25684,15)
1	98	(25684,30)	(25684,15)
1	99	(25684,30)	(25684,15)
1	100	(25685,30)	(25685,15)
1	101	(25685,30)	(25685,15)
1	102	(25685,30)	(25685,15)
1	103	(25685,30)	(25685,15)
1	104	(25685,30)	(25685,15)
1	105	(25685,30)	(25685,15)
1	106	(25685,30)	(25685,15)
1	107	(25685,30)	(25685,15)
1	108	(25685,30)	(25685,15)
1	109	(25685,30)	(25685,15)
1	110	(25685,30)	(25685,15)
1	111	(25685,30)	(25685,15)
1	112	(25685,30)	(25685,15)
1	113	(25685,30)	(25685,15)
1	114	(25685,30)	(25685,15)
1	115	(25685,30)	(25685,15)
1	116	(25685,30)	(25685,15)
1	117	(25685,30)	(25685,15)
1	118	(25685,30)	(25685,15)
1	119	(25685,30)	(25685,15)
1	120	(25686,30)	(25686,15)
1	121	(25686,30)	(25686,15)
1	122	(25686,30)	(25686,15)
1	123	(25686,30)	(25686,15)
1	124	(25686,30)	(25686,15)
1	125	(25686,30)	(25686,15)
1	126	(25686,30)	(25686,15)
1	127	(25686,30)	(25686,15)
1	128	(25686,30)	(25686,15)
1	129	(25686,30)	(25686,15)
1	130	(25686,30)	(25686,15)
1	131	(25686,30)	(25686,15)
1	132	(25686,30)	(25686,15)
1	133	(25686,30)	(25686,15)
1	134	(25686,30)	(25686,15)
1	135	(25686,30)	(25686,15)
1	136	(25686,30)	(25686,15)
1	137	(25686,30)	(25686,15)
1	138	(25686,30)	(25686,15)
1	139	(25686,30)	(25686,15)
1	140	(26607,30)	(26607,15)
1	141	(26607,30)	(26607,15)
1	142	(26607,30)	(26607,15)
1	143	(26607,30)	(26607,15)
1	144	(26607,30)	(26607,15)
1	145	(26607,30)	(26607,15)
1	146	(26607,30)	(26607,15)
1	147	(26607,30)	(26607,15)
1	148	(26607,30)	(26607,15)
1	149	(26607,30)	(26607,15)
1	150	(26607,30)	(26607,15)
1	151	(26607,30)	(26607,15)
1	152	(26607,30)	(26607,15)
1	153	(26607,30)	(26607,15)
1	154	(26607,30)	(26607,15)
1	155	(26607,30)	(26607,15)
1	156	(26607,30)	(26607,15)
1	157	(26607,30)	(26607,15)
1	158	(26607,30)	(26607,15)
1	159	(26607,30)	(26607,15)
1	160	(27066,30)	(27066,15)
1	161	(27066,30)	(27066,15)
1	162	(27066,30)	(27066,15)
1	163	(27066,30)	(27066,15)
1	164	(27066,30)	(27066,15)
1	165	(27066,30)	(27066,15)
1	166	(27066,30)	(27066,15)
1	167	(27066,30)	(27066,15)
1	168	(27066,30)	(27066,15)
1	169	(27066,30)	(27066,15)
1	170	(27066,30)	(27066,15)
1	171	(27066,30)	(27066,15)
1	172	(27066,30)	(27066,15)
1	173	(27066,30)	(27066,15)
1	174	(27066,30)	(27066,15)
1	175	(27066,30)	(27066,15)
1	176	(27066,30)	(27066,15)
1	177	(27066,30)	(27066,15)
1	178	(27066,30)	(27066,15)
1	179	(27066,30)	(27066,15)
2	30	(25681,20)	(25681,10)
2	31	(25681,20)	(25681,10)
2	32	(25681,20)	(25681,10)
2	33	(25681,20)	(25681,10)
2	34	(25681,20)	(25681,10)
2	35	(25681,20)	(25681,10)
2	36	(25681,20)	(25681,10)
2	37	(25681,20)	(25681,10)
2	38	(25681,20)	(25681,10)
2	39	(25681,20)	(25681,10)
2	40	(25682,20)	(25682,10)
2	41	(25682,20)	(25682,10)
2	42	(25682,20)	(25682,10)
2	43	(25682,20)	(25682,10)
2	44	(25682,20)	(25682,10)
2	45	(25682,20)	(25682,10)
2	46	(25682,20)	(25682,10)
2	47	(25682,20)	(25682,10)
2	48	(25682,20)	(25682,10)
2	49	(25682,20)	(25682,10)
2	50	(25682,20)	(25682,10)
2	51	(25682,20)	(25682,10)
2	52	(25682,20)	(25682,10)
2	53	(25682,20)	(25682,10)
2	54	(25682,20)	(25682,10)
2	55	(25682,20)	(25682,10)
2	56	(25682,20)	(25682,10)
2	57	(25682,20)	(25682,10)
2	58	(25682,20)	(25682,10)
2	59	(25682,20)	(25682,10)
2	60	(25683,20)	(25683,10)
2	61	(25683,20)	(25683,10)
2	62	(25683,20)	(25683,10)
2	63	(25683,20)	(25683,10)
2	64	(25683,20)	(25683,10)
2	65	(25683,20)	(25683,10)
2	66	(25683,20)	(25683,10)
2	67	(25683,20)	(25683,10)
2	68	(25683,20)	(25683,10)
2	69	(25683,20)	(25683,10)
2	70	(25683,20)	(25683,10)
2	71	(25683,20)	(25683,10)
2	72	(25683,20)	(25683,10)
2	73	(25683,20)	(25683,10)
2	74	(25683,20)	(25683,10)
2	75	(25683,20)	(25683,10)
2	76	(25683,20)	(25683,10)
2	77	(25683,20)	(25683,10)
2	78	(25683,20)	(25683,10)
2	79	(25683,20)	(25683,10)
2	80	(25684,20)	(25684,10)
2	81	(25684,20)	(25684,10)
2	82	(25684,20)	(25684,10)
2	83	(25684,20)	(25684,10)
2	84	(25684,20)	(25684,10)
2	85	(25684,20)	(25684,10)
2	86	(25684,20)	(25684,10)
2	87	(25684,20)	(25684,10)
2	88	(25684,20)	(25684,10)
2	89	(25684,20)	(25684,10)
2	90	(25684,20)	(25684,10)
2	91	(25684,20)	(25684,10)
2	92	(25684,20)	(25684,10)
2	93	(25684,20)	(25684,10)
2	94	(25684,20)	(25684,10)
2	95	(25684,20)	(25684,10)
2	96	(25684,20)	(25684,10)
2	97	(25684,20)	(25684,10)
2	98	(25684,20)	(25684,10)
2	99	(25684,20)	(25684,10)
2	100	(25685,20)	(25685,10)
2	101	(25685,20)	(25685,10)
2	102	(25685,20)	(25685,10)
2	103	(25685,20)	(25685,10)
