level	minRewardMoney	maxRewardMoney	minRewardMoney_fcm	maxRewardMoney_fcm
等级	最小金币	最大金币	最小金币防沉迷	最大金币防沉迷
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	1000	20000	500	10000
31	1000	20000	500	10000
32	1000	20000	500	10000
33	1000	20000	500	10000
34	1000	20000	500	10000
35	1000	20000	500	10000
36	1000	20000	500	10000
37	1000	20000	500	10000
38	1000	20000	500	10000
39	1000	20000	500	10000
40	1000	30000	500	15000
41	1000	30000	500	15000
42	1000	30000	500	15000
43	1000	30000	500	15000
44	1000	30000	500	15000
45	1000	30000	500	15000
46	1000	30000	500	15000
47	1000	30000	500	15000
48	1000	30000	500	15000
49	1000	30000	500	15000
50	1000	30000	500	15000
51	1000	30000	500	15000
52	1000	30000	500	15000
53	1000	30000	500	15000
54	1000	30000	500	15000
55	1000	30000	500	15000
56	1000	30000	500	15000
57	1000	30000	500	15000
58	1000	30000	500	15000
59	1000	30000	500	15000
60	1000	40000	500	20000
61	1000	40000	500	20000
62	1000	40000	500	20000
63	1000	40000	500	20000
64	1000	40000	500	20000
65	1000	40000	500	20000
66	1000	40000	500	20000
67	1000	40000	500	20000
68	1000	40000	500	20000
69	1000	40000	500	20000
70	1000	40000	500	20000
71	1000	40000	500	20000
72	1000	40000	500	20000
73	1000	40000	500	20000
74	1000	40000	500	20000
75	1000	40000	500	20000
76	1000	40000	500	20000
77	1000	40000	500	20000
78	1000	40000	500	20000
79	1000	40000	500	20000
80	1000	60000	500	30000
81	1000	60000	500	30000
82	1000	60000	500	30000
83	1000	60000	500	30000
84	1000	60000	500	30000
85	1000	60000	500	30000
86	1000	60000	500	30000
87	1000	60000	500	30000
88	1000	60000	500	30000
89	1000	60000	500	30000
90	1000	60000	500	30000
91	1000	60000	500	30000
92	1000	60000	500	30000
93	1000	60000	500	30000
94	1000	60000	500	30000
95	1000	60000	500	30000
96	1000	60000	500	30000
97	1000	60000	500	30000
98	1000	60000	500	30000
99	1000	60000	500	30000
100	1000	80000	500	40000
101	1000	80000	500	40000
102	1000	80000	500	40000
103	1000	80000	500	40000
104	1000	80000	500	40000
105	1000	80000	500	40000
106	1000	80000	500	40000
107	1000	80000	500	40000
108	1000	80000	500	40000
109	1000	80000	500	40000
110	1000	80000	500	40000
111	1000	80000	500	40000
112	1000	80000	500	40000
113	1000	80000	500	40000
114	1000	80000	500	40000
115	1000	80000	500	40000
116	1000	80000	500	40000
117	1000	80000	500	40000
118	1000	80000	500	40000
119	1000	80000	500	40000
120	1000	100000	500	50000
121	1000	100000	500	50000
122	1000	100000	500	50000
123	1000	100000	500	50000
124	1000	100000	500	50000
125	1000	100000	500	50000
126	1000	100000	500	50000
127	1000	100000	500	50000
128	1000	100000	500	50000
129	1000	100000	500	50000
130	1000	100000	500	50000
131	1000	100000	500	50000
132	1000	100000	500	50000
133	1000	100000	500	50000
134	1000	100000	500	50000
135	1000	100000	500	50000
136	1000	100000	500	50000
137	1000	100000	500	50000
138	1000	100000	500	50000
139	1000	100000	500	50000
140	1000	120000	500	60000
141	1000	120000	500	60000
142	1000	120000	500	60000
143	1000	120000	500	60000
144	1000	120000	500	60000
145	1000	120000	500	60000
146	1000	120000	500	60000
147	1000	120000	500	60000
148	1000	120000	500	60000
149	1000	120000	500	60000
150	1000	120000	500	60000
151	1000	120000	500	60000
152	1000	120000	500	60000
153	1000	120000	500	60000
154	1000	120000	500	60000
155	1000	120000	500	60000
156	1000	120000	500	60000
157	1000	120000	500	60000
158	1000	120000	500	60000
159	1000	120000	500	60000
160	1000	130000	500	65000
161	1000	130000	500	65000
162	1000	130000	500	65000
163	1000	130000	500	65000
164	1000	130000	500	65000
165	1000	130000	500	65000
166	1000	130000	500	65000
167	1000	130000	500	65000
168	1000	130000	500	65000
169	1000	130000	500	65000
170	1000	130000	500	65000
171	1000	130000	500	65000
172	1000	130000	500	65000
173	1000	130000	500	65000
174	1000	130000	500	65000
175	1000	130000	500	65000
176	1000	130000	500	65000
177	1000	130000	500	65000
178	1000	130000	500	65000
179	1000	130000	500	65000
