level	moneyBase	moneyBase_fcm
等级	基础金币	基础金币防沉迷
30	5000	2500
31	5000	2500
32	5000	2500
33	5000	2500
34	5000	2500
35	5000	2500
36	5000	2500
37	5000	2500
38	5000	2500
39	5000	2500
40	10000	5000
41	10000	5000
42	10000	5000
43	10000	5000
44	10000	5000
45	10000	5000
46	10000	5000
47	10000	5000
48	10000	5000
49	10000	5000
50	10000	5000
51	10000	5000
52	10000	5000
53	10000	5000
54	10000	5000
55	10000	5000
56	10000	5000
57	10000	5000
58	10000	5000
59	10000	5000
60	20000	10000
61	20000	10000
62	20000	10000
63	20000	10000
64	20000	10000
65	20000	10000
66	20000	10000
67	20000	10000
68	20000	10000
69	20000	10000
70	20000	10000
71	20000	10000
72	20000	10000
73	20000	10000
74	20000	10000
75	20000	10000
76	20000	10000
77	20000	10000
78	20000	10000
79	20000	10000
80	30000	15000
81	30000	15000
82	30000	15000
83	30000	15000
84	30000	15000
85	30000	15000
86	30000	15000
87	30000	15000
88	30000	15000
89	30000	15000
90	30000	15000
91	30000	15000
92	30000	15000
93	30000	15000
94	30000	15000
95	30000	15000
96	30000	15000
97	30000	15000
98	30000	15000
99	30000	15000
100	40000	20000
101	40000	20000
102	40000	20000
103	40000	20000
104	40000	20000
105	40000	20000
106	40000	20000
107	40000	20000
108	40000	20000
109	40000	20000
110	40000	20000
111	40000	20000
112	40000	20000
113	40000	20000
114	40000	20000
115	40000	20000
116	40000	20000
117	40000	20000
118	40000	20000
119	40000	20000
120	50000	25000
121	50000	25000
122	50000	25000
123	50000	25000
124	50000	25000
125	50000	25000
126	50000	25000
127	50000	25000
128	50000	25000
129	50000	25000
130	50000	25000
131	50000	25000
132	50000	25000
133	50000	25000
134	50000	25000
135	50000	25000
136	50000	25000
137	50000	25000
138	50000	25000
139	50000	25000
140	60000	30000
141	60000	30000
142	60000	30000
143	60000	30000
144	60000	30000
145	60000	30000
146	60000	30000
147	60000	30000
148	60000	30000
149	60000	30000
150	60000	30000
151	60000	30000
152	60000	30000
153	60000	30000
154	60000	30000
155	60000	30000
156	60000	30000
157	60000	30000
158	60000	30000
159	60000	30000
160	65000	32500
161	65000	32500
162	65000	32500
163	65000	32500
164	65000	32500
165	65000	32500
166	65000	32500
167	65000	32500
168	65000	32500
169	65000	32500
170	65000	32500
171	65000	32500
172	65000	32500
173	65000	32500
174	65000	32500
175	65000	32500
176	65000	32500
177	65000	32500
178	65000	32500
179	65000	32500
