EventId	EventType	desc	MinLevel	MaxLevel	mci	fightType	Gold	Gold_fcm	RMB	RMB_fcm	times	Lucktimes	item	cnt	cnt_fcm	info
事件ID	事件类型	事件描述	等级（最低）	等级（最高）	阵营（无战斗填0）	战斗地图	奖励金币	奖励金币	奖励魔晶	奖励魔晶	奖励挖宝次数	奖励幸运挖宝次数	道具	数量	数量	提示内容
1	1	巨龙巢穴	1	39	7020	6	0	0	5	3	0	0	0	0	0	挖宝挖到了巨龙的巢穴，危险却又暗藏着财富，想要探险吗？（放弃探险无法获得奖励）&一探究竟&逃之夭夭
2	1	巨龙巢穴	40	59	7022	6	0	0	5	3	0	0	0	0	0	挖宝挖到了巨龙的巢穴，危险却又暗藏着财富，想要探险吗？（放弃探险无法获得奖励）&一探究竟&逃之夭夭
3	1	巨龙巢穴	60	79	7024	6	0	0	5	3	0	0	0	0	0	挖宝挖到了巨龙的巢穴，危险却又暗藏着财富，想要探险吗？（放弃探险无法获得奖励）&一探究竟&逃之夭夭
4	1	巨龙巢穴	80	99	7026	6	0	0	5	3	0	0	0	0	0	挖宝挖到了巨龙的巢穴，危险却又暗藏着财富，想要探险吗？（放弃探险无法获得奖励）&一探究竟&逃之夭夭
5	1	巨龙巢穴	100	119	7028	6	0	0	5	3	0	0	0	0	0	挖宝挖到了巨龙的巢穴，危险却又暗藏着财富，想要探险吗？（放弃探险无法获得奖励）&一探究竟&逃之夭夭
6	2	小怪	1	39	7021	6	0	0	0	0	0	0	25636	1	1	前方有一群携带宝物的怪物出现了，你决定？（放了他们无法获得奖励）&立即夺取&放他们走
7	2	小怪	40	59	7023	6	0	0	0	0	0	0	25637	1	1	前方有一群携带宝物的怪物出现了，你决定？（放了他们无法获得奖励）&立即夺取&放他们走
8	2	小怪	60	79	7025	6	0	0	0	0	0	0	25638	1	1	前方有一群携带宝物的怪物出现了，你决定？（放了他们无法获得奖励）&立即夺取&放他们走
9	2	小怪	80	99	7027	6	0	0	0	0	0	0	25639	1	1	前方有一群携带宝物的怪物出现了，你决定？（放了他们无法获得奖励）&立即夺取&放他们走
10	2	小怪	100	119	7029	6	0	0	0	0	0	0	25640	1	1	前方有一群携带宝物的怪物出现了，你决定？（放了他们无法获得奖励）&立即夺取&放他们走
11	3	金币	1	39	0	0	50000	25000	0	0	0	0	0	0	0	
12	3	金币	40	59	0	0	100000	50000	0	0	0	0	0	0	0	
13	3	金币	60	79	0	0	130000	65000	0	0	0	0	0	0	0	
14	3	金币	80	99	0	0	180000	90000	0	0	0	0	0	0	0	
15	3	金币	100	119	0	0	230000	115000	0	0	0	0	0	0	0	
16	4	挖宝次数	1	179	0	0	0	0	0	0	1	0	0	0	0	
17	5	幸运挖宝次数	1	179	0	0	0	0	0	0	0	1	0	0	0	
18	6	魔晶	1	179	0	0	0	0	5	3	0	0	0	0	0	
19	7	坐骑培养石	1	179	0	0	0	0	0	0	0	0	25600	5	3	
20	8	经验道具	1	39	0	0	0	0	0	0	0	0	25636	5	3	
21	8	经验道具	40	59	0	0	0	0	0	0	0	0	25637	5	3	
22	8	经验道具	60	79	0	0	0	0	0	0	0	0	25638	5	3	
23	8	经验道具	80	99	0	0	0	0	0	0	0	0	25639	5	3	
24	8	经验道具	100	119	0	0	0	0	0	0	0	0	25640	5	3	
25	1	巨龙巢穴	120	139	14101	6	0	0	5	3	0	0	0	0	0	挖宝挖到了巨龙的巢穴，危险却又暗藏着财富，想要探险吗？（放弃探险无法获得奖励）&一探究竟&逃之夭夭
26	2	小怪	120	139	14102	6	0	0	0	0	0	0	25641	1	1	前方有一群携带宝物的怪物出现了，你决定？（放了他们无法获得奖励）&立即夺取&放他们走
27	8	经验道具	120	139	0	0	0	0	0	0	0	0	25641	5	3	
28	3	金币	120	139	0	0	280000	140000	0	0	0	0	0	0	0	
29	1	巨龙巢穴	140	159	14113	6	0	0	5	3	0	0	0	0	0	挖宝挖到了巨龙的巢穴，危险却又暗藏着财富，想要探险吗？（放弃探险无法获得奖励）&一探究竟&逃之夭夭
30	2	小怪	140	159	14114	6	0	0	0	0	0	0	25641	1	1	前方有一群携带宝物的怪物出现了，你决定？（放了他们无法获得奖励）&立即夺取&放他们走
31	8	经验道具	140	159	0	0	0	0	0	0	0	0	25641	5	3	
32	3	金币	140	159	0	0	330000	165000	0	0	0	0	0	0	0	
33	1	巨龙巢穴	160	179	14115	6	0	0	5	3	0	0	0	0	0	挖宝挖到了巨龙的巢穴，危险却又暗藏着财富，想要探险吗？（放弃探险无法获得奖励）&一探究竟&逃之夭夭
34	2	小怪	160	179	14116	6	0	0	0	0	0	0	25641	1	1	前方有一群携带宝物的怪物出现了，你决定？（放了他们无法获得奖励）&立即夺取&放他们走
35	8	经验道具	160	179	0	0	0	0	0	0	0	0	25641	5	3	
36	3	金币	160	179	0	0	350000	175000	0	0	0	0	0	0	0	
