heroTempleIndex	heroTempleID	stageId	needLevel	fightType	mcid	rewardMoney	rewardMoney_fcm	rewardItems	rewardItems_fcm	reward	reward_fcm	randomRewardCoding	rate	rate_fcm	templeText	templeText_US	header	monsterRes	templeName
英灵神殿索引	英灵神殿ID	小关卡（少将、中将、上将、大将、元帅）	需要等级	战斗类型	怪物阵营ID	奖励金币	奖励金币	奖励物品	奖励物品	固定奖励	固定奖励	随机奖励coding(随机奖励1-5个)	[(个数, 概率)]	[(个数, 概率)]	ui神殿艺术字	北美ui神殿艺术字	神殿头像	神殿内小怪资源Id	神殿名字
1	1	1	80	31	10001	315000	157500	[(25641, 10)]	[(25641, 5)]	[(25641, 10)]	[(25641, 5)]	0	[]	[]	Ylsd_zszw	Ylsd_zszw_US	5008	20006	众神之王
2	1	2	80	31	10002	328500	164250	[(25641, 10)]	[(25641, 5)]	[(25641, 10)]	[(25641, 5)]	0	[]	[]	Ylsd_zszw	Ylsd_zszw_US	5008	20006	众神之王
3	1	3	80	31	10003	342000	171000	[(25641, 11)]	[(25641, 6)]	[(25641, 11)]	[(25641, 6)]	0	[]	[]	Ylsd_zszw	Ylsd_zszw_US	5008	20006	众神之王
4	1	4	80	31	10004	355500	177750	[(25641, 11)]	[(25641, 6)]	[(25641, 11)]	[(25641, 6)]	0	[]	[]	Ylsd_zszw	Ylsd_zszw_US	5008	20006	众神之王
5	1	5	80	31	10005	369000	184500	[(25641, 11),(26124, 1)]	[(25641, 6),(26124, 1)]	[(25641, 11)]	[(25641, 6)]	26124	[(1, 1000), (2, 1000), (3, 1000), (4, 1000), (5, 1000)]	[(1, 1000), (2, 1000), (3, 1000), (4, 0), (5, 0)]	Ylsd_zszw	Ylsd_zszw_US	5008	5008	众神之王
6	2	1	80	31	10006	382500	191250	[(25641, 12)]	[(25641, 6)]	[(25641, 12)]	[(25641, 6)]	0	[]	[]	Ylsd_hsyj	Ylsd_hsyj_US	5007	20044	幻术妖姬
7	2	2	80	31	10007	396000	198000	[(25641, 12)]	[(25641, 6)]	[(25641, 12)]	[(25641, 6)]	0	[]	[]	Ylsd_hsyj	Ylsd_hsyj_US	5007	20044	幻术妖姬
8	2	3	80	31	10008	409500	204750	[(25641, 13)]	[(25641, 7)]	[(25641, 13)]	[(25641, 7)]	0	[]	[]	Ylsd_hsyj	Ylsd_hsyj_US	5007	20044	幻术妖姬
9	2	4	80	31	10009	423000	211500	[(25641, 13)]	[(25641, 7)]	[(25641, 13)]	[(25641, 7)]	0	[]	[]	Ylsd_hsyj	Ylsd_hsyj_US	5007	20044	幻术妖姬
