index	itemCoding	dragonBall	maxNum	needItemCoding	needLevel
物品排列	物品编码	消耗道具(龙珠)数	活动期间限购个数	用于兑换物品的道具(龙珠)的ID	兑换需要等级
1	37039	48	1	28300	40
2	37040	48	1	28300	40
3	37041	42	1	28300	40
4	37042	108	1	28300	65
5	26972	100	1	28300	30
6	28253	225	1	28300	50
7	26753	30	1	28300	45
8	26755	30	1	28300	45
9	26757	30	1	28300	45
10	26754	30	1	28300	45
11	26756	30	1	28300	45
12	26758	30	1	28300	45
13	27251	22	1	28300	60
14	27252	22	1	28300	60
15	27253	22	1	28300	60
16	27254	22	1	28300	60
17	27255	22	1	28300	60
18	27256	22	1	28300	60
19	26439	1200	1	28300	80
20	26438	280	1	28300	80
21	26026	6	-1	28300	30
22	26227	6	-1	28300	60
23	28035	6	-1	28300	80
24	27566	3	-1	28300	40
25	27035	80	2	28300	60
26	27699	7	-1	28300	70
